#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0609_6_95w.pdb 0.661 3.236 1.278 0.70470 Medium Medium
allpdb0609_6_163w.pdb 0.645 2.685 1.215 0.71948 Medium Medium
allpdb0609_6_50w.pdb 0.613 3.772 1.336 0.66862 Medium Medium
allpdb0609_6_99w.pdb 0.645 3.445 1.263 0.69644 Medium Medium
allpdb0609_6_126w.pdb 0.629 3.644 1.289 0.68304 Medium Medium
allpdb0609_6_19w.pdb 0.419 10.830 3.158 0.32820 Acceptable Acceptable
allpdb0609_6_142w.pdb 0.613 4.784 1.541 0.61963 Medium Medium
allpdb0609_6_182w.pdb 0.565 5.270 1.686 0.57625 Medium Medium
allpdb0609_6_10w.pdb 0.468 5.819 1.999 0.50292 Medium Medium
allpdb0609_6_123w.pdb 0.565 6.821 1.942 0.51551 Medium Medium
allpdb0609_6_173w.pdb 0.435 4.806 1.672 0.54634 Medium Medium
allpdb0609_6_189w.pdb 0.548 4.757 1.566 0.59616 Medium Medium
allpdb0609_6_52w.pdb 0.419 7.365 2.254 0.43246 Acceptable Acceptable
allpdb0609_6_67w.pdb 0.452 6.568 2.121 0.47039 Acceptable Acceptable
allpdb0609_6_25w.pdb 0.323 9.538 3.029 0.32074 Acceptable Acceptable
allpdb0609_6_117w.pdb 0.597 3.438 1.337 0.67111 Medium Medium
allpdb0609_6_65w.pdb 0.177 10.849 4.411 0.22047 Incorrect Incorrect
allpdb0609_6_4w.pdb 0.097 15.973 8.101 0.11687 Incorrect Incorrect
allpdb0609_6_45w.pdb 0.242 14.021 4.481 0.20382 Incorrect Incorrect
allpdb0609_6_76w.pdb 0.516 7.612 2.261 0.45892 Acceptable Acceptable
allpdb0609_6_143w.pdb 0.194 14.490 5.137 0.17604 Incorrect Incorrect
allpdb0609_6_112w.pdb 0.452 6.058 2.101 0.48410 Acceptable Acceptable
allpdb0609_6_18w.pdb 0.210 17.320 5.514 0.15756 Incorrect Incorrect
allpdb0609_6_118w.pdb 0.161 16.351 5.631 0.14677 Incorrect Incorrect
allpdb0609_6_31w.pdb 0.274 14.518 4.655 0.20785 Incorrect Incorrect
allpdb0609_6_17w.pdb 0.097 16.383 8.354 0.11336 Incorrect Incorrect
allpdb0609_6_167w.pdb 0.226 14.739 5.235 0.18375 Incorrect Incorrect
allpdb0609_6_84w.pdb 0.242 15.631 5.112 0.18314 Incorrect Incorrect
allpdb0609_6_7w.pdb 0.097 15.305 8.005 0.12214 Incorrect Incorrect
allpdb0609_6_20w.pdb 0.290 10.941 3.270 0.28017 Acceptable Acceptable
allpdb0609_6_101w.pdb 0.403 7.412 2.335 0.42112 Acceptable Acceptable
allpdb0609_6_147w.pdb 0.161 15.331 5.479 0.15538 Incorrect Incorrect
allpdb0609_6_180w.pdb 0.177 16.651 5.521 0.15096 Incorrect Incorrect
allpdb0609_6_78w.pdb 0.306 10.350 3.355 0.29193 Acceptable Acceptable
allpdb0609_6_27w.pdb 0.242 15.713 4.516 0.18923 Incorrect Incorrect
allpdb0609_6_68w.pdb 0.194 20.475 5.484 0.13673 Incorrect Incorrect
allpdb0609_6_96w.pdb 0.194 20.978 5.560 0.13413 Incorrect Incorrect
allpdb0609_6_193w.pdb 0.339 8.607 2.787 0.35238 Acceptable Acceptable
allpdb0609_6_94w.pdb 0.194 16.362 5.159 0.16134 Incorrect Incorrect
allpdb0609_6_42w.pdb 0.097 18.218 8.944 0.10097 Incorrect Incorrect
