#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0609_6_40w.pdb 0.403 11.255 3.512 0.30691 Acceptable Acceptable
allpdb0609_6_87w.pdb 0.339 11.047 3.540 0.28760 Acceptable Acceptable
allpdb0609_6_190w.pdb 0.484 7.530 2.230 0.45188 Acceptable Acceptable
allpdb0609_6_184w.pdb 0.371 11.446 3.678 0.28968 Acceptable Acceptable
allpdb0609_6_98w.pdb 0.484 7.197 2.244 0.45835 Acceptable Acceptable
allpdb0609_6_55w.pdb 0.387 11.320 3.715 0.29594 Acceptable Acceptable
allpdb0609_6_22w.pdb 0.371 10.760 3.538 0.30254 Acceptable Acceptable
allpdb0609_6_91w.pdb 0.387 10.812 3.460 0.30909 Acceptable Acceptable
allpdb0609_6_186w.pdb 0.452 8.074 2.401 0.41934 Acceptable Acceptable
allpdb0609_6_187w.pdb 0.516 8.448 2.438 0.43126 Acceptable Acceptable
allpdb0609_6_126w.pdb 0.355 11.133 3.528 0.29206 Acceptable Acceptable
allpdb0609_6_84w.pdb 0.290 10.734 3.598 0.27461 Acceptable Acceptable
allpdb0609_6_34w.pdb 0.387 10.541 3.381 0.31521 Acceptable Acceptable
allpdb0609_6_188w.pdb 0.452 6.869 2.157 0.46081 Acceptable Acceptable
allpdb0609_6_176w.pdb 0.452 6.469 2.065 0.47676 Acceptable Acceptable
allpdb0609_6_65w.pdb 0.387 10.358 3.385 0.31788 Acceptable Acceptable
allpdb0609_6_118w.pdb 0.274 10.786 3.703 0.26610 Acceptable Acceptable
allpdb0609_6_110w.pdb 0.306 11.008 3.613 0.27566 Acceptable Acceptable
allpdb0609_6_47w.pdb 0.468 6.432 2.073 0.48240 Acceptable Acceptable
allpdb0609_6_167w.pdb 0.452 7.885 2.387 0.42405 Acceptable Acceptable
allpdb0609_6_48w.pdb 0.468 8.042 2.474 0.42138 Acceptable Acceptable
allpdb0609_6_179w.pdb 0.387 10.782 3.370 0.31191 Acceptable Acceptable
allpdb0609_6_169w.pdb 0.355 11.021 3.479 0.29485 Acceptable Acceptable
allpdb0609_6_60w.pdb 0.306 10.727 3.573 0.28066 Acceptable Acceptable
allpdb0609_6_131w.pdb 0.323 10.770 3.674 0.28310 Acceptable Acceptable
allpdb0609_6_109w.pdb 0.323 10.751 3.613 0.28475 Acceptable Acceptable
allpdb0609_6_62w.pdb 0.323 11.340 3.789 0.27259 Acceptable Acceptable
allpdb0609_6_133w.pdb 0.403 9.619 2.855 0.35267 Acceptable Acceptable
allpdb0609_6_120w.pdb 0.323 11.304 3.599 0.27726 Acceptable Acceptable
allpdb0609_6_141w.pdb 0.355 11.588 3.661 0.28281 Acceptable Acceptable
allpdb0609_6_147w.pdb 0.435 11.017 3.393 0.32405 Acceptable Acceptable
allpdb0609_6_44w.pdb 0.274 10.982 3.670 0.26400 Acceptable Acceptable
allpdb0609_6_41w.pdb 0.387 10.747 3.412 0.31130 Acceptable Acceptable
allpdb0609_6_83w.pdb 0.290 10.743 3.614 0.27410 Acceptable Acceptable
allpdb0609_6_193w.pdb 0.355 10.818 3.552 0.29597 Acceptable Acceptable
allpdb0609_6_144w.pdb 0.306 10.662 3.564 0.28183 Acceptable Acceptable
allpdb0609_6_2w.pdb 0.323 11.673 3.716 0.26974 Acceptable Acceptable
allpdb0609_6_96w.pdb 0.290 10.891 3.673 0.27061 Acceptable Acceptable
allpdb0609_6_81w.pdb 0.419 11.044 3.437 0.31711 Acceptable Acceptable
allpdb0609_6_24w.pdb 0.371 10.736 3.477 0.30441 Acceptable Acceptable
allpdb0609_6_155w.pdb 0.323 10.250 3.391 0.29791 Acceptable Acceptable
allpdb0609_6_177w.pdb 0.306 10.711 3.527 0.28202 Acceptable Acceptable
allpdb0609_6_54w.pdb 0.274 10.859 3.695 0.26522 Acceptable Acceptable
allpdb0609_6_102w.pdb 0.306 10.780 3.570 0.27995 Acceptable Acceptable
allpdb0609_6_107w.pdb 0.339 10.007 3.308 0.30944 Acceptable Acceptable
allpdb0609_6_19w.pdb 0.290 10.815 3.526 0.27512 Acceptable Acceptable
