#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0058_6_2w.pdb 0.145 10.438 5.731 0.20276 Incorrect Incorrect
allpdb0058_6_37w.pdb 0.000 35.316 19.263 0.02026 Incorrect Incorrect
allpdb0058_6_7w.pdb 0.200 7.290 4.138 0.29744 Acceptable Acceptable
allpdb0058_6_5w.pdb 0.200 8.996 4.569 0.25632 Acceptable Acceptable
allpdb0058_6_58w.pdb 0.345 7.812 3.568 0.34593 Acceptable Acceptable
allpdb0058_6_152w.pdb 0.018 16.301 8.341 0.08776 Incorrect Incorrect
allpdb0058_6_4w.pdb 0.091 12.327 6.843 0.15300 Incorrect Incorrect
allpdb0058_6_10w.pdb 0.145 12.899 6.341 0.16707 Incorrect Incorrect
allpdb0058_6_30w.pdb 0.055 11.780 6.604 0.14866 Incorrect Incorrect
allpdb0058_6_138w.pdb 0.073 8.919 4.825 0.21228 Incorrect Incorrect
allpdb0058_6_125w.pdb 0.091 14.460 7.765 0.12790 Incorrect Incorrect
allpdb0058_6_68w.pdb 0.018 16.738 8.644 0.08415 Incorrect Incorrect
allpdb0058_6_31w.pdb 0.000 29.344 13.150 0.03009 Incorrect Incorrect
allpdb0058_6_88w.pdb 0.218 10.408 5.083 0.23280 Incorrect Acceptable
allpdb0058_6_35w.pdb 0.127 13.382 6.624 0.15451 Incorrect Incorrect
allpdb0058_6_95w.pdb 0.182 12.418 6.138 0.18574 Incorrect Incorrect
allpdb0058_6_3w.pdb 0.018 31.305 13.146 0.03323 Incorrect Incorrect
allpdb0058_6_40w.pdb 0.000 19.669 10.052 0.05972 Incorrect Incorrect
allpdb0058_6_18w.pdb 0.273 9.082 4.415 0.28104 Acceptable Acceptable
allpdb0058_6_25w.pdb 0.091 12.023 6.686 0.15736 Incorrect Incorrect
allpdb0058_6_32w.pdb 0.000 32.082 16.211 0.02469 Incorrect Incorrect
allpdb0058_6_38w.pdb 0.145 12.839 6.412 0.16736 Incorrect Incorrect
allpdb0058_6_98w.pdb 0.000 34.354 19.476 0.02119 Incorrect Incorrect
allpdb0058_6_55w.pdb 0.255 7.931 4.063 0.30302 Acceptable Acceptable
allpdb0058_6_59w.pdb 0.127 14.364 7.112 0.14307 Incorrect Incorrect
allpdb0058_6_122w.pdb 0.000 16.908 8.788 0.07668 Incorrect Incorrect
allpdb0058_6_17w.pdb 0.109 13.277 6.443 0.15040 Incorrect Incorrect
allpdb0058_6_41w.pdb 0.000 15.945 8.522 0.08378 Incorrect Incorrect
allpdb0058_6_49w.pdb 0.418 3.502 1.919 0.55078 Medium Medium
allpdb0058_6_101w.pdb 0.145 14.307 6.470 0.15245 Incorrect Incorrect
allpdb0058_6_128w.pdb 0.018 14.208 7.417 0.10701 Incorrect Incorrect
allpdb0058_6_106w.pdb 0.000 14.190 7.514 0.10079 Incorrect Incorrect
allpdb0058_6_179w.pdb 0.000 16.311 8.319 0.08169 Incorrect Incorrect
allpdb0058_6_117w.pdb 0.000 34.165 19.810 0.02133 Incorrect Incorrect
allpdb0058_6_187w.pdb 0.000 15.545 8.095 0.08779 Incorrect Incorrect
allpdb0058_6_174w.pdb 0.000 14.092 7.466 0.10185 Incorrect Incorrect
allpdb0058_6_76w.pdb 0.200 12.044 5.891 0.19778 Incorrect Incorrect
allpdb0058_6_79w.pdb 0.073 13.499 7.428 0.13194 Incorrect Incorrect
allpdb0058_6_12w.pdb 0.000 12.292 6.496 0.12471 Incorrect Incorrect
allpdb0058_6_172w.pdb 0.091 12.283 6.881 0.15336 Incorrect Incorrect
allpdb0058_6_176w.pdb 0.309 9.443 4.410 0.28680 Acceptable Acceptable
allpdb0058_6_168w.pdb 0.109 9.976 4.828 0.20592 Acceptable Incorrect
allpdb0058_6_19w.pdb 0.055 12.231 6.864 0.14193 Incorrect Incorrect
allpdb0058_6_54w.pdb 0.218 10.214 4.915 0.23751 Incorrect Acceptable
allpdb0058_6_29w.pdb 0.145 12.884 6.793 0.16507 Incorrect Incorrect
allpdb0058_6_21w.pdb 0.036 16.555 8.702 0.09128 Incorrect Incorrect
allpdb0058_6_20w.pdb 0.091 13.287 7.433 0.14014 Incorrect Incorrect
allpdb0058_6_66w.pdb 0.182 8.863 4.585 0.25254 Acceptable Acceptable
allpdb0058_6_140w.pdb 0.273 8.155 3.945 0.30658 Acceptable Acceptable
allpdb0058_6_16w.pdb 0.400 3.101 1.820 0.56239 Medium Medium
allpdb0058_6_62w.pdb 0.218 7.999 3.835 0.29375 Acceptable Acceptable
allpdb0058_6_89w.pdb 0.273 7.564 3.707 0.32383 Acceptable Acceptable
allpdb0058_6_36w.pdb 0.055 15.444 8.524 0.10569 Incorrect Incorrect
allpdb0058_6_188w.pdb 0.164 13.331 6.747 0.16659 Incorrect Incorrect
allpdb0058_6_105w.pdb 0.291 10.345 4.718 0.26191 Incorrect Acceptable
allpdb0058_6_107w.pdb 0.127 12.974 6.493 0.15942 Incorrect Incorrect
allpdb0058_6_65w.pdb 0.000 14.179 7.761 0.10012 Incorrect Incorrect
allpdb0058_6_154w.pdb 0.055 13.346 7.471 0.12729 Incorrect Incorrect
allpdb0058_6_73w.pdb 0.018 33.165 19.108 0.02865 Incorrect Incorrect
allpdb0058_6_189w.pdb 0.091 10.255 5.655 0.18796 Incorrect Incorrect
allpdb0058_6_199w.pdb 0.000 16.395 8.527 0.08062 Incorrect Incorrect
allpdb0058_6_169w.pdb 0.145 13.687 6.660 0.15735 Incorrect Incorrect
allpdb0058_6_165w.pdb 0.091 11.441 5.528 0.17171 Incorrect Incorrect
allpdb0058_6_43w.pdb 0.000 29.749 16.442 0.02791 Incorrect Incorrect
allpdb0058_6_84w.pdb 0.091 19.457 9.701 0.09151 Incorrect Incorrect
allpdb0058_6_127w.pdb 0.000 20.382 10.759 0.05574 Incorrect Incorrect
allpdb0058_6_27w.pdb 0.109 14.226 7.530 0.13678 Incorrect Incorrect
allpdb0058_6_85w.pdb 0.055 11.870 6.047 0.15050 Incorrect Incorrect
allpdb0058_6_184w.pdb 0.000 35.756 19.267 0.01984 Incorrect Incorrect
allpdb0058_6_180w.pdb 0.164 8.767 4.294 0.25232 Acceptable Acceptable
allpdb0058_6_81w.pdb 0.018 15.552 8.253 0.09339 Incorrect Incorrect
allpdb0058_6_1w.pdb 0.000 37.751 19.782 0.01799 Incorrect Incorrect
allpdb0058_6_113w.pdb 0.018 16.545 8.516 0.08570 Incorrect Incorrect
allpdb0058_6_109w.pdb 0.073 12.289 6.892 0.14719 Incorrect Incorrect
allpdb0058_6_159w.pdb 0.182 8.317 4.219 0.26830 Acceptable Acceptable
allpdb0058_6_132w.pdb 0.236 7.876 3.740 0.30433 Acceptable Acceptable
allpdb0058_6_15w.pdb 0.218 12.754 6.094 0.19429 Incorrect Incorrect
allpdb0058_6_50w.pdb 0.145 15.943 8.161 0.13315 Incorrect Incorrect
allpdb0058_6_83w.pdb 0.200 7.648 4.145 0.28947 Acceptable Acceptable
allpdb0058_6_121w.pdb 0.273 12.059 4.565 0.23403 Incorrect Acceptable
allpdb0058_6_112w.pdb 0.036 15.081 8.158 0.10338 Incorrect Incorrect
allpdb0058_6_108w.pdb 0.073 14.241 7.604 0.12429 Incorrect Incorrect
allpdb0058_6_91w.pdb 0.018 12.161 6.410 0.13276 Incorrect Incorrect
allpdb0058_6_56w.pdb 0.000 14.522 7.744 0.09711 Incorrect Incorrect
allpdb0058_6_78w.pdb 0.455 5.287 2.416 0.48459 Acceptable Acceptable
allpdb0058_6_6w.pdb 0.073 18.081 7.729 0.09667 Incorrect Incorrect
allpdb0058_6_178w.pdb 0.000 25.285 12.215 0.03880 Incorrect Incorrect
allpdb0058_6_64w.pdb 0.309 9.898 4.757 0.27465 Acceptable Acceptable
allpdb0058_6_110w.pdb 0.145 21.615 8.372 0.10350 Incorrect Incorrect
allpdb0058_6_72w.pdb 0.000 25.597 11.614 0.03858 Incorrect Incorrect
allpdb0058_6_45w.pdb 0.236 10.214 4.913 0.24360 Incorrect Acceptable
allpdb0058_6_115w.pdb 0.164 12.715 5.131 0.18375 Incorrect Incorrect
allpdb0058_6_197w.pdb 0.036 15.563 8.284 0.09929 Incorrect Incorrect
allpdb0058_6_150w.pdb 0.291 9.815 4.880 0.26860 Acceptable Acceptable
allpdb0058_6_97w.pdb 0.055 14.571 8.011 0.11411 Incorrect Incorrect
allpdb0058_6_90w.pdb 0.000 33.704 19.544 0.02189 Incorrect Incorrect
allpdb0058_6_163w.pdb 0.000 19.270 10.248 0.06128 Incorrect Incorrect
allpdb0058_6_13w.pdb 0.291 6.418 2.969 0.37707 Acceptable Acceptable
allpdb0058_6_195w.pdb 0.036 22.114 10.642 0.06152 Incorrect Incorrect
allpdb0058_6_118w.pdb 0.000 20.702 9.736 0.05582 Incorrect Incorrect
allpdb0058_6_57w.pdb 0.000 21.595 11.348 0.05044 Incorrect Incorrect
allpdb0058_6_119w.pdb 0.073 12.286 6.814 0.14755 Incorrect Incorrect
allpdb0058_6_161w.pdb 0.218 8.590 4.278 0.27414 Acceptable Acceptable
allpdb0058_6_99w.pdb 0.000 27.674 12.442 0.03351 Incorrect Incorrect
allpdb0058_6_33w.pdb 0.218 7.807 3.791 0.29867 Acceptable Acceptable
allpdb0058_6_96w.pdb 0.127 21.845 11.468 0.09186 Incorrect Incorrect
allpdb0058_6_146w.pdb 0.291 8.030 3.723 0.31966 Acceptable Acceptable
allpdb0058_6_103w.pdb 0.145 7.550 4.187 0.27273 Acceptable Acceptable
allpdb0058_6_131w.pdb 0.309 7.953 3.797 0.32577 Acceptable Acceptable
allpdb0058_6_86w.pdb 0.000 27.817 12.453 0.03323 Incorrect Incorrect
allpdb0058_6_24w.pdb 0.182 11.151 5.483 0.20631 Incorrect Incorrect
allpdb0058_6_14w.pdb 0.164 11.626 5.862 0.19115 Incorrect Incorrect
allpdb0058_6_53w.pdb 0.036 34.408 19.880 0.03318 Incorrect Incorrect
allpdb0058_6_51w.pdb 0.255 8.120 3.895 0.30218 Acceptable Acceptable
allpdb0058_6_116w.pdb 0.164 15.055 6.517 0.15189 Incorrect Incorrect
allpdb0058_6_9w.pdb 0.218 9.525 4.712 0.25117 Acceptable Acceptable
allpdb0058_6_171w.pdb 0.145 12.132 5.917 0.17836 Incorrect Incorrect
allpdb0058_6_133w.pdb 0.145 8.595 4.359 0.24859 Acceptable Acceptable
allpdb0058_6_67w.pdb 0.200 11.730 5.939 0.20143 Incorrect Incorrect
allpdb0058_6_74w.pdb 0.000 35.258 17.729 0.02068 Incorrect Incorrect
allpdb0058_6_11w.pdb 0.000 20.652 10.651 0.05477 Incorrect Incorrect
allpdb0058_6_42w.pdb 0.182 23.633 11.877 0.10402 Incorrect Incorrect
allpdb0058_6_8w.pdb 0.036 14.627 7.998 0.10760 Incorrect Incorrect
allpdb0058_6_173w.pdb 0.036 14.613 7.476 0.10929 Incorrect Incorrect
allpdb0058_6_157w.pdb 0.200 7.892 3.887 0.28890 Acceptable Acceptable
allpdb0058_6_102w.pdb 0.218 11.751 5.676 0.20899 Incorrect Incorrect
allpdb0058_6_48w.pdb 0.200 12.463 5.979 0.19223 Incorrect Incorrect
allpdb0058_6_190w.pdb 0.145 9.067 4.700 0.23521 Acceptable Acceptable
allpdb0058_6_52w.pdb 0.000 42.991 21.718 0.01412 Incorrect Incorrect
allpdb0058_6_82w.pdb 0.145 8.480 4.219 0.25296 Acceptable Acceptable
allpdb0058_6_92w.pdb 0.200 8.284 4.329 0.27337 Acceptable Acceptable
allpdb0058_6_44w.pdb 0.000 15.820 8.464 0.08482 Incorrect Incorrect
allpdb0058_6_160w.pdb 0.200 7.772 4.063 0.28820 Acceptable Acceptable
allpdb0058_6_135w.pdb 0.200 9.591 4.653 0.24469 Acceptable Acceptable
allpdb0058_6_129w.pdb 0.000 14.313 7.610 0.09938 Incorrect Incorrect
