#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0058_6_57w.pdb 0.091 11.366 5.892 0.17015 Incorrect Incorrect
allpdb0058_6_69w.pdb 0.255 8.336 4.208 0.29235 Acceptable Acceptable
allpdb0058_6_38w.pdb 0.145 19.007 7.847 0.11579 Incorrect Incorrect
allpdb0058_6_33w.pdb 0.218 8.824 4.320 0.26903 Acceptable Acceptable
allpdb0058_6_3w.pdb 0.109 16.080 6.731 0.12493 Incorrect Incorrect
allpdb0058_6_112w.pdb 0.236 8.147 4.125 0.29146 Acceptable Acceptable
allpdb0058_6_71w.pdb 0.182 9.386 4.825 0.24019 Acceptable Acceptable
allpdb0058_6_170w.pdb 0.164 8.375 4.251 0.26058 Acceptable Acceptable
allpdb0058_6_20w.pdb 0.164 9.036 4.409 0.24562 Acceptable Acceptable
allpdb0058_6_2w.pdb 0.055 17.937 7.929 0.09083 Incorrect Incorrect
allpdb0058_6_91w.pdb 0.218 8.335 4.216 0.28012 Acceptable Acceptable
allpdb0058_6_138w.pdb 0.200 9.209 4.781 0.24988 Acceptable Acceptable
allpdb0058_6_68w.pdb 0.182 8.419 4.292 0.26515 Acceptable Acceptable
allpdb0058_6_55w.pdb 0.291 7.114 3.346 0.34879 Acceptable Acceptable
allpdb0058_6_43w.pdb 0.436 6.251 2.733 0.43895 Acceptable Acceptable
allpdb0058_6_72w.pdb 0.145 11.887 6.717 0.17709 Incorrect Incorrect
allpdb0058_6_7w.pdb 0.091 12.735 7.007 0.14764 Incorrect Incorrect
allpdb0058_6_46w.pdb 0.236 10.049 4.972 0.24561 Incorrect Acceptable
allpdb0058_6_146w.pdb 0.255 7.425 3.452 0.32686 Acceptable Acceptable
allpdb0058_6_19w.pdb 0.364 16.598 6.398 0.20784 Incorrect Incorrect
allpdb0058_6_9w.pdb 0.091 12.635 6.967 0.14892 Incorrect Incorrect
allpdb0058_6_1w.pdb 0.073 12.636 6.842 0.14337 Incorrect Incorrect
allpdb0058_6_199w.pdb 0.655 2.189 1.238 0.72907 Medium Medium
allpdb0058_6_62w.pdb 0.273 6.399 3.141 0.36556 Acceptable Acceptable
allpdb0058_6_94w.pdb 0.145 11.025 5.315 0.19735 Incorrect Incorrect
allpdb0058_6_47w.pdb 0.073 12.437 6.466 0.14739 Incorrect Incorrect
allpdb0058_6_50w.pdb 0.055 14.757 8.055 0.11240 Incorrect Incorrect
allpdb0058_6_96w.pdb 0.055 14.806 8.024 0.11207 Incorrect Incorrect
allpdb0058_6_151w.pdb 0.127 17.589 7.289 0.11907 Incorrect Incorrect
allpdb0058_6_30w.pdb 0.218 7.759 4.180 0.29258 Acceptable Acceptable
allpdb0058_6_78w.pdb 0.055 14.518 8.094 0.11434 Incorrect Incorrect
allpdb0058_6_15w.pdb 0.073 13.857 7.504 0.12819 Incorrect Incorrect
allpdb0058_6_141w.pdb 0.055 11.612 6.614 0.15078 Incorrect Incorrect
allpdb0058_6_105w.pdb 0.036 15.987 7.016 0.10015 Incorrect Incorrect
allpdb0058_6_16w.pdb 0.091 11.941 6.707 0.15829 Incorrect Incorrect
allpdb0058_6_23w.pdb 0.091 12.054 6.726 0.15680 Incorrect Incorrect
allpdb0058_6_75w.pdb 0.000 21.362 9.360 0.05391 Incorrect Incorrect
allpdb0058_6_102w.pdb 0.000 15.281 8.268 0.08939 Incorrect Incorrect
allpdb0058_6_100w.pdb 0.127 12.370 6.895 0.16440 Incorrect Incorrect
allpdb0058_6_134w.pdb 0.145 13.560 5.992 0.16218 Incorrect Incorrect
allpdb0058_6_4w.pdb 0.091 14.721 6.156 0.13233 Incorrect Incorrect
allpdb0058_6_17w.pdb 0.091 12.492 6.914 0.15078 Incorrect Incorrect
allpdb0058_6_5w.pdb 0.164 12.963 5.641 0.17678 Incorrect Incorrect
allpdb0058_6_111w.pdb 0.055 14.553 7.796 0.11487 Incorrect Incorrect
allpdb0058_6_149w.pdb 0.182 7.853 4.312 0.27643 Acceptable Acceptable
allpdb0058_6_84w.pdb 0.182 15.069 6.523 0.15780 Incorrect Incorrect
allpdb0058_6_49w.pdb 0.218 10.240 5.022 0.23601 Incorrect Acceptable
allpdb0058_6_144w.pdb 0.182 8.159 4.345 0.26958 Acceptable Acceptable
allpdb0058_6_136w.pdb 0.091 12.358 6.843 0.15264 Incorrect Incorrect
allpdb0058_6_58w.pdb 0.091 12.174 6.787 0.15507 Incorrect Incorrect
allpdb0058_6_106w.pdb 0.109 13.145 5.679 0.15639 Incorrect Incorrect
allpdb0058_6_25w.pdb 0.091 10.514 5.441 0.18560 Incorrect Incorrect
allpdb0058_6_39w.pdb 0.091 12.611 7.041 0.14890 Incorrect Incorrect
allpdb0058_6_200w.pdb 0.200 8.585 4.205 0.26931 Acceptable Acceptable
allpdb0058_6_167w.pdb 0.418 5.151 2.051 0.49933 Acceptable Medium
allpdb0058_6_53w.pdb 0.055 13.097 7.159 0.13100 Incorrect Incorrect
allpdb0058_6_85w.pdb 0.255 10.518 4.807 0.24612 Incorrect Acceptable
allpdb0058_6_194w.pdb 0.109 10.663 5.059 0.19282 Incorrect Incorrect
allpdb0058_6_179w.pdb 0.164 8.087 4.045 0.26981 Acceptable Acceptable
allpdb0058_6_10w.pdb 0.091 12.399 6.863 0.15207 Incorrect Incorrect
allpdb0058_6_60w.pdb 0.091 12.584 6.974 0.14948 Incorrect Incorrect
allpdb0058_6_29w.pdb 0.036 14.507 8.095 0.10838 Incorrect Incorrect
