#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0234_4_71w.pdb 0.569 3.198 1.386 0.66153 Medium Medium
allpdb0234_4_121w.pdb 0.532 3.512 1.634 0.61444 Medium Medium
allpdb0234_4_45w.pdb 0.447 3.400 1.675 0.58468 Medium Medium
allpdb0234_4_114w.pdb 0.511 2.888 1.566 0.62854 Medium Medium
allpdb0234_4_49w.pdb 0.431 3.749 1.925 0.54864 Medium Medium
allpdb0234_4_195w.pdb 0.415 3.676 1.659 0.56906 Medium Medium
allpdb0234_4_110w.pdb 0.463 3.433 1.559 0.60113 Medium Medium
allpdb0234_4_36w.pdb 0.500 2.826 1.481 0.63563 Medium Medium
allpdb0234_4_170w.pdb 0.426 3.744 1.669 0.56993 Medium Medium
allpdb0234_4_52w.pdb 0.362 4.668 1.999 0.49672 Medium Medium
allpdb0234_4_168w.pdb 0.484 2.893 1.513 0.62533 Medium Medium
allpdb0234_4_38w.pdb 0.500 3.492 1.653 0.60237 Medium Medium
allpdb0234_4_92w.pdb 0.473 3.205 1.651 0.60041 Medium Medium
allpdb0234_4_157w.pdb 0.500 3.101 1.532 0.62404 Medium Medium
allpdb0234_4_176w.pdb 0.473 3.699 1.725 0.58157 Medium Medium
allpdb0234_4_118w.pdb 0.489 2.657 1.376 0.64773 Medium Medium
allpdb0234_4_99w.pdb 0.457 3.286 1.638 0.59452 Medium Medium
allpdb0234_4_189w.pdb 0.431 4.950 2.170 0.50034 Medium Medium
allpdb0234_4_163w.pdb 0.420 4.931 1.877 0.51934 Medium Medium
allpdb0234_4_54w.pdb 0.378 4.190 1.990 0.51482 Medium Medium
allpdb0234_4_82w.pdb 0.394 4.178 1.990 0.52049 Medium Medium
allpdb0234_4_119w.pdb 0.410 4.403 1.980 0.52086 Medium Medium
allpdb0234_4_151w.pdb 0.452 3.592 1.636 0.58578 Medium Medium
allpdb0234_4_95w.pdb 0.372 4.211 2.015 0.51060 Medium Medium
allpdb0234_4_40w.pdb 0.452 2.830 1.453 0.62273 Medium Medium
allpdb0234_4_26w.pdb 0.394 3.654 1.804 0.54880 Medium Medium
allpdb0234_4_198w.pdb 0.378 3.460 1.652 0.56246 Medium Medium
allpdb0234_4_107w.pdb 0.218 6.705 3.403 0.33241 Acceptable Acceptable
allpdb0234_4_172w.pdb 0.426 4.558 1.779 0.53924 Medium Medium
allpdb0234_4_122w.pdb 0.319 3.820 2.052 0.49981 Medium Medium
allpdb0234_4_86w.pdb 0.404 4.229 1.832 0.53570 Medium Medium
allpdb0234_4_42w.pdb 0.452 2.785 1.418 0.62778 Medium Medium
allpdb0234_4_14w.pdb 0.399 4.700 2.127 0.49896 Medium Medium
allpdb0234_4_66w.pdb 0.372 2.959 1.587 0.57872 Medium Medium
allpdb0234_4_29w.pdb 0.372 3.413 1.824 0.54567 Medium Medium
allpdb0234_4_123w.pdb 0.441 3.398 1.645 0.58589 Medium Medium
allpdb0234_4_33w.pdb 0.383 3.907 1.665 0.55221 Medium Medium
allpdb0234_4_28w.pdb 0.362 4.204 1.952 0.51211 Medium Medium
allpdb0234_4_145w.pdb 0.447 2.829 1.335 0.63504 Medium Medium
allpdb0234_4_90w.pdb 0.356 3.271 1.708 0.55425 Medium Medium
allpdb0234_4_58w.pdb 0.340 4.781 2.178 0.47393 Medium Acceptable
allpdb0234_4_37w.pdb 0.372 3.418 1.742 0.55295 Medium Medium
allpdb0234_4_196w.pdb 0.394 3.482 1.710 0.56156 Medium Medium
allpdb0234_4_179w.pdb 0.362 4.956 2.060 0.48479 Medium Acceptable
allpdb0234_4_180w.pdb 0.372 4.087 1.791 0.53229 Medium Medium
allpdb0234_4_12w.pdb 0.394 3.097 1.568 0.58475 Medium Medium
allpdb0234_4_55w.pdb 0.340 4.728 2.155 0.47686 Medium Acceptable
allpdb0234_4_109w.pdb 0.383 3.456 1.699 0.55971 Medium Medium
allpdb0234_4_70w.pdb 0.394 3.041 1.556 0.58732 Medium Medium
allpdb0234_4_185w.pdb 0.367 4.388 1.949 0.50952 Medium Medium
allpdb0234_4_100w.pdb 0.367 3.227 1.649 0.56466 Medium Medium
allpdb0234_4_78w.pdb 0.388 4.025 1.918 0.52821 Medium Medium
allpdb0234_4_120w.pdb 0.340 4.066 1.982 0.50613 Medium Medium
allpdb0234_4_142w.pdb 0.351 5.467 2.093 0.46593 Acceptable Acceptable
allpdb0234_4_117w.pdb 0.309 3.922 2.046 0.49416 Medium Medium
allpdb0234_4_35w.pdb 0.372 3.017 1.538 0.58268 Medium Medium
allpdb0234_4_18w.pdb 0.351 3.343 1.715 0.55016 Medium Medium
allpdb0234_4_184w.pdb 0.404 4.252 1.848 0.53373 Medium Medium
allpdb0234_4_131w.pdb 0.426 2.957 1.492 0.60674 Medium Medium
allpdb0234_4_11w.pdb 0.330 3.991 1.936 0.50810 Medium Medium
allpdb0234_4_104w.pdb 0.324 4.749 2.006 0.48172 Medium Acceptable
allpdb0234_4_96w.pdb 0.351 4.644 2.182 0.48067 Medium Acceptable
allpdb0234_4_140w.pdb 0.319 3.920 2.008 0.50068 Medium Medium
allpdb0234_4_51w.pdb 0.293 3.501 1.825 0.51690 Acceptable Medium
allpdb0234_4_153w.pdb 0.330 4.381 2.139 0.48319 Medium Acceptable
allpdb0234_4_148w.pdb 0.303 4.746 2.207 0.46053 Medium Acceptable
allpdb0234_4_44w.pdb 0.372 3.231 1.649 0.56632 Medium Medium
allpdb0234_4_57w.pdb 0.309 4.503 2.177 0.47045 Medium Acceptable
allpdb0234_4_147w.pdb 0.309 4.825 2.266 0.45647 Medium Acceptable
allpdb0234_4_190w.pdb 0.351 4.336 1.938 0.50639 Medium Medium
allpdb0234_4_181w.pdb 0.319 4.984 2.125 0.46527 Medium Acceptable
allpdb0234_4_138w.pdb 0.324 3.902 1.820 0.51834 Medium Medium
allpdb0234_4_85w.pdb 0.335 3.514 1.789 0.53399 Medium Medium
allpdb0234_4_105w.pdb 0.340 3.949 1.908 0.51498 Medium Medium
allpdb0234_4_50w.pdb 0.351 3.730 1.822 0.53119 Medium Medium
allpdb0234_4_13w.pdb 0.314 4.450 2.141 0.47600 Medium Acceptable
allpdb0234_4_137w.pdb 0.319 4.806 2.110 0.47086 Medium Acceptable
allpdb0234_4_27w.pdb 0.277 5.289 2.570 0.41721 Acceptable Acceptable
allpdb0234_4_24w.pdb 0.383 3.091 1.598 0.57818 Medium Medium
allpdb0234_4_15w.pdb 0.271 4.892 2.320 0.43912 Acceptable Acceptable
allpdb0234_4_102w.pdb 0.330 3.821 1.942 0.51179 Medium Medium
allpdb0234_4_164w.pdb 0.314 5.202 2.279 0.44787 Acceptable Acceptable
allpdb0234_4_165w.pdb 0.330 3.084 1.660 0.55429 Medium Medium
allpdb0234_4_177w.pdb 0.303 4.126 1.905 0.49838 Medium Medium
allpdb0234_4_73w.pdb 0.314 3.855 1.839 0.51426 Medium Medium
allpdb0234_4_103w.pdb 0.372 3.500 1.866 0.54000 Medium Medium
allpdb0234_4_133w.pdb 0.346 4.739 1.981 0.49103 Medium Medium
allpdb0234_4_53w.pdb 0.367 3.308 1.572 0.57064 Medium Medium
allpdb0234_4_149w.pdb 0.293 4.935 2.141 0.45657 Acceptable Acceptable
allpdb0234_4_129w.pdb 0.330 4.444 2.181 0.47874 Medium Acceptable
allpdb0234_4_16w.pdb 0.340 4.593 2.076 0.48581 Medium Acceptable
allpdb0234_4_63w.pdb 0.356 3.690 1.920 0.52564 Medium Medium
allpdb0234_4_143w.pdb 0.309 5.052 2.219 0.45373 Acceptable Acceptable
allpdb0234_4_183w.pdb 0.335 3.931 1.674 0.53474 Medium Medium
allpdb0234_4_67w.pdb 0.335 3.512 1.799 0.53316 Medium Medium
allpdb0234_4_43w.pdb 0.319 3.862 1.943 0.50718 Medium Medium
allpdb0234_4_175w.pdb 0.314 4.222 1.892 0.50065 Medium Medium
allpdb0234_4_152w.pdb 0.314 4.130 1.923 0.50042 Medium Medium
allpdb0234_4_188w.pdb 0.324 4.807 2.030 0.47846 Medium Acceptable
allpdb0234_4_30w.pdb 0.154 8.934 4.061 0.24981 Acceptable Acceptable
allpdb0234_4_167w.pdb 0.277 4.242 1.947 0.48322 Acceptable Acceptable
allpdb0234_4_186w.pdb 0.309 5.025 2.257 0.45194 Acceptable Acceptable
allpdb0234_4_8w.pdb 0.154 8.035 3.729 0.27386 Acceptable Acceptable
allpdb0234_4_34w.pdb 0.351 4.085 1.980 0.50933 Medium Medium
allpdb0234_4_75w.pdb 0.309 4.252 2.076 0.48379 Medium Acceptable
allpdb0234_4_187w.pdb 0.335 4.392 1.987 0.49584 Medium Medium
allpdb0234_4_93w.pdb 0.303 4.928 2.293 0.45044 Medium Acceptable
allpdb0234_4_174w.pdb 0.266 4.027 1.873 0.49111 Acceptable Medium
allpdb0234_4_72w.pdb 0.261 4.544 2.052 0.46223 Acceptable Acceptable
allpdb0234_4_60w.pdb 0.319 3.874 1.915 0.50916 Medium Medium
allpdb0234_4_41w.pdb 0.266 5.521 2.725 0.40061 Acceptable Acceptable
allpdb0234_4_4w.pdb 0.266 4.911 2.264 0.44028 Acceptable Acceptable
allpdb0234_4_134w.pdb 0.261 4.277 1.975 0.47479 Acceptable Acceptable
allpdb0234_4_155w.pdb 0.314 4.617 1.990 0.48280 Medium Acceptable
allpdb0234_4_5w.pdb 0.122 9.349 4.334 0.22728 Acceptable Incorrect
allpdb0234_4_20w.pdb 0.314 3.936 2.003 0.49884 Medium Medium
allpdb0234_4_84w.pdb 0.314 3.925 1.943 0.50383 Medium Medium
allpdb0234_4_91w.pdb 0.303 4.784 2.172 0.46183 Medium Acceptable
allpdb0234_4_65w.pdb 0.298 3.747 1.910 0.50559 Acceptable Medium
allpdb0234_4_101w.pdb 0.207 6.157 2.887 0.35864 Acceptable Acceptable
allpdb0234_4_112w.pdb 0.298 3.544 1.703 0.52889 Acceptable Medium
allpdb0234_4_192w.pdb 0.282 4.668 2.027 0.46804 Acceptable Acceptable
allpdb0234_4_9w.pdb 0.181 9.046 3.781 0.26192 Acceptable Acceptable
allpdb0234_4_200w.pdb 0.298 5.393 2.140 0.44678 Acceptable Acceptable
allpdb0234_4_6w.pdb 0.298 4.590 2.280 0.45804 Acceptable Acceptable
allpdb0234_4_115w.pdb 0.293 3.780 1.871 0.50619 Acceptable Medium
allpdb0234_4_62w.pdb 0.266 3.886 1.855 0.49614 Acceptable Medium
allpdb0234_4_113w.pdb 0.298 6.088 2.543 0.40567 Acceptable Acceptable
allpdb0234_4_89w.pdb 0.261 3.454 1.712 0.51772 Acceptable Medium
allpdb0234_4_169w.pdb 0.324 4.982 2.175 0.46366 Medium Acceptable
allpdb0234_4_68w.pdb 0.314 3.642 1.831 0.52013 Medium Medium
allpdb0234_4_77w.pdb 0.277 3.709 1.807 0.50821 Acceptable Medium
allpdb0234_4_158w.pdb 0.298 4.397 2.098 0.47499 Acceptable Acceptable
allpdb0234_4_7w.pdb 0.303 3.947 1.985 0.49645 Medium Medium
allpdb0234_4_135w.pdb 0.282 5.261 2.210 0.44014 Acceptable Acceptable
allpdb0234_4_146w.pdb 0.298 4.487 2.066 0.47507 Acceptable Acceptable
allpdb0234_4_116w.pdb 0.271 3.873 1.937 0.49145 Acceptable Medium
allpdb0234_4_178w.pdb 0.245 4.017 1.914 0.48087 Acceptable Acceptable
allpdb0234_4_98w.pdb 0.277 3.608 1.931 0.50005 Acceptable Medium
allpdb0234_4_191w.pdb 0.303 4.464 2.151 0.47141 Medium Acceptable
allpdb0234_4_21w.pdb 0.250 4.913 2.443 0.42448 Acceptable Acceptable
allpdb0234_4_139w.pdb 0.261 3.410 1.740 0.51613 Acceptable Medium
allpdb0234_4_108w.pdb 0.261 4.451 2.143 0.45806 Acceptable Acceptable
allpdb0234_4_141w.pdb 0.266 4.947 2.191 0.44399 Acceptable Acceptable
allpdb0234_4_194w.pdb 0.255 4.029 2.035 0.47459 Acceptable Acceptable
allpdb0234_4_136w.pdb 0.282 4.962 2.392 0.43663 Acceptable Acceptable
allpdb0234_4_2w.pdb 0.277 4.680 2.356 0.44412 Acceptable Acceptable
allpdb0234_4_127w.pdb 0.255 4.763 2.162 0.44714 Acceptable Acceptable
allpdb0234_4_56w.pdb 0.239 4.290 1.874 0.47563 Acceptable Acceptable
allpdb0234_4_130w.pdb 0.245 6.513 2.611 0.37429 Acceptable Acceptable
allpdb0234_4_106w.pdb 0.293 4.402 2.224 0.46457 Acceptable Acceptable
allpdb0234_4_173w.pdb 0.271 5.224 2.264 0.43404 Acceptable Acceptable
allpdb0234_4_46w.pdb 0.261 4.651 2.071 0.45814 Acceptable Acceptable
allpdb0234_4_10w.pdb 0.261 4.784 2.304 0.43922 Acceptable Acceptable
allpdb0234_4_1w.pdb 0.245 5.431 2.570 0.40297 Acceptable Acceptable
allpdb0234_4_162w.pdb 0.261 5.482 2.315 0.42086 Acceptable Acceptable
allpdb0234_4_128w.pdb 0.223 5.215 2.441 0.40803 Acceptable Acceptable
allpdb0234_4_144w.pdb 0.266 5.328 2.218 0.43259 Acceptable Acceptable
allpdb0234_4_48w.pdb 0.213 5.283 2.476 0.40086 Acceptable Acceptable
allpdb0234_4_39w.pdb 0.234 5.018 2.389 0.41946 Acceptable Acceptable
allpdb0234_4_125w.pdb 0.239 4.844 2.246 0.43422 Acceptable Acceptable
allpdb0234_4_81w.pdb 0.250 3.775 1.893 0.49034 Acceptable Medium
allpdb0234_4_160w.pdb 0.250 4.048 1.878 0.48488 Acceptable Acceptable
allpdb0234_4_83w.pdb 0.223 4.701 2.326 0.42761 Acceptable Acceptable
allpdb0234_4_88w.pdb 0.197 4.844 2.490 0.40596 Acceptable Acceptable
allpdb0234_4_132w.pdb 0.261 4.039 2.064 0.47398 Acceptable Acceptable
allpdb0234_4_97w.pdb 0.213 5.160 2.556 0.39991 Acceptable Acceptable
allpdb0234_4_126w.pdb 0.239 4.032 1.993 0.47240 Acceptable Acceptable
allpdb0234_4_19w.pdb 0.229 5.059 2.463 0.41258 Acceptable Acceptable
allpdb0234_4_80w.pdb 0.239 4.208 2.078 0.46169 Acceptable Acceptable
allpdb0234_4_32w.pdb 0.234 4.776 2.361 0.42723 Acceptable Acceptable
allpdb0234_4_17w.pdb 0.234 4.511 2.179 0.44523 Acceptable Acceptable
allpdb0234_4_22w.pdb 0.202 5.905 2.818 0.36580 Acceptable Acceptable
allpdb0234_4_59w.pdb 0.261 3.843 1.957 0.48695 Acceptable Acceptable
allpdb0234_4_94w.pdb 0.229 4.383 2.149 0.44876 Acceptable Acceptable
allpdb0234_4_182w.pdb 0.191 5.403 2.377 0.39614 Acceptable Acceptable
allpdb0234_4_166w.pdb 0.202 5.442 2.322 0.40194 Acceptable Acceptable
allpdb0234_4_159w.pdb 0.213 5.866 2.470 0.38653 Acceptable Acceptable
allpdb0234_4_76w.pdb 0.191 5.240 2.527 0.39220 Acceptable Acceptable
allpdb0234_4_154w.pdb 0.239 4.346 2.159 0.45254 Acceptable Acceptable
allpdb0234_4_197w.pdb 0.191 5.765 2.521 0.37930 Acceptable Acceptable
allpdb0234_4_25w.pdb 0.181 5.002 2.554 0.39334 Acceptable Acceptable
allpdb0234_4_111w.pdb 0.197 5.040 2.349 0.40878 Acceptable Acceptable
allpdb0234_4_74w.pdb 0.213 4.226 2.158 0.44677 Acceptable Acceptable
allpdb0234_4_156w.pdb 0.223 5.090 2.366 0.41540 Acceptable Acceptable
allpdb0234_4_64w.pdb 0.202 3.930 1.956 0.46546 Acceptable Acceptable
allpdb0234_4_61w.pdb 0.239 4.155 2.055 0.46470 Acceptable Acceptable
allpdb0234_4_171w.pdb 0.133 7.935 3.687 0.26978 Acceptable Acceptable
allpdb0234_4_150w.pdb 0.186 6.660 2.744 0.34529 Acceptable Acceptable
allpdb0234_4_23w.pdb 0.186 3.863 1.925 0.46430 Acceptable Acceptable
allpdb0234_4_199w.pdb 0.165 5.847 2.661 0.36160 Acceptable Acceptable
allpdb0234_4_161w.pdb 0.181 5.104 2.669 0.38529 Acceptable Acceptable
allpdb0234_4_124w.pdb 0.165 4.699 2.353 0.40658 Acceptable Acceptable
allpdb0234_4_69w.pdb 0.197 5.151 2.560 0.39460 Acceptable Acceptable
allpdb0234_4_193w.pdb 0.154 6.623 2.874 0.33021 Acceptable Acceptable
allpdb0234_4_87w.pdb 0.160 4.666 2.324 0.40735 Acceptable Acceptable
allpdb0234_4_31w.pdb 0.128 5.725 2.678 0.35144 Acceptable Acceptable
allpdb0234_4_79w.pdb 0.165 6.670 3.092 0.32477 Acceptable Acceptable
allpdb0234_4_47w.pdb 0.144 4.946 2.550 0.38259 Acceptable Acceptable
allpdb0234_4_3w.pdb 0.133 5.701 2.860 0.34616 Acceptable Acceptable
