#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0234_4_164w.pdb 0.505 3.223 1.467 0.63020 Medium Medium
allpdb0234_4_76w.pdb 0.489 2.588 1.460 0.63931 Medium Medium
allpdb0234_4_8w.pdb 0.330 8.726 3.119 0.33485 Acceptable Acceptable
allpdb0234_4_158w.pdb 0.468 3.999 1.684 0.57643 Medium Medium
allpdb0234_4_81w.pdb 0.362 3.781 1.725 0.54239 Medium Medium
allpdb0234_4_15w.pdb 0.404 3.920 1.774 0.54857 Medium Medium
allpdb0234_4_83w.pdb 0.441 4.094 1.852 0.54979 Medium Medium
allpdb0234_4_94w.pdb 0.356 5.033 2.085 0.47930 Acceptable Acceptable
allpdb0234_4_64w.pdb 0.394 5.009 2.069 0.49347 Acceptable Medium
allpdb0234_4_122w.pdb 0.303 5.562 2.482 0.42364 Acceptable Acceptable
allpdb0234_4_37w.pdb 0.351 4.652 2.022 0.49182 Medium Medium
allpdb0234_4_152w.pdb 0.202 9.349 3.772 0.26375 Acceptable Acceptable
allpdb0234_4_36w.pdb 0.394 4.378 1.843 0.52751 Medium Medium
allpdb0234_4_199w.pdb 0.463 3.132 1.567 0.60709 Medium Medium
allpdb0234_4_124w.pdb 0.431 3.563 1.688 0.57419 Medium Medium
allpdb0234_4_32w.pdb 0.340 6.465 2.470 0.41446 Acceptable Acceptable
allpdb0234_4_1w.pdb 0.330 6.127 2.675 0.40902 Acceptable Acceptable
allpdb0234_4_180w.pdb 0.399 4.424 1.920 0.52158 Medium Medium
allpdb0234_4_58w.pdb 0.351 5.912 2.371 0.43697 Acceptable Acceptable
allpdb0234_4_123w.pdb 0.367 4.698 1.924 0.50368 Medium Medium
allpdb0234_4_39w.pdb 0.378 5.328 2.239 0.46845 Acceptable Acceptable
allpdb0234_4_14w.pdb 0.314 6.180 2.539 0.40890 Acceptable Acceptable
allpdb0234_4_136w.pdb 0.378 4.795 1.991 0.49948 Medium Medium
allpdb0234_4_59w.pdb 0.319 4.432 2.048 0.48488 Medium Acceptable
allpdb0234_4_61w.pdb 0.362 5.239 2.088 0.47560 Acceptable Acceptable
allpdb0234_4_182w.pdb 0.340 6.443 2.604 0.40820 Acceptable Acceptable
allpdb0234_4_50w.pdb 0.314 5.647 2.403 0.42935 Acceptable Acceptable
allpdb0234_4_148w.pdb 0.362 5.591 2.187 0.45987 Acceptable Acceptable
allpdb0234_4_133w.pdb 0.378 4.720 2.020 0.49916 Medium Medium
allpdb0234_4_145w.pdb 0.356 4.606 1.976 0.49834 Medium Medium
allpdb0234_4_43w.pdb 0.351 3.999 1.851 0.52211 Medium Medium
allpdb0234_4_65w.pdb 0.245 7.120 2.855 0.34955 Acceptable Acceptable
allpdb0234_4_140w.pdb 0.340 5.390 2.186 0.45790 Acceptable Acceptable
allpdb0234_4_66w.pdb 0.351 4.957 2.172 0.47342 Medium Acceptable
allpdb0234_4_173w.pdb 0.372 4.934 2.020 0.49192 Medium Medium
allpdb0234_4_108w.pdb 0.266 6.669 2.690 0.37402 Acceptable Acceptable
allpdb0234_4_45w.pdb 0.293 5.550 2.249 0.43386 Acceptable Acceptable
allpdb0234_4_57w.pdb 0.319 5.163 2.101 0.46241 Acceptable Acceptable
