#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0234_4_1w.pdb 0.559 3.647 1.657 0.61777 Medium Medium
allpdb0234_4_187w.pdb 0.335 7.551 2.952 0.36639 Acceptable Acceptable
allpdb0234_4_125w.pdb 0.426 5.520 2.108 0.48838 Acceptable Acceptable
allpdb0234_4_65w.pdb 0.410 6.886 2.692 0.41673 Acceptable Acceptable
allpdb0234_4_4w.pdb 0.330 4.978 2.098 0.47091 Medium Acceptable
allpdb0234_4_19w.pdb 0.282 8.227 3.122 0.32859 Acceptable Acceptable
allpdb0234_4_90w.pdb 0.548 2.815 1.229 0.68251 Medium Medium
allpdb0234_4_47w.pdb 0.436 4.876 1.958 0.51945 Medium Medium
allpdb0234_4_99w.pdb 0.457 4.497 2.146 0.52228 Medium Medium
allpdb0234_4_21w.pdb 0.239 8.364 3.690 0.29642 Acceptable Acceptable
allpdb0234_4_29w.pdb 0.340 7.152 3.055 0.37340 Acceptable Acceptable
allpdb0234_4_14w.pdb 0.293 7.223 2.863 0.36289 Acceptable Acceptable
allpdb0234_4_53w.pdb 0.197 10.762 4.640 0.22520 Incorrect Incorrect
allpdb0234_4_40w.pdb 0.436 3.305 1.670 0.58375 Medium Medium
allpdb0234_4_54w.pdb 0.229 10.452 4.166 0.24718 Incorrect Acceptable
allpdb0234_4_7w.pdb 0.298 7.278 3.073 0.35576 Acceptable Acceptable
allpdb0234_4_189w.pdb 0.399 4.697 1.998 0.50852 Medium Medium
allpdb0234_4_165w.pdb 0.388 6.204 2.404 0.44031 Acceptable Acceptable
allpdb0234_4_58w.pdb 0.170 10.735 4.039 0.22559 Incorrect Incorrect
allpdb0234_4_62w.pdb 0.463 2.922 1.560 0.61248 Medium Medium
allpdb0234_4_122w.pdb 0.250 10.164 4.138 0.25922 Incorrect Acceptable
allpdb0234_4_105w.pdb 0.309 7.483 2.780 0.36577 Acceptable Acceptable
allpdb0234_4_110w.pdb 0.463 4.119 1.700 0.57013 Medium Medium
allpdb0234_4_102w.pdb 0.420 5.138 1.973 0.50628 Medium Medium
allpdb0234_4_88w.pdb 0.229 10.264 4.101 0.25118 Incorrect Acceptable
allpdb0234_4_174w.pdb 0.255 8.527 3.823 0.29571 Acceptable Acceptable
allpdb0234_4_89w.pdb 0.176 8.090 3.843 0.27748 Acceptable Acceptable
allpdb0234_4_198w.pdb 0.271 9.689 4.072 0.27521 Acceptable Acceptable
allpdb0234_4_133w.pdb 0.223 6.528 3.342 0.34002 Acceptable Acceptable
allpdb0234_4_8w.pdb 0.303 5.498 2.280 0.43677 Acceptable Acceptable
allpdb0234_4_140w.pdb 0.016 35.279 14.780 0.02701 Incorrect Incorrect
allpdb0234_4_44w.pdb 0.239 8.122 3.159 0.31537 Acceptable Acceptable
allpdb0234_4_86w.pdb 0.463 5.179 2.188 0.50388 Acceptable Medium
allpdb0234_4_3w.pdb 0.303 4.233 2.056 0.48398 Medium Acceptable
allpdb0234_4_146w.pdb 0.473 3.162 1.462 0.62151 Medium Medium
allpdb0234_4_18w.pdb 0.356 5.053 2.186 0.47179 Acceptable Acceptable
allpdb0234_4_87w.pdb 0.293 6.815 2.655 0.38107 Acceptable Acceptable
allpdb0234_4_188w.pdb 0.303 7.871 2.999 0.34723 Acceptable Acceptable
allpdb0234_4_168w.pdb 0.255 8.693 3.885 0.29127 Acceptable Acceptable
allpdb0234_4_48w.pdb 0.218 8.788 3.463 0.28647 Acceptable Acceptable
allpdb0234_4_181w.pdb 0.468 4.329 1.910 0.54785 Medium Medium
allpdb0234_4_138w.pdb 0.410 4.577 1.902 0.52276 Medium Medium
allpdb0234_4_22w.pdb 0.213 8.818 3.510 0.28293 Acceptable Acceptable
