#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0732_8_112w.pdb 0.124 34.325 12.392 0.06527 Incorrect Incorrect
allpdb0732_8_62w.pdb 0.079 32.317 12.079 0.05285 Incorrect Incorrect
allpdb0732_8_151w.pdb 0.067 33.384 12.628 0.04740 Incorrect Incorrect
allpdb0732_8_160w.pdb 0.101 32.548 11.871 0.06023 Incorrect Incorrect
allpdb0732_8_131w.pdb 0.135 29.698 10.759 0.07654 Incorrect Incorrect
allpdb0732_8_110w.pdb 0.112 34.372 12.115 0.06170 Incorrect Incorrect
allpdb0732_8_135w.pdb 0.067 33.010 12.594 0.04786 Incorrect Incorrect
allpdb0732_8_104w.pdb 0.101 33.796 12.346 0.05839 Incorrect Incorrect
allpdb0732_8_188w.pdb 0.090 35.794 13.087 0.05208 Incorrect Incorrect
allpdb0732_8_18w.pdb 0.090 31.951 11.911 0.05720 Incorrect Incorrect
allpdb0732_8_127w.pdb 0.135 31.227 11.235 0.07378 Incorrect Incorrect
allpdb0732_8_108w.pdb 0.079 35.334 12.639 0.04908 Incorrect Incorrect
allpdb0732_8_67w.pdb 0.101 31.668 11.870 0.06135 Incorrect Incorrect
allpdb0732_8_189w.pdb 0.090 35.647 12.529 0.05261 Incorrect Incorrect
allpdb0732_8_144w.pdb 0.124 34.540 12.389 0.06505 Incorrect Incorrect
allpdb0732_8_158w.pdb 0.079 35.115 12.689 0.04926 Incorrect Incorrect
allpdb0732_8_191w.pdb 0.079 34.129 12.135 0.05070 Incorrect Incorrect
allpdb0732_8_184w.pdb 0.101 35.164 12.636 0.05674 Incorrect Incorrect
allpdb0732_8_101w.pdb 0.090 34.623 12.201 0.05387 Incorrect Incorrect
allpdb0732_8_115w.pdb 0.135 31.251 11.019 0.07397 Incorrect Incorrect
allpdb0732_8_100w.pdb 0.090 35.321 12.698 0.05280 Incorrect Incorrect
allpdb0732_8_86w.pdb 0.056 32.664 12.134 0.04488 Incorrect Incorrect
allpdb0732_8_102w.pdb 0.101 31.146 11.261 0.06262 Incorrect Incorrect
allpdb0732_8_141w.pdb 0.112 34.488 12.193 0.06151 Incorrect Incorrect
allpdb0732_8_34w.pdb 0.101 33.195 12.226 0.05916 Incorrect Incorrect
allpdb0732_8_199w.pdb 0.090 32.164 11.639 0.05717 Incorrect Incorrect
allpdb0732_8_171w.pdb 0.090 34.715 12.271 0.05372 Incorrect Incorrect
allpdb0732_8_179w.pdb 0.090 35.083 12.413 0.05324 Incorrect Incorrect
allpdb0732_8_31w.pdb 0.090 31.453 11.608 0.05812 Incorrect Incorrect
allpdb0732_8_11w.pdb 0.101 31.071 11.485 0.06251 Incorrect Incorrect
allpdb0732_8_176w.pdb 0.124 34.454 12.347 0.06517 Incorrect Incorrect
allpdb0732_8_42w.pdb 0.067 32.411 12.193 0.04889 Incorrect Incorrect
allpdb0732_8_187w.pdb 0.157 30.028 11.070 0.08317 Incorrect Incorrect
allpdb0732_8_197w.pdb 0.090 33.968 12.258 0.05452 Incorrect Incorrect
allpdb0732_8_173w.pdb 0.090 30.845 11.101 0.05947 Incorrect Incorrect
allpdb0732_8_167w.pdb 0.090 35.259 12.640 0.05290 Incorrect Incorrect
allpdb0732_8_159w.pdb 0.090 34.618 12.433 0.05370 Incorrect Incorrect
allpdb0732_8_82w.pdb 0.067 32.392 12.013 0.04906 Incorrect Incorrect
allpdb0732_8_53w.pdb 0.067 32.078 11.752 0.04968 Incorrect Incorrect
allpdb0732_8_84w.pdb 0.101 31.455 11.797 0.06170 Incorrect Incorrect
allpdb0732_8_120w.pdb 0.079 34.499 12.437 0.05007 Incorrect Incorrect
allpdb0732_8_143w.pdb 0.090 34.383 12.334 0.05402 Incorrect Incorrect
allpdb0732_8_29w.pdb 0.067 32.015 11.889 0.04964 Incorrect Incorrect
allpdb0732_8_168w.pdb 0.112 30.900 11.209 0.06677 Incorrect Incorrect
allpdb0732_8_146w.pdb 0.090 34.698 12.604 0.05349 Incorrect Incorrect
allpdb0732_8_195w.pdb 0.090 35.163 12.325 0.05323 Incorrect Incorrect
allpdb0732_8_24w.pdb 0.090 31.269 11.510 0.05847 Incorrect Incorrect
allpdb0732_8_9w.pdb 0.067 32.162 11.873 0.04947 Incorrect Incorrect
allpdb0732_8_25w.pdb 0.079 31.864 11.828 0.05364 Incorrect Incorrect
allpdb0732_8_198w.pdb 0.101 31.652 11.464 0.06174 Incorrect Incorrect
allpdb0732_8_174w.pdb 0.101 33.673 12.087 0.05873 Incorrect Incorrect
allpdb0732_8_145w.pdb 0.090 35.231 12.544 0.05300 Incorrect Incorrect
allpdb0732_8_105w.pdb 0.090 35.168 12.403 0.05317 Incorrect Incorrect
allpdb0732_8_44w.pdb 0.056 33.164 12.283 0.04417 Incorrect Incorrect
allpdb0732_8_200w.pdb 0.090 34.423 12.409 0.05392 Incorrect Incorrect
allpdb0732_8_194w.pdb 0.079 34.687 12.403 0.04991 Incorrect Incorrect
allpdb0732_8_192w.pdb 0.079 35.891 13.126 0.04822 Incorrect Incorrect
allpdb0732_8_116w.pdb 0.090 34.748 12.478 0.05353 Incorrect Incorrect
allpdb0732_8_178w.pdb 0.101 31.738 11.556 0.06154 Incorrect Incorrect
allpdb0732_8_38w.pdb 0.090 31.862 11.891 0.05733 Incorrect Incorrect
allpdb0732_8_123w.pdb 0.079 31.374 11.362 0.05472 Incorrect Incorrect
allpdb0732_8_132w.pdb 0.090 34.780 12.407 0.05355 Incorrect Incorrect
allpdb0732_8_94w.pdb 0.067 31.439 11.647 0.05062 Incorrect Incorrect
allpdb0732_8_163w.pdb 0.067 34.737 12.931 0.04573 Incorrect Incorrect
allpdb0732_8_121w.pdb 0.090 34.929 12.320 0.05347 Incorrect Incorrect
allpdb0732_8_32w.pdb 0.067 31.865 11.718 0.04999 Incorrect Incorrect
allpdb0732_8_196w.pdb 0.101 34.588 12.241 0.05762 Incorrect Incorrect
allpdb0732_8_118w.pdb 0.101 34.903 12.573 0.05705 Incorrect Incorrect
allpdb0732_8_149w.pdb 0.101 34.905 12.373 0.05720 Incorrect Incorrect
allpdb0732_8_164w.pdb 0.090 34.812 12.558 0.05341 Incorrect Incorrect
allpdb0732_8_175w.pdb 0.079 33.913 12.792 0.05044 Incorrect Incorrect
allpdb0732_8_138w.pdb 0.079 34.911 12.484 0.04962 Incorrect Incorrect
allpdb0732_8_37w.pdb 0.056 31.482 11.590 0.04687 Incorrect Incorrect
allpdb0732_8_147w.pdb 0.090 35.121 12.484 0.05315 Incorrect Incorrect
allpdb0732_8_114w.pdb 0.090 34.760 12.465 0.05353 Incorrect Incorrect
allpdb0732_8_99w.pdb 0.045 32.670 12.065 0.04119 Incorrect Incorrect
