#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0732_8_80w.pdb 0.056 35.005 13.096 0.04160 Incorrect Incorrect
allpdb0732_8_114w.pdb 0.056 35.094 13.317 0.04137 Incorrect Incorrect
allpdb0732_8_126w.pdb 0.045 35.679 13.412 0.03700 Incorrect Incorrect
allpdb0732_8_73w.pdb 0.045 36.178 13.846 0.03629 Incorrect Incorrect
allpdb0732_8_142w.pdb 0.067 35.390 13.454 0.04474 Incorrect Incorrect
allpdb0732_8_164w.pdb 0.056 35.097 13.303 0.04138 Incorrect Incorrect
allpdb0732_8_160w.pdb 0.056 35.471 13.342 0.04099 Incorrect Incorrect
allpdb0732_8_101w.pdb 0.056 35.723 13.456 0.04068 Incorrect Incorrect
allpdb0732_8_48w.pdb 0.056 35.496 13.454 0.04090 Incorrect Incorrect
allpdb0732_8_94w.pdb 0.067 35.253 13.365 0.04493 Incorrect Incorrect
allpdb0732_8_19w.pdb 0.056 36.249 13.698 0.04005 Incorrect Incorrect
allpdb0732_8_49w.pdb 0.079 35.449 13.374 0.04848 Incorrect Incorrect
allpdb0732_8_88w.pdb 0.056 35.785 13.549 0.04057 Incorrect Incorrect
allpdb0732_8_22w.pdb 0.045 35.107 13.369 0.03758 Incorrect Incorrect
allpdb0732_8_172w.pdb 0.056 35.615 13.460 0.04078 Incorrect Incorrect
allpdb0732_8_13w.pdb 0.067 34.974 13.403 0.04519 Incorrect Incorrect
allpdb0732_8_135w.pdb 0.045 35.278 13.455 0.03736 Incorrect Incorrect
allpdb0732_8_77w.pdb 0.045 35.361 13.616 0.03719 Incorrect Incorrect
allpdb0732_8_23w.pdb 0.045 35.250 13.402 0.03742 Incorrect Incorrect
allpdb0732_8_157w.pdb 0.056 35.225 13.358 0.04122 Incorrect Incorrect
allpdb0732_8_16w.pdb 0.056 36.429 14.003 0.03972 Incorrect Incorrect
allpdb0732_8_111w.pdb 0.034 36.411 13.783 0.03236 Incorrect Incorrect
allpdb0732_8_166w.pdb 0.034 34.926 12.990 0.03426 Incorrect Incorrect
allpdb0732_8_60w.pdb 0.045 34.899 13.198 0.03790 Incorrect Incorrect
allpdb0732_8_66w.pdb 0.067 35.426 13.466 0.04470 Incorrect Incorrect
allpdb0732_8_121w.pdb 0.056 36.148 13.756 0.04011 Incorrect Incorrect
allpdb0732_8_158w.pdb 0.056 35.728 13.741 0.04051 Incorrect Incorrect
allpdb0732_8_90w.pdb 0.056 35.928 13.736 0.04032 Incorrect Incorrect
allpdb0732_8_132w.pdb 0.034 35.672 13.576 0.03317 Incorrect Incorrect
allpdb0732_8_134w.pdb 0.056 35.864 13.689 0.04041 Incorrect Incorrect
allpdb0732_8_47w.pdb 0.034 35.657 13.719 0.03310 Incorrect Incorrect
allpdb0732_8_147w.pdb 0.045 34.552 13.216 0.03824 Incorrect Incorrect
allpdb0732_8_139w.pdb 0.056 36.216 13.860 0.03999 Incorrect Incorrect
allpdb0732_8_128w.pdb 0.056 35.908 13.759 0.04033 Incorrect Incorrect
