#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0732_8_20w.pdb 0.079 33.413 12.722 0.05105 Incorrect Incorrect
allpdb0732_8_169w.pdb 0.045 33.947 13.052 0.03899 Incorrect Incorrect
allpdb0732_8_74w.pdb 0.056 34.610 13.419 0.04180 Incorrect Incorrect
allpdb0732_8_82w.pdb 0.067 33.880 12.774 0.04674 Incorrect Incorrect
allpdb0732_8_1w.pdb 0.337 7.225 2.882 0.37694 Acceptable Acceptable
allpdb0732_8_142w.pdb 0.034 34.361 13.018 0.03483 Incorrect Incorrect
allpdb0732_8_19w.pdb 0.067 33.660 12.421 0.04725 Incorrect Incorrect
allpdb0732_8_89w.pdb 0.022 34.500 14.174 0.03026 Incorrect Incorrect
allpdb0732_8_102w.pdb 0.034 34.061 13.024 0.03514 Incorrect Incorrect
allpdb0732_8_171w.pdb 0.034 35.532 14.079 0.03302 Incorrect Incorrect
allpdb0732_8_36w.pdb 0.045 35.750 13.649 0.03679 Incorrect Incorrect
allpdb0732_8_148w.pdb 0.079 32.606 12.538 0.05213 Incorrect Incorrect
allpdb0732_8_31w.pdb 0.045 34.281 12.536 0.03899 Incorrect Incorrect
allpdb0732_8_149w.pdb 0.034 34.925 14.373 0.03347 Incorrect Incorrect
allpdb0732_8_196w.pdb 0.056 34.422 12.580 0.04256 Incorrect Incorrect
allpdb0732_8_40w.pdb 0.045 35.015 13.520 0.03758 Incorrect Incorrect
allpdb0732_8_98w.pdb 0.045 34.937 13.388 0.03774 Incorrect Incorrect
allpdb0732_8_76w.pdb 0.034 34.878 13.208 0.03417 Incorrect Incorrect
allpdb0732_8_79w.pdb 0.056 33.144 12.589 0.04396 Incorrect Incorrect
allpdb0732_8_129w.pdb 0.056 34.654 13.377 0.04178 Incorrect Incorrect
allpdb0732_8_117w.pdb 0.067 32.431 12.372 0.04873 Incorrect Incorrect
allpdb0732_8_195w.pdb 0.056 34.268 12.503 0.04278 Incorrect Incorrect
allpdb0732_8_118w.pdb 0.079 32.485 12.196 0.05254 Incorrect Incorrect
allpdb0732_8_193w.pdb 0.067 34.389 12.464 0.04642 Incorrect Incorrect
allpdb0732_8_4w.pdb 0.180 6.643 3.577 0.31671 Acceptable Acceptable
allpdb0732_8_146w.pdb 0.056 34.565 13.777 0.04164 Incorrect Incorrect
allpdb0732_8_112w.pdb 0.022 34.334 13.707 0.03068 Incorrect Incorrect
allpdb0732_8_13w.pdb 0.124 7.482 3.960 0.27084 Acceptable Acceptable
allpdb0732_8_183w.pdb 0.056 32.590 12.559 0.04465 Incorrect Incorrect
allpdb0732_8_69w.pdb 0.022 33.619 12.475 0.03227 Incorrect Incorrect
allpdb0732_8_29w.pdb 0.022 34.420 12.745 0.03120 Incorrect Incorrect
allpdb0732_8_85w.pdb 0.056 33.799 12.305 0.04343 Incorrect Incorrect
allpdb0732_8_2w.pdb 0.247 9.856 3.754 0.27047 Acceptable Acceptable
allpdb0732_8_37w.pdb 0.045 36.326 13.459 0.03637 Incorrect Incorrect
allpdb0732_8_55w.pdb 0.022 33.688 12.723 0.03201 Incorrect Incorrect
allpdb0732_8_80w.pdb 0.034 34.559 13.650 0.03423 Incorrect Incorrect
allpdb0732_8_41w.pdb 0.045 35.521 13.613 0.03703 Incorrect Incorrect
allpdb0732_8_93w.pdb 0.056 37.432 14.740 0.03849 Incorrect Incorrect
allpdb0732_8_185w.pdb 0.045 34.733 13.991 0.03760 Incorrect Incorrect
allpdb0732_8_50w.pdb 0.034 33.994 12.864 0.03532 Incorrect Incorrect
allpdb0732_8_157w.pdb 0.056 32.068 12.093 0.04566 Incorrect Incorrect
allpdb0732_8_47w.pdb 0.056 33.425 12.338 0.04383 Incorrect Incorrect
allpdb0732_8_198w.pdb 0.045 33.203 12.437 0.04026 Incorrect Incorrect
allpdb0732_8_87w.pdb 0.056 39.103 15.177 0.03699 Incorrect Incorrect
allpdb0732_8_48w.pdb 0.045 34.561 14.077 0.03774 Incorrect Incorrect
