#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb1938_2_2w.pdb 0.209 12.443 4.050 0.21583 Incorrect Incorrect
allpdb1938_2_1w.pdb 0.183 12.155 3.823 0.21482 Acceptable Incorrect
allpdb1938_2_26w.pdb 0.165 14.065 4.551 0.17690 Incorrect Incorrect
allpdb1938_2_90w.pdb 0.252 10.790 3.362 0.26703 Acceptable Acceptable
allpdb1938_2_40w.pdb 0.183 12.452 4.078 0.20654 Incorrect Incorrect
allpdb1938_2_11w.pdb 0.078 21.623 9.832 0.07828 Incorrect Incorrect
allpdb1938_2_101w.pdb 0.122 14.423 4.360 0.16179 Incorrect Incorrect
allpdb1938_2_5w.pdb 0.157 14.867 4.887 0.16299 Incorrect Incorrect
allpdb1938_2_44w.pdb 0.200 12.123 3.581 0.22627 Acceptable Incorrect
allpdb1938_2_4w.pdb 0.130 14.590 4.779 0.15783 Incorrect Incorrect
allpdb1938_2_39w.pdb 0.191 9.969 3.442 0.25730 Acceptable Acceptable
allpdb1938_2_73w.pdb 0.174 11.381 3.972 0.21893 Acceptable Incorrect
allpdb1938_2_32w.pdb 0.165 10.595 3.750 0.23159 Acceptable Acceptable
allpdb1938_2_19w.pdb 0.139 15.079 4.728 0.15724 Incorrect Incorrect
allpdb1938_2_48w.pdb 0.139 13.422 4.811 0.17133 Incorrect Incorrect
allpdb1938_2_6w.pdb 0.130 13.151 4.410 0.17626 Incorrect Incorrect
allpdb1938_2_59w.pdb 0.157 13.771 5.299 0.16886 Incorrect Incorrect
allpdb1938_2_199w.pdb 0.122 15.075 4.534 0.15388 Incorrect Incorrect
allpdb1938_2_46w.pdb 0.087 17.221 5.337 0.11869 Incorrect Incorrect
allpdb1938_2_71w.pdb 0.148 11.119 3.565 0.22236 Acceptable Incorrect
allpdb1938_2_54w.pdb 0.217 13.146 4.845 0.19990 Incorrect Incorrect
allpdb1938_2_176w.pdb 0.122 17.292 7.989 0.11680 Incorrect Incorrect
allpdb1938_2_8w.pdb 0.104 17.282 6.240 0.11792 Incorrect Incorrect
allpdb1938_2_47w.pdb 0.000 33.937 10.765 0.02602 Incorrect Incorrect
allpdb1938_2_157w.pdb 0.078 18.132 6.559 0.10271 Incorrect Incorrect
allpdb1938_2_29w.pdb 0.043 18.335 6.862 0.08866 Incorrect Incorrect
allpdb1938_2_95w.pdb 0.096 14.808 4.721 0.14507 Incorrect Incorrect
allpdb1938_2_55w.pdb 0.043 27.658 8.994 0.05228 Incorrect Incorrect
allpdb1938_2_45w.pdb 0.087 18.088 5.506 0.11231 Incorrect Incorrect
allpdb1938_2_149w.pdb 0.209 8.557 2.967 0.30296 Acceptable Acceptable
allpdb1938_2_153w.pdb 0.061 22.042 8.258 0.07409 Incorrect Incorrect
allpdb1938_2_74w.pdb 0.009 34.174 11.168 0.02823 Incorrect Incorrect
allpdb1938_2_3w.pdb 0.026 28.470 9.294 0.04444 Incorrect Incorrect
allpdb1938_2_128w.pdb 0.061 20.740 7.670 0.08051 Incorrect Incorrect
allpdb1938_2_72w.pdb 0.026 21.715 7.996 0.06432 Incorrect Incorrect
allpdb1938_2_25w.pdb 0.052 26.541 8.842 0.05772 Incorrect Incorrect
allpdb1938_2_17w.pdb 0.026 29.338 9.578 0.04249 Incorrect Incorrect
allpdb1938_2_148w.pdb 0.035 22.175 7.940 0.06578 Incorrect Incorrect
allpdb1938_2_171w.pdb 0.017 35.359 15.175 0.02723 Incorrect Incorrect
allpdb1938_2_31w.pdb 0.096 16.470 4.806 0.13158 Incorrect Incorrect
allpdb1938_2_7w.pdb 0.026 20.701 8.134 0.06775 Incorrect Incorrect
allpdb1938_2_60w.pdb 0.148 12.169 5.213 0.18406 Incorrect Incorrect
allpdb1938_2_120w.pdb 0.087 14.951 4.756 0.14057 Incorrect Incorrect
allpdb1938_2_108w.pdb 0.104 18.358 8.512 0.10367 Incorrect Incorrect
allpdb1938_2_27w.pdb 0.017 20.180 6.907 0.07104 Incorrect Incorrect
allpdb1938_2_111w.pdb 0.130 17.013 7.942 0.12154 Incorrect Incorrect
allpdb1938_2_20w.pdb 0.061 16.338 6.881 0.10642 Incorrect Incorrect
allpdb1938_2_69w.pdb 0.070 22.941 10.546 0.07004 Incorrect Incorrect
allpdb1938_2_142w.pdb 0.087 21.318 9.942 0.08213 Incorrect Incorrect
allpdb1938_2_174w.pdb 0.061 20.915 7.702 0.07972 Incorrect Incorrect
allpdb1938_2_183w.pdb 0.096 19.275 8.991 0.09518 Incorrect Incorrect
allpdb1938_2_24w.pdb 0.096 18.629 7.645 0.10168 Incorrect Incorrect
allpdb1938_2_150w.pdb 0.061 15.889 5.130 0.12071 Incorrect Incorrect
allpdb1938_2_144w.pdb 0.087 22.026 10.272 0.07915 Incorrect Incorrect
allpdb1938_2_34w.pdb 0.043 18.826 6.722 0.08675 Incorrect Incorrect
allpdb1938_2_28w.pdb 0.087 19.385 7.560 0.09537 Incorrect Incorrect
allpdb1938_2_126w.pdb 0.113 16.416 7.678 0.12041 Incorrect Incorrect
allpdb1938_2_12w.pdb 0.026 30.229 9.911 0.04058 Incorrect Incorrect
allpdb1938_2_145w.pdb 0.087 19.285 8.888 0.09244 Incorrect Incorrect
allpdb1938_2_123w.pdb 0.087 22.167 10.271 0.07868 Incorrect Incorrect
allpdb1938_2_107w.pdb 0.009 20.040 6.980 0.06844 Incorrect Incorrect
allpdb1938_2_14w.pdb 0.113 15.303 4.747 0.14654 Incorrect Incorrect
allpdb1938_2_102w.pdb 0.017 17.988 7.227 0.08041 Incorrect Incorrect
allpdb1938_2_21w.pdb 0.087 17.386 6.913 0.10828 Incorrect Incorrect
allpdb1938_2_100w.pdb 0.043 22.589 7.952 0.06729 Incorrect Incorrect
allpdb1938_2_178w.pdb 0.104 17.491 6.745 0.11417 Incorrect Incorrect
allpdb1938_2_166w.pdb 0.104 17.494 6.503 0.11529 Incorrect Incorrect
allpdb1938_2_182w.pdb 0.052 20.558 7.502 0.07887 Incorrect Incorrect
allpdb1938_2_117w.pdb 0.070 20.838 7.207 0.08458 Incorrect Incorrect
allpdb1938_2_103w.pdb 0.017 23.489 8.004 0.05570 Incorrect Incorrect
allpdb1938_2_10w.pdb 0.061 16.824 6.496 0.10495 Incorrect Incorrect
allpdb1938_2_165w.pdb 0.070 17.089 5.439 0.11286 Incorrect Incorrect
allpdb1938_2_64w.pdb 0.070 18.893 7.964 0.09072 Incorrect Incorrect
allpdb1938_2_22w.pdb 0.070 18.798 7.531 0.09249 Incorrect Incorrect
allpdb1938_2_160w.pdb 0.087 18.072 6.904 0.10439 Incorrect Incorrect
allpdb1938_2_41w.pdb 0.026 18.828 6.464 0.08216 Incorrect Incorrect
allpdb1938_2_58w.pdb 0.000 23.864 7.192 0.05142 Incorrect Incorrect
allpdb1938_2_141w.pdb 0.017 22.199 8.046 0.05962 Incorrect Incorrect
allpdb1938_2_33w.pdb 0.017 22.382 7.399 0.06097 Incorrect Incorrect
allpdb1938_2_16w.pdb 0.104 17.735 5.175 0.12288 Incorrect Incorrect
allpdb1938_2_30w.pdb 0.026 22.326 7.370 0.06415 Incorrect Incorrect
allpdb1938_2_146w.pdb 0.043 20.077 7.077 0.07949 Incorrect Incorrect
allpdb1938_2_23w.pdb 0.087 15.616 4.816 0.13465 Incorrect Incorrect
allpdb1938_2_169w.pdb 0.104 20.001 9.496 0.09389 Incorrect Incorrect
allpdb1938_2_122w.pdb 0.070 20.766 9.707 0.07880 Incorrect Incorrect
allpdb1938_2_94w.pdb 0.026 25.556 8.716 0.05149 Incorrect Incorrect
allpdb1938_2_57w.pdb 0.000 29.621 9.681 0.03317 Incorrect Incorrect
allpdb1938_2_52w.pdb 0.000 39.835 12.379 0.01934 Incorrect Incorrect
allpdb1938_2_56w.pdb 0.009 24.592 8.531 0.04847 Incorrect Incorrect
allpdb1938_2_132w.pdb 0.061 17.078 5.507 0.10949 Incorrect Incorrect
allpdb1938_2_80w.pdb 0.026 23.102 8.072 0.05957 Incorrect Incorrect
allpdb1938_2_42w.pdb 0.043 17.682 6.594 0.09346 Incorrect Incorrect
allpdb1938_2_50w.pdb 0.043 20.337 8.148 0.07499 Incorrect Incorrect
allpdb1938_2_114w.pdb 0.061 16.068 5.145 0.11929 Incorrect Incorrect
allpdb1938_2_75w.pdb 0.052 18.112 6.577 0.09404 Incorrect Incorrect
allpdb1938_2_106w.pdb 0.026 19.722 6.979 0.07563 Incorrect Incorrect
allpdb1938_2_185w.pdb 0.061 17.705 6.978 0.09745 Incorrect Incorrect
allpdb1938_2_188w.pdb 0.148 12.631 5.397 0.17708 Incorrect Incorrect
allpdb1938_2_84w.pdb 0.061 17.062 5.375 0.11065 Incorrect Incorrect
allpdb1938_2_175w.pdb 0.087 14.644 5.605 0.13526 Incorrect Incorrect
allpdb1938_2_191w.pdb 0.087 18.296 7.068 0.10252 Incorrect Incorrect
allpdb1938_2_68w.pdb 0.017 33.816 10.096 0.03280 Incorrect Incorrect
allpdb1938_2_81w.pdb 0.009 20.172 7.302 0.06666 Incorrect Incorrect
allpdb1938_2_109w.pdb 0.061 23.687 8.250 0.06898 Incorrect Incorrect
allpdb1938_2_99w.pdb 0.052 18.106 7.163 0.09159 Incorrect Incorrect
allpdb1938_2_91w.pdb 0.000 35.389 10.830 0.02446 Incorrect Incorrect
allpdb1938_2_147w.pdb 0.052 16.456 6.872 0.10275 Incorrect Incorrect
allpdb1938_2_195w.pdb 0.087 17.097 6.716 0.11088 Incorrect Incorrect
allpdb1938_2_136w.pdb 0.052 20.620 7.784 0.07774 Incorrect Incorrect
allpdb1938_2_53w.pdb 0.000 41.019 19.703 0.01564 Incorrect Incorrect
allpdb1938_2_155w.pdb 0.000 27.933 9.429 0.03648 Incorrect Incorrect
allpdb1938_2_163w.pdb 0.183 12.237 5.247 0.19455 Incorrect Incorrect
allpdb1938_2_156w.pdb 0.026 24.708 11.052 0.05000 Incorrect Incorrect
allpdb1938_2_125w.pdb 0.078 17.229 6.278 0.10934 Incorrect Incorrect
