#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0461_4_139w.pdb 0.259 9.959 3.779 0.27227 Acceptable Acceptable
allpdb0461_4_117w.pdb 0.250 9.827 3.953 0.26793 Acceptable Acceptable
allpdb0461_4_68w.pdb 0.241 9.658 3.911 0.26850 Acceptable Acceptable
allpdb0461_4_89w.pdb 0.250 9.992 4.076 0.26304 Acceptable Acceptable
allpdb0461_4_53w.pdb 0.259 10.490 4.034 0.25901 Incorrect Acceptable
allpdb0461_4_102w.pdb 0.259 10.580 4.121 0.25617 Incorrect Acceptable
allpdb0461_4_27w.pdb 0.231 10.091 3.909 0.25828 Acceptable Acceptable
allpdb0461_4_138w.pdb 0.250 9.851 3.897 0.26859 Acceptable Acceptable
allpdb0461_4_73w.pdb 0.259 9.446 3.831 0.27989 Acceptable Acceptable
allpdb0461_4_6w.pdb 0.241 9.597 3.805 0.27162 Acceptable Acceptable
allpdb0461_4_190w.pdb 0.287 9.068 3.709 0.29843 Acceptable Acceptable
allpdb0461_4_185w.pdb 0.250 9.344 3.840 0.27841 Acceptable Acceptable
allpdb0461_4_118w.pdb 0.269 9.260 3.776 0.28737 Acceptable Acceptable
allpdb0461_4_69w.pdb 0.259 9.620 4.044 0.27288 Acceptable Acceptable
allpdb0461_4_59w.pdb 0.259 9.637 3.873 0.27574 Acceptable Acceptable
allpdb0461_4_174w.pdb 0.269 9.320 3.746 0.28694 Acceptable Acceptable
allpdb0461_4_173w.pdb 0.241 9.156 3.743 0.28069 Acceptable Acceptable
allpdb0461_4_191w.pdb 0.278 9.275 3.768 0.29035 Acceptable Acceptable
allpdb0461_4_14w.pdb 0.259 9.651 3.910 0.27479 Acceptable Acceptable
allpdb0461_4_181w.pdb 0.250 9.561 3.861 0.27421 Acceptable Acceptable
allpdb0461_4_75w.pdb 0.250 9.506 3.847 0.27543 Acceptable Acceptable
allpdb0461_4_108w.pdb 0.231 10.437 4.016 0.25089 Incorrect Acceptable
allpdb0461_4_145w.pdb 0.259 10.065 3.970 0.26683 Acceptable Acceptable
allpdb0461_4_60w.pdb 0.250 10.140 3.906 0.26374 Acceptable Acceptable
allpdb0461_4_65w.pdb 0.259 9.318 3.820 0.28234 Acceptable Acceptable
allpdb0461_4_80w.pdb 0.250 10.701 3.927 0.25472 Acceptable Acceptable
allpdb0461_4_41w.pdb 0.250 10.085 4.062 0.26177 Incorrect Acceptable
allpdb0461_4_151w.pdb 0.259 9.551 4.047 0.27400 Acceptable Acceptable
allpdb0461_4_74w.pdb 0.241 9.327 3.816 0.27609 Acceptable Acceptable
allpdb0461_4_58w.pdb 0.259 9.743 3.937 0.27272 Acceptable Acceptable
allpdb0461_4_105w.pdb 0.231 10.221 4.061 0.25346 Incorrect Acceptable
allpdb0461_4_76w.pdb 0.241 9.168 4.069 0.27422 Acceptable Acceptable
allpdb0461_4_157w.pdb 0.250 9.977 4.004 0.26456 Acceptable Acceptable
allpdb0461_4_21w.pdb 0.259 9.410 3.807 0.28097 Acceptable Acceptable
allpdb0461_4_1w.pdb 0.204 10.836 4.206 0.23250 Incorrect Acceptable
allpdb0461_4_198w.pdb 0.194 9.036 3.785 0.26655 Acceptable Acceptable
allpdb0461_4_124w.pdb 0.241 9.703 3.932 0.26732 Acceptable Acceptable
allpdb0461_4_54w.pdb 0.278 9.915 3.909 0.27659 Acceptable Acceptable
allpdb0461_4_20w.pdb 0.250 9.250 3.710 0.28278 Acceptable Acceptable
allpdb0461_4_2w.pdb 0.194 10.313 3.814 0.24430 Acceptable Acceptable
allpdb0461_4_143w.pdb 0.259 9.513 3.936 0.27667 Acceptable Acceptable
allpdb0461_4_103w.pdb 0.231 10.704 4.181 0.24408 Incorrect Acceptable
allpdb0461_4_79w.pdb 0.250 11.006 4.226 0.24517 Incorrect Acceptable
allpdb0461_4_184w.pdb 0.241 10.096 4.128 0.25739 Incorrect Acceptable
allpdb0461_4_93w.pdb 0.231 9.886 4.036 0.25930 Acceptable Acceptable
allpdb0461_4_47w.pdb 0.278 9.311 3.678 0.29165 Acceptable Acceptable
allpdb0461_4_26w.pdb 0.250 10.459 4.167 0.25415 Incorrect Acceptable
allpdb0461_4_9w.pdb 0.269 9.584 3.829 0.28062 Acceptable Acceptable
allpdb0461_4_193w.pdb 0.269 10.231 3.968 0.26732 Acceptable Acceptable
allpdb0461_4_194w.pdb 0.231 9.744 3.996 0.26237 Acceptable Acceptable
allpdb0461_4_150w.pdb 0.269 9.320 3.786 0.28609 Acceptable Acceptable
allpdb0461_4_172w.pdb 0.259 9.738 3.945 0.27265 Acceptable Acceptable
allpdb0461_4_92w.pdb 0.250 9.263 3.975 0.27725 Acceptable Acceptable
allpdb0461_4_187w.pdb 0.278 9.160 3.888 0.29000 Acceptable Acceptable
allpdb0461_4_48w.pdb 0.231 9.519 3.873 0.26852 Acceptable Acceptable
allpdb0461_4_22w.pdb 0.241 8.887 3.783 0.28477 Acceptable Acceptable
allpdb0461_4_110w.pdb 0.241 10.361 4.064 0.25431 Incorrect Acceptable
allpdb0461_4_71w.pdb 0.241 9.939 4.060 0.26109 Acceptable Acceptable
allpdb0461_4_8w.pdb 0.259 9.306 3.831 0.28234 Acceptable Acceptable
allpdb0461_4_25w.pdb 0.250 9.932 4.008 0.26522 Acceptable Acceptable
allpdb0461_4_4w.pdb 0.213 10.776 3.946 0.24091 Acceptable Acceptable
allpdb0461_4_15w.pdb 0.259 9.842 3.900 0.27177 Acceptable Acceptable
allpdb0461_4_120w.pdb 0.269 9.319 3.773 0.28637 Acceptable Acceptable
allpdb0461_4_200w.pdb 0.241 9.358 4.038 0.27135 Acceptable Acceptable
allpdb0461_4_85w.pdb 0.250 9.394 3.756 0.27925 Acceptable Acceptable
allpdb0461_4_94w.pdb 0.231 10.943 4.138 0.24132 Incorrect Acceptable
allpdb0461_4_166w.pdb 0.250 9.207 3.808 0.28148 Acceptable Acceptable
allpdb0461_4_46w.pdb 0.259 8.622 3.817 0.29529 Acceptable Acceptable
allpdb0461_4_56w.pdb 0.250 10.793 4.043 0.25125 Incorrect Acceptable
allpdb0461_4_136w.pdb 0.250 10.470 4.025 0.25640 Incorrect Acceptable
allpdb0461_4_86w.pdb 0.269 9.233 3.765 0.28808 Acceptable Acceptable
allpdb0461_4_29w.pdb 0.241 10.367 4.076 0.25400 Incorrect Acceptable
allpdb0461_4_28w.pdb 0.241 9.637 3.955 0.26801 Acceptable Acceptable
allpdb0461_4_141w.pdb 0.259 8.903 3.737 0.29164 Acceptable Acceptable
allpdb0461_4_101w.pdb 0.250 10.606 3.909 0.25648 Acceptable Acceptable
allpdb0461_4_155w.pdb 0.241 9.793 3.857 0.26725 Acceptable Acceptable
allpdb0461_4_126w.pdb 0.259 9.800 3.980 0.27097 Acceptable Acceptable
allpdb0461_4_23w.pdb 0.231 9.321 3.965 0.27024 Acceptable Acceptable
allpdb0461_4_164w.pdb 0.259 9.945 3.855 0.27096 Acceptable Acceptable
allpdb0461_4_148w.pdb 0.222 9.745 3.962 0.25988 Acceptable Acceptable
allpdb0461_4_45w.pdb 0.231 9.441 3.863 0.27007 Acceptable Acceptable
allpdb0461_4_91w.pdb 0.250 9.995 3.933 0.26556 Acceptable Acceptable
allpdb0461_4_116w.pdb 0.241 10.729 4.067 0.24871 Incorrect Acceptable
allpdb0461_4_106w.pdb 0.259 9.135 3.766 0.28676 Acceptable Acceptable
allpdb0461_4_40w.pdb 0.278 9.201 3.782 0.29139 Acceptable Acceptable
allpdb0461_4_52w.pdb 0.213 9.399 3.850 0.26488 Acceptable Acceptable
