#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0461_4_15w.pdb 0.000 53.143 19.181 0.01034 Incorrect Incorrect
allpdb0461_4_65w.pdb 0.000 51.150 18.393 0.01116 Incorrect Incorrect
allpdb0461_4_78w.pdb 0.269 10.345 3.716 0.27055 Acceptable Acceptable
allpdb0461_4_2w.pdb 0.306 5.897 2.756 0.40307 Acceptable Acceptable
allpdb0461_4_45w.pdb 0.000 54.393 20.165 0.00978 Incorrect Incorrect
allpdb0461_4_171w.pdb 0.333 11.764 4.019 0.26619 Incorrect Acceptable
allpdb0461_4_62w.pdb 0.250 9.128 3.922 0.28066 Acceptable Acceptable
allpdb0461_4_23w.pdb 0.185 9.720 4.091 0.24568 Acceptable Acceptable
allpdb0461_4_30w.pdb 0.574 4.174 1.608 0.61506 Medium Medium
allpdb0461_4_139w.pdb 0.343 12.557 4.401 0.25363 Incorrect Acceptable
allpdb0461_4_8w.pdb 0.000 44.041 18.485 0.01415 Incorrect Incorrect
allpdb0461_4_128w.pdb 0.000 60.086 22.656 0.00799 Incorrect Incorrect
allpdb0461_4_29w.pdb 0.509 3.912 1.717 0.58910 Medium Medium
allpdb0461_4_14w.pdb 0.130 11.014 4.511 0.20083 Incorrect Incorrect
allpdb0461_4_10w.pdb 0.167 12.299 4.329 0.19904 Incorrect Incorrect
allpdb0461_4_34w.pdb 0.009 54.835 20.018 0.01277 Incorrect Incorrect
allpdb0461_4_26w.pdb 0.000 55.636 20.154 0.00944 Incorrect Incorrect
allpdb0461_4_58w.pdb 0.028 27.892 11.180 0.04348 Incorrect Incorrect
allpdb0461_4_16w.pdb 0.398 4.268 2.157 0.50762 Medium Medium
allpdb0461_4_142w.pdb 0.000 46.790 15.103 0.01391 Incorrect Incorrect
allpdb0461_4_54w.pdb 0.528 5.789 2.014 0.52259 Acceptable Medium
allpdb0461_4_42w.pdb 0.370 6.071 2.744 0.42086 Acceptable Acceptable
allpdb0461_4_40w.pdb 0.139 9.192 3.999 0.24107 Acceptable Acceptable
allpdb0461_4_112w.pdb 0.259 9.171 3.565 0.29059 Acceptable Acceptable
allpdb0461_4_83w.pdb 0.000 55.147 20.185 0.00957 Incorrect Incorrect
allpdb0461_4_117w.pdb 0.204 10.083 3.926 0.24883 Acceptable Acceptable
allpdb0461_4_4w.pdb 0.130 8.092 3.762 0.26378 Acceptable Acceptable
allpdb0461_4_24w.pdb 0.028 27.577 10.734 0.04456 Incorrect Incorrect
allpdb0461_4_94w.pdb 0.009 12.571 6.824 0.12303 Incorrect Incorrect
allpdb0461_4_110w.pdb 0.407 6.080 2.586 0.44023 Acceptable Acceptable
allpdb0461_4_96w.pdb 0.000 53.817 19.637 0.01005 Incorrect Incorrect
allpdb0461_4_1w.pdb 0.046 13.052 6.743 0.13042 Incorrect Incorrect
allpdb0461_4_41w.pdb 0.222 11.003 4.262 0.23539 Incorrect Acceptable
allpdb0461_4_77w.pdb 0.000 55.164 19.655 0.00966 Incorrect Incorrect
allpdb0461_4_12w.pdb 0.000 48.065 19.741 0.01202 Incorrect Incorrect
allpdb0461_4_38w.pdb 0.000 51.947 18.778 0.01081 Incorrect Incorrect
