#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0803_6_107w.pdb 0.727 1.261 0.560 0.86115 High High
allpdb0803_6_66w.pdb 0.727 1.893 0.583 0.84965 High High
allpdb0803_6_147w.pdb 0.788 1.619 0.760 0.84955 High High
allpdb0803_6_6w.pdb 0.682 3.468 0.922 0.75496 High Medium
allpdb0803_6_2w.pdb 0.636 2.144 0.892 0.77181 High Medium
allpdb0803_6_74w.pdb 0.742 1.604 0.578 0.85964 High High
allpdb0803_6_73w.pdb 0.652 3.982 1.190 0.69514 Medium Medium
allpdb0803_6_64w.pdb 0.697 2.350 0.685 0.81776 High High
allpdb0803_6_3w.pdb 0.697 2.370 0.738 0.80996 High High
allpdb0803_6_118w.pdb 0.682 2.841 0.904 0.77164 High Medium
allpdb0803_6_34w.pdb 0.667 3.927 1.185 0.70221 Medium Medium
allpdb0803_6_75w.pdb 0.712 1.921 0.735 0.82336 High High
allpdb0803_6_139w.pdb 0.591 3.909 1.143 0.68306 Medium Medium
allpdb0803_6_193w.pdb 0.712 1.919 0.747 0.82159 High High
allpdb0803_6_119w.pdb 0.697 2.732 0.794 0.79478 High Medium
allpdb0803_6_51w.pdb 0.712 2.080 0.677 0.82878 High High
allpdb0803_6_131w.pdb 0.667 2.461 0.797 0.78977 High Medium
allpdb0803_6_162w.pdb 0.621 2.280 0.813 0.77569 High Medium
allpdb0803_6_35w.pdb 0.591 3.567 1.137 0.69202 Medium Medium
allpdb0803_6_84w.pdb 0.652 1.502 0.606 0.82691 High High
allpdb0803_6_102w.pdb 0.712 2.735 0.870 0.78891 High Medium
allpdb0803_6_58w.pdb 0.667 1.857 0.813 0.79799 High Medium
allpdb0803_6_49w.pdb 0.545 2.221 0.902 0.73860 High Medium
allpdb0803_6_114w.pdb 0.500 5.392 1.615 0.55875 Medium Medium
allpdb0803_6_100w.pdb 0.667 1.504 0.646 0.82661 High High
allpdb0803_6_59w.pdb 0.697 2.863 0.839 0.78565 High Medium
allpdb0803_6_7w.pdb 0.621 3.767 1.003 0.71605 Medium Medium
allpdb0803_6_19w.pdb 0.515 2.945 1.004 0.69960 Medium Medium
allpdb0803_6_72w.pdb 0.758 1.110 0.593 0.86851 High High
allpdb0803_6_111w.pdb 0.621 3.384 1.040 0.71989 Medium Medium
allpdb0803_6_92w.pdb 0.576 3.200 1.181 0.68969 Medium Medium
allpdb0803_6_116w.pdb 0.652 3.661 1.137 0.70999 Medium Medium
