#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0190_8_40w.pdb 0.638 4.071 1.723 0.62763 Medium Medium
allpdb0190_8_44w.pdb 0.532 4.043 1.729 0.59233 Medium Medium
allpdb0190_8_167w.pdb 0.574 3.573 1.848 0.60713 Medium Medium
allpdb0190_8_146w.pdb 0.511 5.487 2.160 0.51395 Acceptable Medium
allpdb0190_8_30w.pdb 0.553 3.688 1.653 0.61548 Medium Medium
allpdb0190_8_149w.pdb 0.596 5.420 1.875 0.56568 Medium Medium
allpdb0190_8_124w.pdb 0.574 4.756 2.153 0.55428 Medium Medium
allpdb0190_8_18w.pdb 0.553 4.968 1.744 0.57459 Medium Medium
allpdb0190_8_88w.pdb 0.617 4.145 1.526 0.63875 Medium Medium
allpdb0190_8_139w.pdb 0.574 4.637 1.636 0.60058 Medium Medium
allpdb0190_8_169w.pdb 0.638 5.019 1.884 0.58928 Medium Medium
allpdb0190_8_20w.pdb 0.596 5.063 1.975 0.56658 Medium Medium
allpdb0190_8_69w.pdb 0.638 4.194 1.763 0.62084 Medium Medium
allpdb0190_8_141w.pdb 0.617 6.073 2.238 0.52969 Acceptable Medium
allpdb0190_8_145w.pdb 0.574 4.379 1.708 0.60009 Medium Medium
allpdb0190_8_24w.pdb 0.596 3.027 1.688 0.64150 Medium Medium
allpdb0190_8_28w.pdb 0.553 3.190 1.643 0.62810 Medium Medium
allpdb0190_8_36w.pdb 0.574 6.226 2.019 0.52698 Acceptable Medium
allpdb0190_8_33w.pdb 0.574 4.590 1.534 0.61246 Medium Medium
allpdb0190_8_91w.pdb 0.574 4.317 1.685 0.60387 Medium Medium
allpdb0190_8_31w.pdb 0.532 4.506 1.799 0.57425 Medium Medium
allpdb0190_8_165w.pdb 0.574 3.868 1.866 0.59850 Medium Medium
allpdb0190_8_143w.pdb 0.574 3.524 1.826 0.61021 Medium Medium
allpdb0190_8_56w.pdb 0.553 4.209 1.753 0.59295 Medium Medium
allpdb0190_8_55w.pdb 0.574 4.399 1.763 0.59440 Medium Medium
allpdb0190_8_71w.pdb 0.553 4.232 1.811 0.58714 Medium Medium
allpdb0190_8_171w.pdb 0.489 5.018 2.004 0.52997 Acceptable Medium
allpdb0190_8_51w.pdb 0.532 4.596 1.878 0.56505 Medium Medium
allpdb0190_8_34w.pdb 0.553 6.107 2.167 0.51223 Acceptable Medium
allpdb0190_8_63w.pdb 0.553 5.216 1.947 0.55068 Medium Medium
allpdb0190_8_180w.pdb 0.553 4.648 1.659 0.59093 Medium Medium
allpdb0190_8_111w.pdb 0.511 4.984 2.005 0.53785 Medium Medium
allpdb0190_8_19w.pdb 0.617 3.482 1.657 0.64125 Medium Medium
allpdb0190_8_22w.pdb 0.532 3.679 1.798 0.59479 Medium Medium
allpdb0190_8_32w.pdb 0.532 6.379 2.263 0.49232 Acceptable Medium
allpdb0190_8_195w.pdb 0.532 4.648 2.011 0.55308 Medium Medium
allpdb0190_8_17w.pdb 0.596 2.732 1.331 0.68721 Medium Medium
allpdb0190_8_11w.pdb 0.511 5.409 2.117 0.51892 Acceptable Medium
allpdb0190_8_194w.pdb 0.553 4.122 1.746 0.59582 Medium Medium
allpdb0190_8_115w.pdb 0.511 4.404 2.188 0.53955 Medium Medium
allpdb0190_8_43w.pdb 0.511 4.012 1.839 0.57599 Medium Medium
allpdb0190_8_41w.pdb 0.596 3.541 1.407 0.65998 Medium Medium
