#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0190_8_54w.pdb 0.638 3.781 1.471 0.66098 Medium Medium
allpdb0190_8_62w.pdb 0.702 4.410 1.386 0.67647 Medium Medium
allpdb0190_8_158w.pdb 0.617 2.880 1.589 0.66179 Medium Medium
allpdb0190_8_85w.pdb 0.660 2.959 1.515 0.68221 Medium Medium
allpdb0190_8_82w.pdb 0.723 2.644 1.368 0.72708 Medium Medium
allpdb0190_8_81w.pdb 0.723 2.100 1.162 0.76364 Medium Medium
allpdb0190_8_157w.pdb 0.596 3.939 1.546 0.63465 Medium Medium
allpdb0190_8_154w.pdb 0.766 2.555 1.163 0.76917 Medium Medium
allpdb0190_8_130w.pdb 0.745 4.249 1.187 0.71986 Medium Medium
allpdb0190_8_153w.pdb 0.681 3.558 1.569 0.66976 Medium Medium
allpdb0190_8_109w.pdb 0.745 2.841 1.266 0.74266 Medium Medium
allpdb0190_8_168w.pdb 0.596 2.759 1.532 0.66335 Medium Medium
allpdb0190_8_169w.pdb 0.702 4.308 1.398 0.67759 Medium Medium
allpdb0190_8_124w.pdb 0.660 3.655 1.844 0.63393 Medium Medium
allpdb0190_8_64w.pdb 0.681 3.090 1.671 0.67013 Medium Medium
allpdb0190_8_122w.pdb 0.723 3.235 1.493 0.69975 Medium Medium
allpdb0190_8_113w.pdb 0.638 3.584 1.382 0.67611 Medium Medium
allpdb0190_8_156w.pdb 0.745 2.999 1.454 0.71652 Medium Medium
allpdb0190_8_104w.pdb 0.660 3.475 1.591 0.66229 Medium Medium
allpdb0190_8_186w.pdb 0.723 3.079 0.918 0.77828 High Medium
allpdb0190_8_166w.pdb 0.723 2.650 1.258 0.74067 Medium Medium
allpdb0190_8_117w.pdb 0.681 2.644 1.535 0.69375 Medium Medium
allpdb0190_8_55w.pdb 0.723 3.534 1.254 0.72156 Medium Medium
allpdb0190_8_93w.pdb 0.596 5.805 1.671 0.57465 Medium Medium
allpdb0190_8_163w.pdb 0.660 2.626 1.367 0.70623 Medium Medium
allpdb0190_8_105w.pdb 0.723 2.693 1.215 0.74534 Medium Medium
allpdb0190_8_125w.pdb 0.660 3.399 1.783 0.64534 Medium Medium
allpdb0190_8_141w.pdb 0.723 2.806 1.396 0.72033 Medium Medium
allpdb0190_8_174w.pdb 0.723 2.838 1.425 0.71621 Medium Medium
allpdb0190_8_50w.pdb 0.617 5.107 1.435 0.62462 Medium Medium
allpdb0190_8_47w.pdb 0.660 3.808 1.492 0.66504 Medium Medium
allpdb0190_8_120w.pdb 0.532 5.398 1.772 0.55397 Medium Medium
allpdb0190_8_112w.pdb 0.745 2.574 1.370 0.73534 Medium Medium
