#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0854_8_126w.pdb 0.636 2.721 0.917 0.75718 High Medium
allpdb0854_8_151w.pdb 0.587 2.832 1.035 0.72138 Medium Medium
allpdb0854_8_48w.pdb 0.554 3.951 1.366 0.64087 Medium Medium
allpdb0854_8_31w.pdb 0.612 2.843 1.023 0.73115 Medium Medium
allpdb0854_8_81w.pdb 0.595 3.278 1.089 0.70683 Medium Medium
allpdb0854_8_78w.pdb 0.620 2.806 0.977 0.74120 High Medium
allpdb0854_8_107w.pdb 0.595 3.411 1.122 0.69918 Medium Medium
allpdb0854_8_53w.pdb 0.595 1.547 0.898 0.76640 High Medium
allpdb0854_8_149w.pdb 0.669 3.178 1.042 0.74040 Medium Medium
allpdb0854_8_98w.pdb 0.653 2.232 0.899 0.77475 High Medium
allpdb0854_8_155w.pdb 0.570 2.617 1.018 0.72272 Medium Medium
allpdb0854_8_167w.pdb 0.587 3.542 1.063 0.70156 Medium Medium
allpdb0854_8_72w.pdb 0.603 2.729 0.925 0.74481 High Medium
allpdb0854_8_120w.pdb 0.545 3.301 1.259 0.66700 Medium Medium
allpdb0854_8_82w.pdb 0.620 2.102 0.888 0.76758 High Medium
allpdb0854_8_168w.pdb 0.603 2.961 1.022 0.72601 Medium Medium
allpdb0854_8_10w.pdb 0.587 2.973 1.162 0.70092 Medium Medium
allpdb0854_8_65w.pdb 0.603 2.751 1.098 0.71984 Medium Medium
allpdb0854_8_119w.pdb 0.595 3.611 1.132 0.69316 Medium Medium
allpdb0854_8_49w.pdb 0.570 3.329 1.012 0.70809 Medium Medium
allpdb0854_8_85w.pdb 0.595 2.212 0.899 0.75572 High Medium
allpdb0854_8_44w.pdb 0.537 3.717 1.206 0.66134 Medium Medium
allpdb0854_8_24w.pdb 0.603 2.575 0.955 0.74355 High Medium
allpdb0854_8_115w.pdb 0.645 1.825 0.943 0.77248 High Medium
allpdb0854_8_15w.pdb 0.620 1.956 0.949 0.76119 High Medium
allpdb0854_8_159w.pdb 0.595 2.852 1.060 0.72032 Medium Medium
allpdb0854_8_139w.pdb 0.521 3.650 1.314 0.64355 Medium Medium
allpdb0854_8_138w.pdb 0.603 2.449 0.927 0.75008 High Medium
allpdb0854_8_6w.pdb 0.504 3.881 1.318 0.63198 Medium Medium
allpdb0854_8_190w.pdb 0.612 2.569 0.960 0.74574 High Medium
allpdb0854_8_22w.pdb 0.529 3.051 1.194 0.67563 Medium Medium
allpdb0854_8_13w.pdb 0.537 3.150 1.117 0.68661 Medium Medium
allpdb0854_8_61w.pdb 0.579 2.692 1.018 0.72406 Medium Medium
allpdb0854_8_27w.pdb 0.537 3.491 1.412 0.64101 Medium Medium
allpdb0854_8_173w.pdb 0.562 3.438 1.033 0.69990 Medium Medium
allpdb0854_8_137w.pdb 0.529 3.390 1.223 0.66417 Medium Medium
allpdb0854_8_199w.pdb 0.587 2.428 0.993 0.73547 High Medium
allpdb0854_8_101w.pdb 0.579 3.525 1.088 0.69573 Medium Medium
allpdb0854_8_105w.pdb 0.562 3.207 1.101 0.69581 Medium Medium
allpdb0854_8_195w.pdb 0.595 2.149 0.881 0.75946 High Medium
allpdb0854_8_161w.pdb 0.570 3.914 1.289 0.65685 Medium Medium
allpdb0854_8_43w.pdb 0.521 2.948 1.096 0.68838 Medium Medium
allpdb0854_8_117w.pdb 0.529 3.459 1.139 0.67367 Medium Medium
allpdb0854_8_147w.pdb 0.545 2.707 1.055 0.70746 Medium Medium
allpdb0854_8_100w.pdb 0.545 3.423 1.103 0.68497 Medium Medium
allpdb0854_8_55w.pdb 0.595 1.650 0.876 0.76818 High Medium
allpdb0854_8_2w.pdb 0.545 2.823 1.108 0.69770 Medium Medium
allpdb0854_8_191w.pdb 0.570 3.153 1.060 0.70537 Medium Medium
allpdb0854_8_69w.pdb 0.545 3.885 1.262 0.65272 Medium Medium
allpdb0854_8_189w.pdb 0.612 2.225 0.926 0.75710 High Medium
allpdb0854_8_129w.pdb 0.529 2.734 1.069 0.69939 Medium Medium
allpdb0854_8_63w.pdb 0.504 4.614 1.496 0.59263 Medium Medium
allpdb0854_8_18w.pdb 0.512 2.970 1.300 0.65817 Medium Medium
allpdb0854_8_145w.pdb 0.545 3.342 1.148 0.68070 Medium Medium
allpdb0854_8_176w.pdb 0.521 4.078 1.279 0.63759 Medium Medium
allpdb0854_8_95w.pdb 0.537 3.580 1.189 0.66687 Medium Medium
allpdb0854_8_56w.pdb 0.570 3.016 1.201 0.68933 Medium Medium
allpdb0854_8_200w.pdb 0.529 3.855 1.216 0.65386 Medium Medium
allpdb0854_8_102w.pdb 0.488 4.054 1.275 0.62765 Medium Medium
allpdb0854_8_170w.pdb 0.554 2.888 1.105 0.69944 Medium Medium
