#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0854_8_124w.pdb 0.669 2.830 1.005 0.75325 Medium Medium
allpdb0854_8_75w.pdb 0.645 1.570 0.968 0.77256 High Medium
allpdb0854_8_138w.pdb 0.587 5.483 1.689 0.57794 Medium Medium
allpdb0854_8_169w.pdb 0.727 2.800 0.961 0.77940 High Medium
allpdb0854_8_87w.pdb 0.579 4.092 1.530 0.62684 Medium Medium
allpdb0854_8_19w.pdb 0.496 6.010 1.924 0.51352 Medium Medium
allpdb0854_8_160w.pdb 0.612 2.898 1.205 0.70502 Medium Medium
allpdb0854_8_56w.pdb 0.529 5.588 1.805 0.54524 Medium Medium
allpdb0854_8_132w.pdb 0.537 4.774 1.635 0.58480 Medium Medium
allpdb0854_8_167w.pdb 0.529 2.574 1.627 0.63475 Medium Medium
allpdb0854_8_99w.pdb 0.579 3.756 1.328 0.65861 Medium Medium
allpdb0854_8_148w.pdb 0.661 1.239 0.863 0.79715 High Medium
allpdb0854_8_16w.pdb 0.397 8.533 2.876 0.36956 Acceptable Acceptable
allpdb0854_8_106w.pdb 0.463 3.997 1.571 0.58617 Medium Medium
allpdb0854_8_9w.pdb 0.455 3.789 1.697 0.57578 Medium Medium
allpdb0854_8_102w.pdb 0.405 6.225 2.166 0.45998 Acceptable Acceptable
allpdb0854_8_45w.pdb 0.479 4.143 2.341 0.52617 Medium Medium
allpdb0854_8_70w.pdb 0.521 4.630 1.657 0.58078 Medium Medium
allpdb0854_8_151w.pdb 0.496 3.176 1.473 0.62745 Medium Medium
allpdb0854_8_84w.pdb 0.455 4.739 2.431 0.49771 Medium Medium
allpdb0854_8_108w.pdb 0.628 2.094 0.872 0.77284 High Medium
allpdb0854_8_72w.pdb 0.463 4.142 1.506 0.58959 Medium Medium
allpdb0854_8_120w.pdb 0.628 2.423 0.916 0.76041 High Medium
allpdb0854_8_178w.pdb 0.438 5.822 2.265 0.47454 Acceptable Acceptable
allpdb0854_8_21w.pdb 0.397 6.340 2.327 0.44427 Acceptable Acceptable
allpdb0854_8_166w.pdb 0.545 2.504 1.126 0.70168 Medium Medium
allpdb0854_8_62w.pdb 0.421 3.892 1.630 0.56889 Medium Medium
allpdb0854_8_196w.pdb 0.512 2.615 1.671 0.62409 Medium Medium
allpdb0854_8_123w.pdb 0.620 1.877 0.945 0.76312 High Medium
allpdb0854_8_163w.pdb 0.372 8.884 2.569 0.36802 Acceptable Acceptable
allpdb0854_8_112w.pdb 0.496 3.253 1.325 0.64327 Medium Medium
allpdb0854_8_198w.pdb 0.488 2.551 1.421 0.64396 Medium Medium
allpdb0854_8_14w.pdb 0.355 9.063 2.684 0.35379 Acceptable Acceptable
allpdb0854_8_95w.pdb 0.455 5.289 1.917 0.51837 Medium Medium
allpdb0854_8_164w.pdb 0.479 2.751 1.379 0.64221 Medium Medium
allpdb0854_8_174w.pdb 0.306 6.823 3.177 0.36542 Acceptable Acceptable
allpdb0854_8_33w.pdb 0.331 9.674 2.870 0.32692 Acceptable Acceptable
allpdb0854_8_96w.pdb 0.545 3.884 1.434 0.63171 Medium Medium
allpdb0854_8_136w.pdb 0.521 3.385 1.736 0.60374 Medium Medium
allpdb0854_8_155w.pdb 0.455 4.363 2.084 0.52911 Medium Medium
allpdb0854_8_110w.pdb 0.446 3.670 2.172 0.53733 Medium Medium
allpdb0854_8_27w.pdb 0.562 2.855 1.202 0.68984 Medium Medium
allpdb0854_8_133w.pdb 0.529 3.237 1.162 0.67577 Medium Medium
allpdb0854_8_31w.pdb 0.397 8.690 2.574 0.37974 Acceptable Acceptable
allpdb0854_8_114w.pdb 0.347 9.279 2.704 0.34623 Acceptable Acceptable
allpdb0854_8_135w.pdb 0.413 4.371 1.949 0.52539 Medium Medium
allpdb0854_8_181w.pdb 0.347 7.828 2.609 0.37885 Acceptable Acceptable
allpdb0854_8_6w.pdb 0.488 2.965 1.422 0.63524 Medium Medium
allpdb0854_8_77w.pdb 0.512 3.137 1.403 0.64197 Medium Medium
allpdb0854_8_71w.pdb 0.331 10.693 3.252 0.29775 Acceptable Acceptable
allpdb0854_8_156w.pdb 0.421 4.480 1.943 0.52589 Medium Medium
allpdb0854_8_12w.pdb 0.421 3.779 1.893 0.54737 Medium Medium
allpdb0854_8_109w.pdb 0.562 3.312 1.151 0.68658 Medium Medium
allpdb0854_8_113w.pdb 0.421 5.921 2.832 0.43796 Acceptable Acceptable
allpdb0854_8_13w.pdb 0.397 7.746 2.515 0.40182 Acceptable Acceptable
allpdb0854_8_88w.pdb 0.298 6.444 3.237 0.36977 Acceptable Acceptable
allpdb0854_8_54w.pdb 0.455 2.399 1.489 0.62815 Medium Medium
allpdb0854_8_46w.pdb 0.512 2.525 1.064 0.69890 Medium Medium
allpdb0854_8_4w.pdb 0.430 3.290 1.335 0.61915 Medium Medium
allpdb0854_8_165w.pdb 0.512 4.027 1.184 0.64837 Medium Medium
allpdb0854_8_92w.pdb 0.273 5.815 3.093 0.38145 Acceptable Acceptable
allpdb0854_8_145w.pdb 0.537 3.229 1.122 0.68407 Medium Medium
allpdb0854_8_188w.pdb 0.570 5.635 1.532 0.58483 Medium Medium
