#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0854_8_47w.pdb 0.380 4.310 1.802 0.52832 Medium Medium
allpdb0854_8_5w.pdb 0.347 6.156 2.727 0.41177 Acceptable Acceptable
allpdb0854_8_3w.pdb 0.298 5.345 2.453 0.42877 Acceptable Acceptable
allpdb0854_8_54w.pdb 0.314 9.757 4.537 0.28135 Acceptable Acceptable
allpdb0854_8_57w.pdb 0.331 7.780 2.931 0.36074 Acceptable Acceptable
allpdb0854_8_40w.pdb 0.281 6.357 2.800 0.38174 Acceptable Acceptable
allpdb0854_8_15w.pdb 0.397 5.273 2.394 0.46690 Acceptable Acceptable
allpdb0854_8_18w.pdb 0.314 6.457 2.704 0.39448 Acceptable Acceptable
allpdb0854_8_48w.pdb 0.281 7.295 3.255 0.34398 Acceptable Acceptable
allpdb0854_8_130w.pdb 0.314 9.813 4.160 0.28592 Acceptable Acceptable
allpdb0854_8_128w.pdb 0.298 10.954 5.071 0.25127 Incorrect Acceptable
allpdb0854_8_45w.pdb 0.298 8.068 3.489 0.32653 Acceptable Acceptable
allpdb0854_8_149w.pdb 0.289 10.712 4.618 0.25703 Incorrect Acceptable
allpdb0854_8_6w.pdb 0.281 7.144 3.191 0.34932 Acceptable Acceptable
allpdb0854_8_43w.pdb 0.273 6.625 2.923 0.36776 Acceptable Acceptable
allpdb0854_8_59w.pdb 0.256 6.924 2.902 0.35606 Acceptable Acceptable
allpdb0854_8_120w.pdb 0.314 11.948 4.978 0.24444 Incorrect Acceptable
allpdb0854_8_17w.pdb 0.273 9.141 3.866 0.28910 Acceptable Acceptable
allpdb0854_8_52w.pdb 0.298 7.824 3.420 0.33340 Acceptable Acceptable
allpdb0854_8_68w.pdb 0.273 8.927 3.278 0.30714 Acceptable Acceptable
allpdb0854_8_19w.pdb 0.256 9.468 4.039 0.27456 Acceptable Acceptable
allpdb0854_8_79w.pdb 0.289 9.339 4.317 0.28335 Acceptable Acceptable
allpdb0854_8_164w.pdb 0.298 14.536 5.534 0.20692 Incorrect Incorrect
allpdb0854_8_53w.pdb 0.240 7.818 3.082 0.32429 Acceptable Acceptable
allpdb0854_8_58w.pdb 0.289 6.299 2.848 0.38396 Acceptable Acceptable
allpdb0854_8_199w.pdb 0.289 12.823 5.177 0.22399 Incorrect Incorrect
allpdb0854_8_14w.pdb 0.314 7.481 3.221 0.35191 Acceptable Acceptable
allpdb0854_8_9w.pdb 0.314 7.712 3.229 0.34669 Acceptable Acceptable
allpdb0854_8_122w.pdb 0.281 12.369 5.118 0.22695 Incorrect Incorrect
allpdb0854_8_62w.pdb 0.281 11.431 4.969 0.24019 Incorrect Acceptable
allpdb0854_8_160w.pdb 0.298 14.077 6.277 0.20624 Incorrect Incorrect
allpdb0854_8_63w.pdb 0.256 9.097 3.497 0.29258 Acceptable Acceptable
allpdb0854_8_27w.pdb 0.264 6.255 2.903 0.37462 Acceptable Acceptable
allpdb0854_8_112w.pdb 0.281 9.733 4.152 0.27638 Acceptable Acceptable
allpdb0854_8_34w.pdb 0.289 5.855 2.640 0.40383 Acceptable Acceptable
allpdb0854_8_109w.pdb 0.256 11.584 4.988 0.22970 Incorrect Incorrect
allpdb0854_8_30w.pdb 0.281 6.746 3.228 0.35737 Acceptable Acceptable
allpdb0854_8_71w.pdb 0.298 10.865 4.702 0.25653 Incorrect Acceptable
allpdb0854_8_182w.pdb 0.306 11.096 5.280 0.25010 Incorrect Acceptable
allpdb0854_8_16w.pdb 0.289 7.296 3.402 0.34260 Acceptable Acceptable
allpdb0854_8_35w.pdb 0.289 7.688 3.042 0.34496 Acceptable Acceptable
allpdb0854_8_12w.pdb 0.240 8.068 3.537 0.30605 Acceptable Acceptable
allpdb0854_8_91w.pdb 0.264 9.156 3.871 0.28598 Acceptable Acceptable
allpdb0854_8_196w.pdb 0.289 14.384 6.297 0.20059 Incorrect Incorrect
allpdb0854_8_36w.pdb 0.273 8.274 3.481 0.31427 Acceptable Acceptable
allpdb0854_8_51w.pdb 0.256 5.531 2.627 0.40151 Acceptable Acceptable
allpdb0854_8_55w.pdb 0.240 6.833 3.256 0.34073 Acceptable Acceptable
