#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0144_6_19w.pdb 0.813 1.665 0.998 0.82319 High High
allpdb0144_6_127w.pdb 0.707 7.279 1.638 0.57993 Medium Medium
allpdb0144_6_114w.pdb 0.760 2.279 1.100 0.78114 Medium Medium
allpdb0144_6_74w.pdb 0.747 2.188 1.037 0.78710 Medium Medium
allpdb0144_6_169w.pdb 0.507 8.865 2.023 0.44680 Acceptable Acceptable
allpdb0144_6_49w.pdb 0.693 4.181 1.588 0.65671 Medium Medium
allpdb0144_6_85w.pdb 0.733 3.760 1.197 0.72683 Medium Medium
allpdb0144_6_162w.pdb 0.507 8.677 1.943 0.45660 Medium Acceptable
allpdb0144_6_86w.pdb 0.720 3.262 1.357 0.71387 Medium Medium
allpdb0144_6_93w.pdb 0.480 9.628 2.325 0.40395 Acceptable Acceptable
allpdb0144_6_159w.pdb 0.813 1.921 0.856 0.83970 High High
allpdb0144_6_124w.pdb 0.787 3.300 1.097 0.76912 Medium Medium
allpdb0144_6_45w.pdb 0.533 6.029 1.983 0.52083 Medium Medium
allpdb0144_6_192w.pdb 0.800 2.032 1.106 0.79789 Medium Medium
allpdb0144_6_111w.pdb 0.747 1.905 0.900 0.81136 High High
allpdb0144_6_84w.pdb 0.680 2.892 1.292 0.71677 Medium Medium
allpdb0144_6_78w.pdb 0.707 1.914 0.999 0.78377 High Medium
allpdb0144_6_68w.pdb 0.760 1.696 1.092 0.79182 Medium Medium
allpdb0144_6_83w.pdb 0.773 2.716 1.111 0.77547 Medium Medium
allpdb0144_6_71w.pdb 0.680 2.694 1.126 0.74271 Medium Medium
allpdb0144_6_73w.pdb 0.747 2.912 1.198 0.75076 Medium Medium
allpdb0144_6_54w.pdb 0.707 1.593 1.022 0.78529 Medium Medium
allpdb0144_6_10w.pdb 0.720 2.338 1.045 0.77432 Medium Medium
allpdb0144_6_50w.pdb 0.800 4.378 1.061 0.75226 Medium Medium
allpdb0144_6_165w.pdb 0.760 1.717 1.087 0.79217 Medium Medium
