#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0089_10_44w.pdb 0.711 1.945 0.732 0.82294 High High
allpdb0089_10_7w.pdb 0.650 2.692 1.046 0.74392 Medium Medium
allpdb0089_10_70w.pdb 0.667 3.289 1.015 0.74084 Medium Medium
allpdb0089_10_170w.pdb 0.639 2.345 1.000 0.75345 Medium Medium
allpdb0089_10_79w.pdb 0.611 2.922 1.060 0.72407 Medium Medium
allpdb0089_10_42w.pdb 0.656 2.194 1.045 0.75550 Medium Medium
allpdb0089_10_85w.pdb 0.600 3.167 1.206 0.69520 Medium Medium
allpdb0089_10_75w.pdb 0.644 2.916 1.122 0.72672 Medium Medium
allpdb0089_10_195w.pdb 0.606 2.590 1.103 0.72320 Medium Medium
allpdb0089_10_12w.pdb 0.550 3.718 1.332 0.64947 Medium Medium
allpdb0089_10_151w.pdb 0.561 2.442 1.172 0.70195 Medium Medium
allpdb0089_10_105w.pdb 0.611 2.924 1.111 0.71707 Medium Medium
allpdb0089_10_65w.pdb 0.622 2.996 1.041 0.72886 Medium Medium
allpdb0089_10_192w.pdb 0.511 3.306 1.310 0.64901 Medium Medium
allpdb0089_10_11w.pdb 0.606 2.452 1.073 0.73010 Medium Medium
allpdb0089_10_41w.pdb 0.561 2.423 1.051 0.71884 Medium Medium
allpdb0089_10_172w.pdb 0.583 3.707 1.263 0.66959 Medium Medium
allpdb0089_10_2w.pdb 0.544 2.999 1.244 0.67536 Medium Medium
allpdb0089_10_189w.pdb 0.583 2.560 1.155 0.70930 Medium Medium
allpdb0089_10_149w.pdb 0.500 3.328 1.192 0.65995 Medium Medium
allpdb0089_10_193w.pdb 0.589 2.273 1.044 0.73199 Medium Medium
allpdb0089_10_184w.pdb 0.550 3.049 1.250 0.67540 Medium Medium
allpdb0089_10_21w.pdb 0.500 3.239 1.419 0.63367 Medium Medium
allpdb0089_10_118w.pdb 0.528 3.151 1.251 0.66557 Medium Medium
allpdb0089_10_180w.pdb 0.517 2.674 1.240 0.67360 Medium Medium
allpdb0089_10_111w.pdb 0.528 2.821 1.320 0.66403 Medium Medium
allpdb0089_10_38w.pdb 0.506 3.022 1.350 0.64861 Medium Medium
allpdb0089_10_32w.pdb 0.556 2.771 1.124 0.69990 Medium Medium
allpdb0089_10_147w.pdb 0.511 3.388 1.279 0.65108 Medium Medium
allpdb0089_10_50w.pdb 0.506 3.560 1.223 0.65231 Medium Medium
allpdb0089_10_64w.pdb 0.522 3.144 1.262 0.66251 Medium Medium
allpdb0089_10_126w.pdb 0.533 3.067 1.268 0.66709 Medium Medium
allpdb0089_10_10w.pdb 0.489 3.476 1.364 0.63105 Medium Medium
allpdb0089_10_158w.pdb 0.494 3.983 1.356 0.62156 Medium Medium
allpdb0089_10_174w.pdb 0.478 3.038 1.251 0.65138 Medium Medium
allpdb0089_10_3w.pdb 0.478 4.615 1.481 0.58552 Medium Medium
allpdb0089_10_150w.pdb 0.506 4.153 1.493 0.60512 Medium Medium
allpdb0089_10_139w.pdb 0.517 3.093 1.329 0.65327 Medium Medium
allpdb0089_10_84w.pdb 0.489 3.638 1.399 0.62295 Medium Medium
allpdb0089_10_6w.pdb 0.483 3.378 1.267 0.64351 Medium Medium
allpdb0089_10_55w.pdb 0.544 3.192 1.342 0.65876 Medium Medium
allpdb0089_10_58w.pdb 0.511 2.896 1.282 0.66165 Medium Medium
allpdb0089_10_86w.pdb 0.461 3.875 1.418 0.60574 Medium Medium
allpdb0089_10_54w.pdb 0.439 4.025 1.459 0.58991 Medium Medium
allpdb0089_10_153w.pdb 0.500 3.971 1.441 0.61366 Medium Medium
allpdb0089_10_152w.pdb 0.478 4.121 1.475 0.59857 Medium Medium
allpdb0089_10_123w.pdb 0.489 3.708 1.518 0.60766 Medium Medium
allpdb0089_10_33w.pdb 0.528 2.765 1.116 0.69195 Medium Medium
allpdb0089_10_53w.pdb 0.506 2.438 1.196 0.68029 Medium Medium
allpdb0089_10_142w.pdb 0.461 3.238 1.318 0.63286 Medium Medium
allpdb0089_10_8w.pdb 0.489 2.930 1.393 0.63990 Medium Medium
allpdb0089_10_159w.pdb 0.544 2.361 1.106 0.70687 Medium Medium
