#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0089_10_174w.pdb 0.467 2.967 1.313 0.64147 Medium Medium
allpdb0089_10_178w.pdb 0.428 2.901 1.427 0.61609 Medium Medium
allpdb0089_10_67w.pdb 0.450 3.278 1.432 0.61453 Medium Medium
allpdb0089_10_39w.pdb 0.428 3.004 1.424 0.61427 Medium Medium
allpdb0089_10_121w.pdb 0.456 2.907 1.374 0.63152 Medium Medium
allpdb0089_10_64w.pdb 0.433 2.776 1.370 0.62739 Medium Medium
allpdb0089_10_37w.pdb 0.406 3.578 1.528 0.58189 Medium Medium
allpdb0089_10_8w.pdb 0.411 3.494 1.541 0.58438 Medium Medium
allpdb0089_10_78w.pdb 0.383 3.348 1.588 0.57346 Medium Medium
allpdb0089_10_179w.pdb 0.417 3.619 1.642 0.57272 Medium Medium
allpdb0089_10_110w.pdb 0.389 3.140 1.438 0.59669 Medium Medium
allpdb0089_10_165w.pdb 0.372 3.673 1.816 0.54009 Medium Medium
allpdb0089_10_120w.pdb 0.378 3.787 1.971 0.52629 Medium Medium
allpdb0089_10_148w.pdb 0.400 3.500 1.735 0.56088 Medium Medium
allpdb0089_10_79w.pdb 0.322 3.368 1.745 0.53712 Medium Medium
allpdb0089_10_181w.pdb 0.367 3.742 1.709 0.54645 Medium Medium
allpdb0089_10_106w.pdb 0.367 3.574 1.711 0.55032 Medium Medium
allpdb0089_10_50w.pdb 0.356 3.306 1.582 0.56588 Medium Medium
allpdb0089_10_111w.pdb 0.350 4.404 2.054 0.49540 Medium Medium
allpdb0089_10_102w.pdb 0.311 4.776 2.102 0.46950 Medium Acceptable
allpdb0089_10_4w.pdb 0.339 3.620 1.701 0.54090 Medium Medium
allpdb0089_10_187w.pdb 0.344 4.329 1.748 0.52083 Medium Medium
allpdb0089_10_130w.pdb 0.350 3.710 1.784 0.53469 Medium Medium
allpdb0089_10_142w.pdb 0.333 3.125 1.550 0.56592 Medium Medium
allpdb0089_10_6w.pdb 0.350 3.898 1.766 0.53173 Medium Medium
allpdb0089_10_25w.pdb 0.339 3.461 1.671 0.54760 Medium Medium
allpdb0089_10_28w.pdb 0.333 3.801 1.782 0.52713 Medium Medium
allpdb0089_10_22w.pdb 0.333 3.594 1.799 0.53058 Medium Medium
allpdb0089_10_16w.pdb 0.361 4.345 1.934 0.50982 Medium Medium
allpdb0089_10_140w.pdb 0.356 4.536 2.045 0.49453 Medium Medium
allpdb0089_10_24w.pdb 0.356 3.593 1.772 0.54050 Medium Medium
allpdb0089_10_169w.pdb 0.256 4.227 2.192 0.45874 Acceptable Acceptable
allpdb0089_10_53w.pdb 0.344 3.571 1.721 0.54205 Medium Medium
allpdb0089_10_171w.pdb 0.317 4.858 2.082 0.47071 Medium Acceptable
allpdb0089_10_12w.pdb 0.344 4.361 1.997 0.49894 Medium Medium
allpdb0089_10_200w.pdb 0.333 4.089 1.871 0.51224 Medium Medium
allpdb0089_10_97w.pdb 0.322 4.132 2.184 0.48389 Medium Acceptable
allpdb0089_10_63w.pdb 0.283 4.124 2.109 0.47624 Acceptable Acceptable
allpdb0089_10_98w.pdb 0.294 4.076 1.858 0.50070 Acceptable Medium
