#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0089_10_194w.pdb 0.511 3.964 1.404 0.62189 Medium Medium
allpdb0089_10_125w.pdb 0.483 3.412 1.429 0.62293 Medium Medium
allpdb0089_10_96w.pdb 0.444 3.710 1.512 0.59349 Medium Medium
allpdb0089_10_99w.pdb 0.428 4.146 1.728 0.55509 Medium Medium
allpdb0089_10_37w.pdb 0.439 4.212 1.466 0.58441 Medium Medium
allpdb0089_10_120w.pdb 0.444 4.621 1.593 0.56207 Medium Medium
allpdb0089_10_41w.pdb 0.433 4.732 1.907 0.52635 Medium Medium
allpdb0089_10_119w.pdb 0.411 3.251 1.624 0.58128 Medium Medium
allpdb0089_10_151w.pdb 0.439 4.396 1.671 0.55806 Medium Medium
allpdb0089_10_92w.pdb 0.417 4.913 2.021 0.50711 Medium Medium
allpdb0089_10_138w.pdb 0.461 3.673 1.396 0.61322 Medium Medium
allpdb0089_10_83w.pdb 0.406 4.809 1.572 0.54654 Medium Medium
allpdb0089_10_122w.pdb 0.333 5.457 2.029 0.46497 Acceptable Acceptable
allpdb0089_10_166w.pdb 0.406 4.268 1.519 0.56593 Medium Medium
allpdb0089_10_65w.pdb 0.367 4.955 2.031 0.48866 Medium Acceptable
allpdb0089_10_78w.pdb 0.389 3.316 1.362 0.60162 Medium Medium
allpdb0089_10_86w.pdb 0.439 3.485 1.401 0.60969 Medium Medium
allpdb0089_10_108w.pdb 0.433 4.871 1.674 0.54386 Medium Medium
allpdb0089_10_90w.pdb 0.444 3.821 1.667 0.57456 Medium Medium
allpdb0089_10_17w.pdb 0.433 4.659 1.702 0.54648 Medium Medium
allpdb0089_10_45w.pdb 0.394 5.010 1.653 0.52944 Medium Medium
allpdb0089_10_140w.pdb 0.372 4.380 1.912 0.51444 Medium Medium
allpdb0089_10_169w.pdb 0.356 3.939 1.510 0.55849 Medium Medium
allpdb0089_10_29w.pdb 0.367 5.578 1.858 0.48677 Medium Acceptable
