#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0993_2_4w.pdb 0.000 43.949 12.133 0.01704 Incorrect Incorrect
allpdb0993_2_1w.pdb 0.000 44.096 12.210 0.01690 Incorrect Incorrect
allpdb0993_2_62w.pdb 0.091 39.078 10.342 0.05223 Incorrect Incorrect
allpdb0993_2_3w.pdb 0.000 44.770 12.407 0.01640 Incorrect Incorrect
allpdb0993_2_179w.pdb 0.045 37.789 10.139 0.03834 Incorrect Incorrect
allpdb0993_2_12w.pdb 0.045 40.494 10.980 0.03533 Incorrect Incorrect
allpdb0993_2_41w.pdb 0.091 39.378 10.466 0.05185 Incorrect Incorrect
allpdb0993_2_187w.pdb 0.045 37.246 11.305 0.03742 Incorrect Incorrect
allpdb0993_2_111w.pdb 0.091 39.471 10.605 0.05161 Incorrect Incorrect
allpdb0993_2_181w.pdb 0.091 39.876 10.770 0.05113 Incorrect Incorrect
allpdb0993_2_159w.pdb 0.091 39.366 10.539 0.05177 Incorrect Incorrect
allpdb0993_2_44w.pdb 0.091 39.329 10.496 0.05185 Incorrect Incorrect
allpdb0993_2_87w.pdb 0.045 40.450 10.989 0.03534 Incorrect Incorrect
allpdb0993_2_18w.pdb 0.045 40.529 11.003 0.03528 Incorrect Incorrect
allpdb0993_2_101w.pdb 0.045 40.071 10.882 0.03572 Incorrect Incorrect
allpdb0993_2_110w.pdb 0.091 39.688 10.842 0.05118 Incorrect Incorrect
allpdb0993_2_107w.pdb 0.045 39.823 10.643 0.03617 Incorrect Incorrect
allpdb0993_2_78w.pdb 0.045 39.835 10.665 0.03613 Incorrect Incorrect
allpdb0993_2_8w.pdb 0.091 38.995 10.603 0.05196 Incorrect Incorrect
allpdb0993_2_47w.pdb 0.091 39.819 10.977 0.05094 Incorrect Incorrect
allpdb0993_2_197w.pdb 0.091 39.248 10.689 0.05167 Incorrect Incorrect
allpdb0993_2_98w.pdb 0.091 39.266 10.737 0.05161 Incorrect Incorrect
allpdb0993_2_185w.pdb 0.091 36.317 10.778 0.05395 Incorrect Incorrect
allpdb0993_2_115w.pdb 0.091 39.703 10.681 0.05136 Incorrect Incorrect
allpdb0993_2_40w.pdb 0.091 39.167 10.576 0.05187 Incorrect Incorrect
allpdb0993_2_33w.pdb 0.091 38.571 11.013 0.05181 Incorrect Incorrect
allpdb0993_2_122w.pdb 0.000 46.052 11.742 0.01633 Incorrect Incorrect
allpdb0993_2_30w.pdb 0.091 40.592 11.100 0.05028 Incorrect Incorrect
allpdb0993_2_85w.pdb 0.045 39.329 10.608 0.03656 Incorrect Incorrect
allpdb0993_2_148w.pdb 0.091 38.641 10.146 0.05282 Incorrect Incorrect
allpdb0993_2_141w.pdb 0.091 39.853 10.812 0.05110 Incorrect Incorrect
allpdb0993_2_117w.pdb 0.000 45.627 11.701 0.01657 Incorrect Incorrect
allpdb0993_2_49w.pdb 0.091 40.223 10.991 0.05065 Incorrect Incorrect
allpdb0993_2_73w.pdb 0.091 38.999 10.254 0.05240 Incorrect Incorrect
allpdb0993_2_74w.pdb 0.045 39.049 10.441 0.03697 Incorrect Incorrect
allpdb0993_2_180w.pdb 0.045 39.398 10.705 0.03640 Incorrect Incorrect
allpdb0993_2_200w.pdb 0.091 39.142 10.823 0.05160 Incorrect Incorrect
allpdb0993_2_139w.pdb 0.136 38.517 10.637 0.06743 Incorrect Incorrect
allpdb0993_2_59w.pdb 0.045 39.614 10.920 0.03600 Incorrect Incorrect
allpdb0993_2_88w.pdb 0.000 45.291 11.565 0.01686 Incorrect Incorrect
allpdb0993_2_17w.pdb 0.045 40.864 11.177 0.03487 Incorrect Incorrect
allpdb0993_2_52w.pdb 0.091 39.344 10.620 0.05169 Incorrect Incorrect
allpdb0993_2_69w.pdb 0.045 40.769 11.022 0.03510 Incorrect Incorrect
allpdb0993_2_83w.pdb 0.136 39.259 10.473 0.06708 Incorrect Incorrect
allpdb0993_2_132w.pdb 0.091 39.667 10.892 0.05114 Incorrect Incorrect
allpdb0993_2_142w.pdb 0.000 45.449 11.598 0.01675 Incorrect Incorrect
allpdb0993_2_109w.pdb 0.091 38.298 10.109 0.05313 Incorrect Incorrect
allpdb0993_2_22w.pdb 0.091 39.687 10.987 0.05102 Incorrect Incorrect
allpdb0993_2_76w.pdb 0.045 39.066 10.785 0.03654 Incorrect Incorrect
allpdb0993_2_25w.pdb 0.091 38.675 10.564 0.05225 Incorrect Incorrect
allpdb0993_2_136w.pdb 0.000 45.851 11.790 0.01638 Incorrect Incorrect
allpdb0993_2_64w.pdb 0.045 40.466 11.123 0.03519 Incorrect Incorrect
allpdb0993_2_157w.pdb 0.091 40.032 10.929 0.05085 Incorrect Incorrect
allpdb0993_2_54w.pdb 0.091 38.706 10.360 0.05248 Incorrect Incorrect
allpdb0993_2_46w.pdb 0.091 39.551 10.763 0.05137 Incorrect Incorrect
allpdb0993_2_167w.pdb 0.000 45.861 11.826 0.01635 Incorrect Incorrect
allpdb0993_2_127w.pdb 0.091 39.814 10.894 0.05104 Incorrect Incorrect
allpdb0993_2_36w.pdb 0.045 40.518 11.153 0.03513 Incorrect Incorrect
allpdb0993_2_134w.pdb 0.091 39.700 10.851 0.05116 Incorrect Incorrect
allpdb0993_2_106w.pdb 0.136 39.124 10.356 0.06733 Incorrect Incorrect
allpdb0993_2_96w.pdb 0.000 45.751 11.753 0.01646 Incorrect Incorrect
allpdb0993_2_194w.pdb 0.045 38.948 10.710 0.03672 Incorrect Incorrect
allpdb0993_2_149w.pdb 0.045 39.403 10.728 0.03637 Incorrect Incorrect
allpdb0993_2_170w.pdb 0.045 40.056 10.938 0.03567 Incorrect Incorrect
allpdb0993_2_177w.pdb 0.136 39.467 10.658 0.06670 Incorrect Incorrect
allpdb0993_2_39w.pdb 0.091 39.915 10.846 0.05102 Incorrect Incorrect
allpdb0993_2_182w.pdb 0.136 40.147 10.818 0.06604 Incorrect Incorrect
allpdb0993_2_92w.pdb 0.045 42.070 11.484 0.03382 Incorrect Incorrect
allpdb0993_2_100w.pdb 0.091 38.738 10.404 0.05240 Incorrect Incorrect
