#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb1822_10_9w.pdb 0.520 5.730 2.057 0.51826 Acceptable Medium
allpdb1822_10_130w.pdb 0.000 48.390 15.267 0.01316 Incorrect Incorrect
allpdb1822_10_12w.pdb 0.720 9.657 2.171 0.49323 Acceptable Medium
allpdb1822_10_4w.pdb 0.480 9.384 3.009 0.37657 Acceptable Acceptable
allpdb1822_10_53w.pdb 0.000 69.046 11.231 0.01082 Incorrect Incorrect
allpdb1822_10_23w.pdb 0.720 5.093 1.950 0.60923 Medium Medium
allpdb1822_10_8w.pdb 0.720 5.642 1.278 0.66449 Medium Medium
allpdb1822_10_17w.pdb 0.760 4.152 0.847 0.77520 High Medium
allpdb1822_10_21w.pdb 0.620 3.735 1.553 0.64699 Medium Medium
allpdb1822_10_3w.pdb 0.420 14.735 4.147 0.26180 Incorrect Acceptable
allpdb1822_10_44w.pdb 0.760 4.529 1.853 0.64492 Medium Medium
allpdb1822_10_83w.pdb 0.440 18.636 4.589 0.23625 Incorrect Acceptable
allpdb1822_10_39w.pdb 0.740 4.117 1.393 0.69561 Medium Medium
allpdb1822_10_13w.pdb 0.700 3.557 1.200 0.72028 Medium Medium
allpdb1822_10_14w.pdb 0.520 8.478 2.569 0.42516 Acceptable Acceptable
allpdb1822_10_154w.pdb 0.000 80.495 15.316 0.00684 Incorrect Incorrect
allpdb1822_10_40w.pdb 0.700 10.048 2.173 0.47991 Acceptable Acceptable
allpdb1822_10_2w.pdb 0.520 4.343 1.653 0.58819 Medium Medium
allpdb1822_10_19w.pdb 0.420 17.194 4.432 0.23972 Incorrect Acceptable
allpdb1822_10_43w.pdb 0.040 74.829 14.581 0.02107 Incorrect Incorrect
allpdb1822_10_200w.pdb 0.000 66.964 10.577 0.01186 Incorrect Incorrect
allpdb1822_10_90w.pdb 0.160 26.631 8.859 0.09344 Incorrect Incorrect
allpdb1822_10_78w.pdb 0.520 11.078 2.482 0.38602 Acceptable Acceptable
allpdb1822_10_16w.pdb 0.700 3.296 1.018 0.75132 Medium Medium
allpdb1822_10_70w.pdb 0.140 27.151 9.700 0.08421 Incorrect Incorrect
allpdb1822_10_79w.pdb 0.340 11.098 3.747 0.28262 Acceptable Acceptable
allpdb1822_10_5w.pdb 0.200 21.522 8.591 0.12151 Incorrect Incorrect
allpdb1822_10_38w.pdb 0.020 62.140 12.208 0.01775 Incorrect Incorrect
allpdb1822_10_86w.pdb 0.060 31.533 11.279 0.04837 Incorrect Incorrect
allpdb1822_10_20w.pdb 0.540 9.930 2.747 0.39750 Acceptable Acceptable
allpdb1822_10_170w.pdb 0.520 18.381 4.250 0.26898 Incorrect Acceptable
allpdb1822_10_26w.pdb 0.220 25.941 8.554 0.11559 Incorrect Incorrect
allpdb1822_10_27w.pdb 0.660 4.972 1.744 0.61007 Medium Medium
allpdb1822_10_131w.pdb 0.060 61.615 11.365 0.03193 Incorrect Incorrect
allpdb1822_10_49w.pdb 0.140 45.935 12.737 0.06226 Incorrect Incorrect
allpdb1822_10_104w.pdb 0.460 13.396 3.969 0.29067 Acceptable Acceptable
allpdb1822_10_72w.pdb 0.200 28.710 7.894 0.10515 Incorrect Incorrect
allpdb1822_10_188w.pdb 0.000 78.256 16.017 0.00678 Incorrect Incorrect
allpdb1822_10_74w.pdb 0.020 25.961 5.729 0.06033 Incorrect Incorrect
allpdb1822_10_47w.pdb 0.720 4.971 1.460 0.65957 Medium Medium
allpdb1822_10_63w.pdb 0.120 47.780 10.526 0.05686 Incorrect Incorrect
allpdb1822_10_6w.pdb 0.220 24.074 4.875 0.13911 Incorrect Incorrect
allpdb1822_10_171w.pdb 0.020 59.856 10.884 0.01947 Incorrect Incorrect
allpdb1822_10_45w.pdb 0.420 22.633 4.518 0.21429 Incorrect Incorrect
allpdb1822_10_161w.pdb 0.700 5.429 1.810 0.60576 Medium Medium
allpdb1822_10_121w.pdb 0.000 83.737 18.582 0.00556 Incorrect Incorrect
allpdb1822_10_1w.pdb 0.540 7.122 1.471 0.54580 Medium Medium
allpdb1822_10_50w.pdb 0.700 5.288 1.043 0.69831 Medium Medium
allpdb1822_10_115w.pdb 0.020 68.805 11.380 0.01737 Incorrect Incorrect
allpdb1822_10_144w.pdb 0.540 11.449 2.495 0.38695 Acceptable Acceptable
allpdb1822_10_42w.pdb 0.300 25.055 8.707 0.14401 Incorrect Incorrect
allpdb1822_10_29w.pdb 0.520 5.123 1.988 0.53874 Medium Medium
allpdb1822_10_28w.pdb 0.480 7.059 2.198 0.46317 Acceptable Acceptable
allpdb1822_10_127w.pdb 0.000 67.181 10.512 0.01190 Incorrect Incorrect
allpdb1822_10_82w.pdb 0.180 28.380 4.237 0.12456 Incorrect Incorrect
allpdb1822_10_18w.pdb 0.700 5.006 1.238 0.67908 Medium Medium
allpdb1822_10_41w.pdb 0.660 8.336 1.624 0.54336 Medium Medium
allpdb1822_10_91w.pdb 0.020 65.424 11.249 0.01802 Incorrect Incorrect
allpdb1822_10_92w.pdb 0.680 10.493 1.917 0.48534 Medium Acceptable
allpdb1822_10_110w.pdb 0.440 17.569 4.560 0.24245 Incorrect Acceptable
