#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb1822_10_97w.pdb 0.340 11.263 3.744 0.28040 Acceptable Acceptable
allpdb1822_10_2w.pdb 0.100 54.884 9.285 0.04962 Incorrect Incorrect
allpdb1822_10_14w.pdb 0.160 30.854 7.579 0.08941 Incorrect Incorrect
allpdb1822_10_153w.pdb 0.300 17.987 4.235 0.19801 Incorrect Incorrect
allpdb1822_10_3w.pdb 0.460 11.093 2.961 0.34471 Acceptable Acceptable
allpdb1822_10_152w.pdb 0.320 9.651 3.357 0.30776 Acceptable Acceptable
allpdb1822_10_17w.pdb 0.460 11.558 2.821 0.34379 Acceptable Acceptable
allpdb1822_10_124w.pdb 0.460 9.138 2.266 0.40949 Acceptable Acceptable
allpdb1822_10_78w.pdb 0.460 17.067 3.439 0.27286 Acceptable Acceptable
allpdb1822_10_8w.pdb 0.200 15.149 6.223 0.16479 Incorrect Incorrect
allpdb1822_10_71w.pdb 0.440 4.941 2.085 0.50949 Medium Medium
allpdb1822_10_98w.pdb 0.380 12.392 2.588 0.31713 Acceptable Acceptable
allpdb1822_10_85w.pdb 0.440 16.457 4.195 0.25465 Incorrect Acceptable
allpdb1822_10_21w.pdb 0.180 11.127 3.833 0.22709 Acceptable Incorrect
allpdb1822_10_13w.pdb 0.400 8.273 2.301 0.40392 Acceptable Acceptable
allpdb1822_10_174w.pdb 0.220 10.627 4.046 0.24365 Incorrect Acceptable
allpdb1822_10_101w.pdb 0.520 9.942 1.984 0.43530 Medium Acceptable
allpdb1822_10_184w.pdb 0.120 19.402 4.380 0.12867 Incorrect Incorrect
allpdb1822_10_139w.pdb 0.600 9.874 2.420 0.43438 Acceptable Acceptable
allpdb1822_10_196w.pdb 0.560 7.182 2.295 0.48092 Acceptable Acceptable
allpdb1822_10_118w.pdb 0.580 4.831 1.731 0.58818 Medium Medium
allpdb1822_10_95w.pdb 0.500 10.138 2.160 0.41273 Acceptable Acceptable
allpdb1822_10_158w.pdb 0.440 14.163 3.885 0.27817 Acceptable Acceptable
allpdb1822_10_73w.pdb 0.400 10.945 2.471 0.34848 Acceptable Acceptable
allpdb1822_10_163w.pdb 0.360 13.340 4.457 0.25017 Incorrect Acceptable
allpdb1822_10_111w.pdb 0.200 19.822 4.014 0.15929 Incorrect Incorrect
allpdb1822_10_138w.pdb 0.640 9.327 2.143 0.47416 Acceptable Acceptable
allpdb1822_10_199w.pdb 0.420 18.861 4.085 0.23588 Incorrect Acceptable
allpdb1822_10_190w.pdb 0.360 19.297 4.417 0.20863 Incorrect Incorrect
allpdb1822_10_159w.pdb 0.440 9.457 1.998 0.41578 Medium Acceptable
allpdb1822_10_129w.pdb 0.460 11.513 2.922 0.34044 Acceptable Acceptable
allpdb1822_10_166w.pdb 0.480 9.126 2.266 0.41640 Acceptable Acceptable
allpdb1822_10_192w.pdb 0.220 19.214 4.187 0.16580 Incorrect Incorrect
allpdb1822_10_123w.pdb 0.280 19.910 4.040 0.18510 Incorrect Incorrect
allpdb1822_10_108w.pdb 0.520 10.675 2.190 0.40911 Acceptable Acceptable
allpdb1822_10_99w.pdb 0.260 19.175 6.894 0.15648 Incorrect Incorrect
allpdb1822_10_39w.pdb 0.420 9.615 2.507 0.37407 Acceptable Acceptable
allpdb1822_10_65w.pdb 0.500 8.329 2.304 0.43597 Acceptable Acceptable
allpdb1822_10_142w.pdb 0.340 18.212 4.113 0.21210 Incorrect Incorrect
allpdb1822_10_79w.pdb 0.600 11.249 2.375 0.41617 Acceptable Acceptable
allpdb1822_10_117w.pdb 0.440 13.059 2.381 0.34058 Acceptable Acceptable
allpdb1822_10_187w.pdb 0.520 6.652 2.086 0.49370 Acceptable Medium
allpdb1822_10_193w.pdb 0.500 8.828 2.121 0.43812 Acceptable Acceptable
allpdb1822_10_198w.pdb 0.400 18.854 4.511 0.22282 Incorrect Incorrect
allpdb1822_10_173w.pdb 0.320 11.133 3.543 0.28007 Acceptable Acceptable
allpdb1822_10_128w.pdb 0.520 11.486 2.211 0.39636 Acceptable Acceptable
allpdb1822_10_94w.pdb 0.440 9.805 2.037 0.40686 Acceptable Acceptable
allpdb1822_10_121w.pdb 0.280 18.051 5.143 0.17996 Incorrect Incorrect
allpdb1822_10_165w.pdb 0.340 14.353 4.541 0.23268 Incorrect Acceptable
allpdb1822_10_104w.pdb 0.600 8.446 2.556 0.45313 Acceptable Acceptable
allpdb1822_10_189w.pdb 0.300 17.121 4.014 0.20676 Incorrect Incorrect
allpdb1822_10_6w.pdb 0.180 26.248 5.942 0.11161 Incorrect Incorrect
allpdb1822_10_68w.pdb 0.360 8.585 3.472 0.33744 Acceptable Acceptable
allpdb1822_10_92w.pdb 0.520 9.230 2.385 0.42080 Acceptable Acceptable
allpdb1822_10_51w.pdb 0.200 22.095 4.220 0.14703 Incorrect Incorrect
allpdb1822_10_84w.pdb 0.380 12.307 3.550 0.28482 Acceptable Acceptable
allpdb1822_10_160w.pdb 0.380 21.622 4.238 0.20840 Incorrect Incorrect
allpdb1822_10_164w.pdb 0.400 12.605 3.637 0.28599 Acceptable Acceptable
allpdb1822_10_28w.pdb 0.200 22.947 4.594 0.13900 Incorrect Incorrect
allpdb1822_10_58w.pdb 0.360 8.375 2.355 0.38533 Acceptable Acceptable
allpdb1822_10_167w.pdb 0.260 19.777 4.597 0.17071 Incorrect Incorrect
allpdb1822_10_102w.pdb 0.120 14.862 5.451 0.14562 Incorrect Incorrect
allpdb1822_10_155w.pdb 0.660 10.758 2.062 0.46348 Acceptable Acceptable
allpdb1822_10_67w.pdb 0.560 10.043 1.698 0.47190 Medium Acceptable
allpdb1822_10_180w.pdb 0.440 20.166 4.324 0.23276 Incorrect Acceptable
allpdb1822_10_177w.pdb 0.260 19.236 4.286 0.17750 Incorrect Incorrect
allpdb1822_10_5w.pdb 0.240 8.277 3.077 0.31509 Acceptable Acceptable
allpdb1822_10_55w.pdb 0.280 4.761 2.812 0.42089 Acceptable Acceptable
allpdb1822_10_119w.pdb 0.380 14.510 4.527 0.24481 Incorrect Acceptable
allpdb1822_10_12w.pdb 0.480 9.791 2.645 0.38435 Acceptable Acceptable
allpdb1822_10_109w.pdb 0.300 21.415 4.214 0.18285 Incorrect Incorrect
allpdb1822_10_183w.pdb 0.460 8.903 2.607 0.39522 Acceptable Acceptable
allpdb1822_10_106w.pdb 0.300 20.181 4.473 0.18391 Incorrect Incorrect
allpdb1822_10_100w.pdb 0.380 13.604 4.526 0.25325 Incorrect Acceptable
allpdb1822_10_145w.pdb 0.360 13.360 2.445 0.30720 Acceptable Acceptable
allpdb1822_10_178w.pdb 0.440 11.869 2.284 0.36011 Acceptable Acceptable
allpdb1822_10_69w.pdb 0.580 8.788 1.805 0.49064 Medium Medium
allpdb1822_10_154w.pdb 0.280 22.786 4.696 0.16491 Incorrect Incorrect
allpdb1822_10_162w.pdb 0.300 13.021 3.197 0.25974 Acceptable Acceptable
allpdb1822_10_115w.pdb 0.240 18.673 4.004 0.17824 Incorrect Incorrect
allpdb1822_10_191w.pdb 0.340 12.001 2.346 0.32141 Acceptable Acceptable
allpdb1822_10_147w.pdb 0.520 14.720 3.144 0.31849 Acceptable Acceptable
allpdb1822_10_90w.pdb 0.460 12.713 2.486 0.34529 Acceptable Acceptable
allpdb1822_10_188w.pdb 0.260 18.433 3.896 0.18815 Acceptable Incorrect
allpdb1822_10_107w.pdb 0.220 24.045 4.716 0.14099 Incorrect Incorrect
allpdb1822_10_143w.pdb 0.360 10.028 3.175 0.32018 Acceptable Acceptable
allpdb1822_10_59w.pdb 0.360 16.514 3.300 0.24690 Acceptable Acceptable
allpdb1822_10_133w.pdb 0.160 20.650 4.459 0.13552 Incorrect Incorrect
allpdb1822_10_89w.pdb 0.380 14.112 2.891 0.28611 Acceptable Acceptable
allpdb1822_10_146w.pdb 0.400 11.561 2.903 0.32052 Acceptable Acceptable
allpdb1822_10_23w.pdb 0.240 19.846 4.120 0.17068 Incorrect Incorrect
allpdb1822_10_194w.pdb 0.480 7.935 2.649 0.41902 Acceptable Acceptable
allpdb1822_10_120w.pdb 0.480 11.311 2.135 0.39049 Acceptable Acceptable
allpdb1822_10_54w.pdb 0.440 12.966 2.548 0.33267 Acceptable Acceptable
allpdb1822_10_134w.pdb 0.300 19.846 4.202 0.18935 Incorrect Incorrect
allpdb1822_10_149w.pdb 0.460 9.924 2.923 0.36388 Acceptable Acceptable
