#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb1080_4_10w.pdb 0.881 1.011 0.667 0.90058 High High
allpdb1080_4_13w.pdb 0.881 1.666 0.872 0.86369 High High
allpdb1080_4_12w.pdb 0.866 0.725 0.651 0.89999 High High
allpdb1080_4_19w.pdb 0.881 1.603 0.852 0.86744 High High
allpdb1080_4_11w.pdb 0.806 1.742 0.668 0.86674 High High
allpdb1080_4_14w.pdb 0.896 1.283 0.656 0.90426 High High
allpdb1080_4_55w.pdb 0.925 1.392 0.639 0.91517 High High
allpdb1080_4_3w.pdb 0.716 2.249 1.015 0.77898 Medium Medium
allpdb1080_4_130w.pdb 0.866 1.944 0.741 0.87329 High High
allpdb1080_4_124w.pdb 0.836 2.037 0.898 0.83921 High High
allpdb1080_4_143w.pdb 0.851 1.197 0.704 0.88366 High High
allpdb1080_4_23w.pdb 0.836 1.112 0.695 0.88071 High High
allpdb1080_4_9w.pdb 0.866 1.606 0.828 0.86587 High High
allpdb1080_4_66w.pdb 0.806 1.483 0.835 0.84663 High High
allpdb1080_4_109w.pdb 0.896 1.657 0.800 0.87912 High High
allpdb1080_4_60w.pdb 0.776 1.678 0.817 0.83657 High High
allpdb1080_4_8w.pdb 0.687 3.049 1.076 0.74433 Medium Medium
allpdb1080_4_123w.pdb 0.836 1.757 0.804 0.85724 High High
allpdb1080_4_93w.pdb 0.776 1.551 0.860 0.83213 High High
allpdb1080_4_24w.pdb 0.776 2.840 1.079 0.77828 Medium Medium
allpdb1080_4_6w.pdb 0.701 2.932 1.232 0.73071 Medium Medium
allpdb1080_4_1w.pdb 0.716 2.138 0.875 0.80094 High High
allpdb1080_4_89w.pdb 0.881 1.573 0.644 0.89729 High High
allpdb1080_4_88w.pdb 0.866 1.513 0.884 0.85908 High High
allpdb1080_4_182w.pdb 0.806 2.189 0.846 0.83420 High High
allpdb1080_4_106w.pdb 0.866 1.492 0.740 0.88008 High High
allpdb1080_4_22w.pdb 0.761 2.434 1.013 0.79077 Medium Medium
allpdb1080_4_68w.pdb 0.761 3.452 1.281 0.73265 Medium Medium
allpdb1080_4_91w.pdb 0.821 2.391 0.968 0.81790 High High
allpdb1080_4_27w.pdb 0.716 2.704 1.133 0.75380 Medium Medium
allpdb1080_4_166w.pdb 0.701 3.479 1.239 0.71740 Medium Medium
allpdb1080_4_131w.pdb 0.746 1.602 0.851 0.82284 High High
allpdb1080_4_95w.pdb 0.881 1.498 0.788 0.87805 High High
allpdb1080_4_97w.pdb 0.851 1.484 0.639 0.88923 High High
allpdb1080_4_79w.pdb 0.731 1.872 0.818 0.81859 High High
allpdb1080_4_78w.pdb 0.731 1.823 0.913 0.80566 High High
allpdb1080_4_90w.pdb 0.657 2.859 1.068 0.73951 Medium Medium
allpdb1080_4_73w.pdb 0.776 1.953 1.018 0.80357 Medium High
allpdb1080_4_174w.pdb 0.209 14.300 5.014 0.18406 Incorrect Incorrect
allpdb1080_4_7w.pdb 0.493 5.502 1.864 0.53013 Medium Medium
allpdb1080_4_17w.pdb 0.507 5.079 1.666 0.56404 Medium Medium
allpdb1080_4_186w.pdb 0.537 6.291 2.264 0.49617 Acceptable Medium
allpdb1080_4_29w.pdb 0.627 2.810 1.196 0.71317 Medium Medium
allpdb1080_4_140w.pdb 0.522 6.169 2.334 0.48987 Acceptable Acceptable
allpdb1080_4_160w.pdb 0.701 2.553 1.056 0.76251 Medium Medium
allpdb1080_4_2w.pdb 0.522 4.927 1.699 0.56967 Medium Medium
allpdb1080_4_15w.pdb 0.358 5.089 2.096 0.47769 Acceptable Acceptable
allpdb1080_4_98w.pdb 0.642 3.089 1.166 0.71615 Medium Medium
allpdb1080_4_42w.pdb 0.224 12.017 4.486 0.21930 Incorrect Incorrect
allpdb1080_4_65w.pdb 0.537 3.075 1.392 0.65295 Medium Medium
allpdb1080_4_71w.pdb 0.045 37.052 12.995 0.03597 Incorrect Incorrect
allpdb1080_4_52w.pdb 0.000 40.082 17.748 0.01671 Incorrect Incorrect
allpdb1080_4_113w.pdb 0.448 3.327 1.413 0.61488 Medium Medium
allpdb1080_4_40w.pdb 0.119 11.878 4.474 0.18637 Incorrect Incorrect
allpdb1080_4_120w.pdb 0.224 5.471 2.748 0.38682 Acceptable Acceptable
allpdb1080_4_196w.pdb 0.149 10.122 4.649 0.21904 Incorrect Incorrect
allpdb1080_4_5w.pdb 0.418 4.855 1.827 0.52484 Medium Medium
allpdb1080_4_178w.pdb 0.015 43.411 14.902 0.02063 Incorrect Incorrect
allpdb1080_4_139w.pdb 0.328 3.892 1.886 0.51414 Medium Medium
allpdb1080_4_173w.pdb 0.134 11.541 4.198 0.19974 Incorrect Incorrect
allpdb1080_4_28w.pdb 0.313 8.731 2.951 0.33510 Acceptable Acceptable
allpdb1080_4_16w.pdb 0.328 6.532 2.276 0.41999 Acceptable Acceptable
allpdb1080_4_63w.pdb 0.104 10.901 4.006 0.20186 Incorrect Incorrect
allpdb1080_4_51w.pdb 0.119 13.080 4.400 0.17348 Incorrect Incorrect
allpdb1080_4_81w.pdb 0.075 31.781 12.014 0.05224 Incorrect Incorrect
allpdb1080_4_56w.pdb 0.104 10.874 4.047 0.20152 Incorrect Incorrect
allpdb1080_4_61w.pdb 0.269 10.313 3.712 0.27119 Acceptable Acceptable
allpdb1080_4_94w.pdb 0.328 4.156 1.933 0.50374 Medium Medium
allpdb1080_4_104w.pdb 0.358 5.507 2.174 0.46166 Acceptable Acceptable
allpdb1080_4_26w.pdb 0.448 3.257 1.506 0.60589 Medium Medium
allpdb1080_4_151w.pdb 0.149 12.333 3.833 0.20137 Acceptable Incorrect
allpdb1080_4_170w.pdb 0.045 29.566 10.658 0.04685 Incorrect Incorrect
allpdb1080_4_135w.pdb 0.194 14.399 4.979 0.17855 Incorrect Incorrect
allpdb1080_4_175w.pdb 0.119 12.628 4.364 0.17896 Incorrect Incorrect
allpdb1080_4_96w.pdb 0.358 3.089 1.436 0.58779 Medium Medium
allpdb1080_4_69w.pdb 0.000 43.290 14.273 0.01602 Incorrect Incorrect
allpdb1080_4_197w.pdb 0.343 5.545 2.609 0.43103 Acceptable Acceptable
allpdb1080_4_38w.pdb 0.104 28.511 10.398 0.06883 Incorrect Incorrect
allpdb1080_4_114w.pdb 0.000 47.281 15.168 0.01366 Incorrect Incorrect
allpdb1080_4_181w.pdb 0.164 8.526 3.366 0.27612 Acceptable Acceptable
allpdb1080_4_80w.pdb 0.045 29.763 11.384 0.04575 Incorrect Incorrect
allpdb1080_4_39w.pdb 0.060 29.201 9.774 0.05361 Incorrect Incorrect
allpdb1080_4_21w.pdb 0.104 8.665 4.621 0.23006 Acceptable Acceptable
allpdb1080_4_33w.pdb 0.090 32.245 11.514 0.05707 Incorrect Incorrect
allpdb1080_4_59w.pdb 0.045 18.494 9.476 0.08121 Incorrect Incorrect
allpdb1080_4_30w.pdb 0.104 30.621 10.918 0.06485 Incorrect Incorrect
allpdb1080_4_192w.pdb 0.000 36.700 13.251 0.02119 Incorrect Incorrect
allpdb1080_4_129w.pdb 0.209 11.909 4.343 0.21767 Incorrect Incorrect
allpdb1080_4_147w.pdb 0.030 42.416 15.176 0.02604 Incorrect Incorrect
allpdb1080_4_117w.pdb 0.030 30.121 10.507 0.04119 Incorrect Incorrect
allpdb1080_4_138w.pdb 0.000 39.271 15.309 0.01809 Incorrect Incorrect
allpdb1080_4_101w.pdb 0.060 31.655 11.419 0.04797 Incorrect Incorrect
allpdb1080_4_57w.pdb 0.104 12.452 4.418 0.17522 Incorrect Incorrect
allpdb1080_4_50w.pdb 0.104 9.416 3.587 0.23410 Acceptable Acceptable
allpdb1080_4_45w.pdb 0.000 42.894 18.329 0.01481 Incorrect Incorrect
allpdb1080_4_185w.pdb 0.060 41.212 14.987 0.03681 Incorrect Incorrect
allpdb1080_4_102w.pdb 0.090 11.417 5.324 0.17324 Incorrect Incorrect
allpdb1080_4_4w.pdb 0.254 8.711 2.834 0.32010 Acceptable Acceptable
allpdb1080_4_58w.pdb 0.090 11.374 4.264 0.18600 Incorrect Incorrect
allpdb1080_4_82w.pdb 0.060 32.087 11.691 0.04716 Incorrect Incorrect
allpdb1080_4_84w.pdb 0.075 29.588 11.332 0.05603 Incorrect Incorrect
allpdb1080_4_133w.pdb 0.060 31.639 10.829 0.04862 Incorrect Incorrect
allpdb1080_4_87w.pdb 0.030 24.007 8.610 0.05690 Incorrect Incorrect
allpdb1080_4_155w.pdb 0.134 10.257 3.412 0.23448 Acceptable Acceptable
allpdb1080_4_187w.pdb 0.060 27.418 9.620 0.05704 Incorrect Incorrect
allpdb1080_4_62w.pdb 0.000 44.706 14.444 0.01519 Incorrect Incorrect
allpdb1080_4_108w.pdb 0.209 11.507 4.580 0.21962 Incorrect Incorrect
allpdb1080_4_146w.pdb 0.000 40.632 15.288 0.01715 Incorrect Incorrect
allpdb1080_4_172w.pdb 0.030 42.236 15.209 0.02614 Incorrect Incorrect
allpdb1080_4_193w.pdb 0.000 36.701 12.982 0.02136 Incorrect Incorrect
allpdb1080_4_148w.pdb 0.015 34.949 11.746 0.02894 Incorrect Incorrect
allpdb1080_4_169w.pdb 0.015 29.249 10.811 0.03723 Incorrect Incorrect
allpdb1080_4_67w.pdb 0.104 13.061 5.673 0.15578 Incorrect Incorrect
allpdb1080_4_47w.pdb 0.060 39.230 13.378 0.03899 Incorrect Incorrect
allpdb1080_4_199w.pdb 0.000 37.174 13.199 0.02081 Incorrect Incorrect
allpdb1080_4_116w.pdb 0.239 11.995 4.428 0.22534 Incorrect Incorrect
allpdb1080_4_183w.pdb 0.000 33.553 14.854 0.02347 Incorrect Incorrect
allpdb1080_4_76w.pdb 0.000 42.870 14.494 0.01614 Incorrect Incorrect
