#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0336_4_2w.pdb 0.436 4.339 2.486 0.49875 Medium Medium
allpdb0336_4_3w.pdb 0.309 5.704 3.401 0.38695 Acceptable Acceptable
allpdb0336_4_1w.pdb 0.016 16.152 7.683 0.08985 Incorrect Incorrect
allpdb0336_4_5w.pdb 0.080 16.163 7.191 0.11271 Incorrect Incorrect
allpdb0336_4_158w.pdb 0.005 37.357 16.583 0.02089 Incorrect Incorrect
allpdb0336_4_86w.pdb 0.016 35.269 15.844 0.02658 Incorrect Incorrect
allpdb0336_4_60w.pdb 0.005 40.335 17.487 0.01838 Incorrect Incorrect
allpdb0336_4_57w.pdb 0.016 35.783 15.507 0.02621 Incorrect Incorrect
allpdb0336_4_153w.pdb 0.005 37.323 16.555 0.02092 Incorrect Incorrect
allpdb0336_4_50w.pdb 0.016 34.658 15.585 0.02729 Incorrect Incorrect
allpdb0336_4_26w.pdb 0.016 35.051 15.908 0.02677 Incorrect Incorrect
allpdb0336_4_166w.pdb 0.005 36.910 16.398 0.02133 Incorrect Incorrect
allpdb0336_4_14w.pdb 0.016 34.500 15.006 0.02769 Incorrect Incorrect
allpdb0336_4_119w.pdb 0.005 36.611 16.423 0.02158 Incorrect Incorrect
allpdb0336_4_187w.pdb 0.005 37.039 16.511 0.02118 Incorrect Incorrect
allpdb0336_4_132w.pdb 0.005 36.467 16.333 0.02174 Incorrect Incorrect
allpdb0336_4_61w.pdb 0.005 39.665 17.407 0.01887 Incorrect Incorrect
allpdb0336_4_72w.pdb 0.016 34.598 15.555 0.02736 Incorrect Incorrect
allpdb0336_4_71w.pdb 0.016 16.721 7.601 0.08626 Incorrect Incorrect
allpdb0336_4_151w.pdb 0.005 36.532 16.266 0.02170 Incorrect Incorrect
allpdb0336_4_70w.pdb 0.016 35.833 15.647 0.02611 Incorrect Incorrect
allpdb0336_4_164w.pdb 0.005 36.802 16.402 0.02142 Incorrect Incorrect
allpdb0336_4_105w.pdb 0.021 35.167 15.882 0.02844 Incorrect Incorrect
allpdb0336_4_118w.pdb 0.005 36.949 16.496 0.02126 Incorrect Incorrect
allpdb0336_4_44w.pdb 0.016 36.028 15.828 0.02586 Incorrect Incorrect
allpdb0336_4_129w.pdb 0.005 36.791 16.341 0.02145 Incorrect Incorrect
allpdb0336_4_34w.pdb 0.000 39.133 17.055 0.01758 Incorrect Incorrect
allpdb0336_4_154w.pdb 0.005 37.456 16.579 0.02080 Incorrect Incorrect
allpdb0336_4_20w.pdb 0.016 34.548 15.717 0.02735 Incorrect Incorrect
allpdb0336_4_90w.pdb 0.016 35.639 15.779 0.02625 Incorrect Incorrect
allpdb0336_4_62w.pdb 0.016 34.591 15.040 0.02758 Incorrect Incorrect
allpdb0336_4_136w.pdb 0.005 37.203 16.694 0.02098 Incorrect Incorrect
allpdb0336_4_79w.pdb 0.016 34.714 15.678 0.02720 Incorrect Incorrect
allpdb0336_4_122w.pdb 0.005 37.077 16.497 0.02115 Incorrect Incorrect
allpdb0336_4_49w.pdb 0.016 36.045 15.806 0.02585 Incorrect Incorrect
allpdb0336_4_51w.pdb 0.016 34.897 15.737 0.02699 Incorrect Incorrect
allpdb0336_4_165w.pdb 0.005 36.930 16.537 0.02126 Incorrect Incorrect
allpdb0336_4_180w.pdb 0.005 37.005 16.408 0.02124 Incorrect Incorrect
allpdb0336_4_182w.pdb 0.005 36.913 16.447 0.02131 Incorrect Incorrect
allpdb0336_4_121w.pdb 0.005 36.848 16.481 0.02135 Incorrect Incorrect
allpdb0336_4_170w.pdb 0.005 37.402 16.631 0.02083 Incorrect Incorrect
allpdb0336_4_24w.pdb 0.016 35.494 15.615 0.02645 Incorrect Incorrect
allpdb0336_4_168w.pdb 0.005 36.738 16.507 0.02144 Incorrect Incorrect
allpdb0336_4_106w.pdb 0.005 36.853 16.481 0.02135 Incorrect Incorrect
allpdb0336_4_82w.pdb 0.016 35.459 15.787 0.02641 Incorrect Incorrect
allpdb0336_4_109w.pdb 0.005 36.967 16.517 0.02124 Incorrect Incorrect
allpdb0336_4_29w.pdb 0.016 35.623 15.523 0.02636 Incorrect Incorrect
allpdb0336_4_66w.pdb 0.016 35.400 15.188 0.02671 Incorrect Incorrect
allpdb0336_4_142w.pdb 0.005 37.197 16.602 0.02101 Incorrect Incorrect
allpdb0336_4_93w.pdb 0.016 34.826 15.817 0.02703 Incorrect Incorrect
allpdb0336_4_112w.pdb 0.005 37.108 16.707 0.02106 Incorrect Incorrect
allpdb0336_4_200w.pdb 0.005 37.361 16.616 0.02087 Incorrect Incorrect
allpdb0336_4_6w.pdb 0.005 40.202 17.765 0.01840 Incorrect Incorrect
allpdb0336_4_47w.pdb 0.016 35.548 15.505 0.02644 Incorrect Incorrect
