#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0336_4_55w.pdb 0.521 3.599 1.827 0.59065 Medium Medium
allpdb0336_4_18w.pdb 0.394 5.117 2.210 0.48099 Acceptable Acceptable
allpdb0336_4_12w.pdb 0.314 5.106 2.557 0.43490 Acceptable Acceptable
allpdb0336_4_171w.pdb 0.420 4.267 1.939 0.53106 Medium Medium
allpdb0336_4_110w.pdb 0.388 4.253 2.286 0.49635 Medium Medium
allpdb0336_4_56w.pdb 0.346 5.427 2.445 0.44322 Acceptable Acceptable
allpdb0336_4_139w.pdb 0.298 5.051 2.382 0.44031 Acceptable Acceptable
allpdb0336_4_2w.pdb 0.207 6.573 3.415 0.33166 Acceptable Acceptable
allpdb0336_4_64w.pdb 0.223 7.082 4.124 0.31016 Acceptable Acceptable
allpdb0336_4_168w.pdb 0.309 5.957 3.515 0.37773 Acceptable Acceptable
allpdb0336_4_9w.pdb 0.069 24.804 12.718 0.06265 Incorrect Incorrect
allpdb0336_4_180w.pdb 0.202 6.608 3.640 0.32354 Acceptable Acceptable
allpdb0336_4_33w.pdb 0.128 7.835 4.183 0.26074 Acceptable Acceptable
allpdb0336_4_123w.pdb 0.319 5.264 2.526 0.43418 Acceptable Acceptable
allpdb0336_4_73w.pdb 0.149 7.871 4.358 0.26440 Acceptable Acceptable
allpdb0336_4_144w.pdb 0.176 6.034 3.375 0.33515 Acceptable Acceptable
allpdb0336_4_29w.pdb 0.021 17.648 7.271 0.08347 Incorrect Incorrect
allpdb0336_4_13w.pdb 0.223 7.515 4.010 0.30247 Acceptable Acceptable
allpdb0336_4_155w.pdb 0.293 5.530 2.569 0.41645 Acceptable Acceptable
allpdb0336_4_19w.pdb 0.138 7.812 4.309 0.26282 Acceptable Acceptable
allpdb0336_4_199w.pdb 0.149 6.541 3.488 0.31103 Acceptable Acceptable
allpdb0336_4_191w.pdb 0.005 16.340 7.278 0.08634 Incorrect Incorrect
allpdb0336_4_32w.pdb 0.090 9.978 5.053 0.19732 Incorrect Incorrect
allpdb0336_4_127w.pdb 0.160 6.810 3.811 0.30094 Acceptable Acceptable
allpdb0336_4_120w.pdb 0.000 39.358 15.922 0.01779 Incorrect Incorrect
allpdb0336_4_77w.pdb 0.005 29.242 13.516 0.03180 Incorrect Incorrect
allpdb0336_4_43w.pdb 0.032 26.565 17.224 0.04410 Incorrect Incorrect
allpdb0336_4_145w.pdb 0.021 19.966 11.018 0.06430 Incorrect Incorrect
allpdb0336_4_80w.pdb 0.176 8.769 5.008 0.24743 Acceptable Acceptable
allpdb0336_4_142w.pdb 0.059 25.244 13.115 0.05775 Incorrect Incorrect
allpdb0336_4_5w.pdb 0.032 31.311 13.724 0.03745 Incorrect Incorrect
allpdb0336_4_22w.pdb 0.005 26.789 13.760 0.03618 Incorrect Incorrect
allpdb0336_4_50w.pdb 0.176 7.439 4.016 0.28806 Acceptable Acceptable
allpdb0336_4_46w.pdb 0.000 39.526 15.641 0.01777 Incorrect Incorrect
allpdb0336_4_63w.pdb 0.016 44.228 15.839 0.02016 Incorrect Incorrect
allpdb0336_4_76w.pdb 0.090 12.875 5.033 0.15852 Incorrect Incorrect
allpdb0336_4_84w.pdb 0.138 10.619 5.114 0.20269 Incorrect Incorrect
allpdb0336_4_3w.pdb 0.011 38.601 16.625 0.02165 Incorrect Incorrect
allpdb0336_4_124w.pdb 0.059 24.971 12.862 0.05859 Incorrect Incorrect
allpdb0336_4_52w.pdb 0.005 35.062 15.119 0.02352 Incorrect Incorrect
allpdb0336_4_193w.pdb 0.181 7.016 3.263 0.31671 Acceptable Acceptable
allpdb0336_4_150w.pdb 0.059 25.754 13.406 0.05637 Incorrect Incorrect
allpdb0336_4_108w.pdb 0.000 51.236 20.256 0.01075 Incorrect Incorrect
allpdb0336_4_6w.pdb 0.059 29.974 14.469 0.04786 Incorrect Incorrect
allpdb0336_4_97w.pdb 0.223 6.829 3.723 0.32360 Acceptable Acceptable
allpdb0336_4_93w.pdb 0.021 16.102 7.598 0.09224 Incorrect Incorrect
allpdb0336_4_183w.pdb 0.059 25.143 13.103 0.05801 Incorrect Incorrect
