#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb1128_8_3w.pdb 0.831 2.127 0.802 0.85009 High High
allpdb1128_8_18w.pdb 0.807 2.408 0.944 0.81639 High High
allpdb1128_8_12w.pdb 0.434 7.790 2.419 0.41832 Acceptable Acceptable
allpdb1128_8_107w.pdb 0.506 6.161 1.766 0.52686 Medium Medium
allpdb1128_8_6w.pdb 0.699 5.417 1.437 0.64384 Medium Medium
allpdb1128_8_8w.pdb 0.843 1.300 0.651 0.88736 High High
allpdb1128_8_37w.pdb 0.337 7.083 2.300 0.40866 Acceptable Acceptable
allpdb1128_8_1w.pdb 0.675 4.957 1.363 0.65616 Medium Medium
allpdb1128_8_20w.pdb 0.711 3.363 1.178 0.73139 Medium Medium
allpdb1128_8_27w.pdb 0.807 1.807 0.656 0.86785 High High
allpdb1128_8_15w.pdb 0.000 29.679 16.252 0.02808 Incorrect Incorrect
allpdb1128_8_109w.pdb 0.795 2.568 0.769 0.83439 High High
allpdb1128_8_26w.pdb 0.687 3.801 1.324 0.69401 Medium Medium
allpdb1128_8_172w.pdb 0.386 7.426 2.102 0.43003 Acceptable Acceptable
allpdb1128_8_74w.pdb 0.482 6.108 1.675 0.52883 Medium Medium
allpdb1128_8_189w.pdb 0.458 5.051 1.644 0.55043 Medium Medium
allpdb1128_8_124w.pdb 0.410 6.100 2.357 0.45266 Acceptable Acceptable
allpdb1128_8_143w.pdb 0.482 6.462 1.878 0.50172 Medium Medium
allpdb1128_8_185w.pdb 0.253 8.856 2.760 0.32018 Acceptable Acceptable
allpdb1128_8_13w.pdb 0.410 7.196 2.214 0.43559 Acceptable Acceptable
allpdb1128_8_135w.pdb 0.313 6.789 2.311 0.40675 Acceptable Acceptable
allpdb1128_8_99w.pdb 0.639 4.198 1.230 0.68012 Medium Medium
allpdb1128_8_167w.pdb 0.663 2.319 1.008 0.76071 Medium Medium
allpdb1128_8_127w.pdb 0.530 4.818 1.429 0.60375 Medium Medium
allpdb1128_8_28w.pdb 0.482 4.665 1.603 0.57247 Medium Medium
allpdb1128_8_116w.pdb 0.494 4.986 1.601 0.56850 Medium Medium
allpdb1128_8_92w.pdb 0.602 3.768 1.293 0.67059 Medium Medium
allpdb1128_8_17w.pdb 0.470 4.459 1.570 0.57714 Medium Medium
