#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0153_10_13w.pdb 0.555 2.527 1.584 0.64880 Medium Medium
allpdb0153_10_11w.pdb 0.613 2.854 1.700 0.64989 Medium Medium
allpdb0153_10_24w.pdb 0.584 2.678 1.683 0.64550 Medium Medium
allpdb0153_10_17w.pdb 0.569 2.679 1.578 0.65126 Medium Medium
allpdb0153_10_54w.pdb 0.518 3.859 2.442 0.54043 Medium Medium
allpdb0153_10_5w.pdb 0.584 3.019 1.947 0.61480 Medium Medium
allpdb0153_10_58w.pdb 0.511 3.088 1.917 0.59136 Medium Medium
allpdb0153_10_94w.pdb 0.416 3.355 2.078 0.54130 Medium Medium
allpdb0153_10_67w.pdb 0.533 3.274 1.908 0.59524 Medium Medium
allpdb0153_10_56w.pdb 0.504 3.325 2.123 0.56799 Medium Medium
allpdb0153_10_25w.pdb 0.540 2.943 1.663 0.62721 Medium Medium
allpdb0153_10_68w.pdb 0.482 3.697 2.218 0.54548 Medium Medium
allpdb0153_10_76w.pdb 0.489 3.395 2.154 0.55934 Medium Medium
allpdb0153_10_4w.pdb 0.533 3.369 2.230 0.56950 Medium Medium
allpdb0153_10_97w.pdb 0.511 3.528 1.883 0.58410 Medium Medium
allpdb0153_10_10w.pdb 0.511 3.160 1.898 0.59133 Medium Medium
allpdb0153_10_12w.pdb 0.460 3.308 2.020 0.56125 Medium Medium
allpdb0153_10_92w.pdb 0.547 3.125 1.912 0.60308 Medium Medium
allpdb0153_10_16w.pdb 0.482 3.236 2.022 0.57009 Medium Medium
allpdb0153_10_9w.pdb 0.482 3.578 2.201 0.54948 Medium Medium
allpdb0153_10_1w.pdb 0.482 5.225 3.144 0.46432 Acceptable Acceptable
allpdb0153_10_50w.pdb 0.496 2.788 1.694 0.61292 Medium Medium
allpdb0153_10_52w.pdb 0.474 2.844 1.861 0.58923 Medium Medium
allpdb0153_10_38w.pdb 0.496 2.507 1.701 0.61796 Medium Medium
allpdb0153_10_62w.pdb 0.423 4.250 2.451 0.49864 Medium Medium
allpdb0153_10_93w.pdb 0.423 3.975 2.369 0.51003 Medium Medium
allpdb0153_10_71w.pdb 0.489 4.214 2.414 0.52343 Medium Medium
allpdb0153_10_60w.pdb 0.401 3.539 2.225 0.52207 Medium Medium
allpdb0153_10_98w.pdb 0.474 3.151 1.882 0.58071 Medium Medium
allpdb0153_10_27w.pdb 0.526 3.565 2.081 0.57261 Medium Medium
allpdb0153_10_87w.pdb 0.453 4.532 2.667 0.49050 Medium Medium
allpdb0153_10_141w.pdb 0.453 4.853 2.592 0.48583 Medium Acceptable
allpdb0153_10_83w.pdb 0.387 3.175 1.928 0.54714 Medium Medium
allpdb0153_10_40w.pdb 0.482 3.799 2.285 0.53883 Medium Medium
allpdb0153_10_99w.pdb 0.394 3.891 2.320 0.50527 Medium Medium
allpdb0153_10_41w.pdb 0.496 5.637 3.268 0.45497 Acceptable Acceptable
allpdb0153_10_72w.pdb 0.526 3.287 1.807 0.60117 Medium Medium
allpdb0153_10_91w.pdb 0.540 2.514 1.423 0.66203 Medium Medium
allpdb0153_10_51w.pdb 0.453 3.801 2.179 0.53580 Medium Medium
allpdb0153_10_34w.pdb 0.358 4.100 2.477 0.47909 Medium Acceptable
allpdb0153_10_53w.pdb 0.387 4.149 2.415 0.49097 Medium Medium
allpdb0153_10_142w.pdb 0.358 3.880 2.334 0.49252 Medium Medium
allpdb0153_10_65w.pdb 0.423 4.014 2.433 0.50549 Medium Medium
allpdb0153_10_47w.pdb 0.394 4.760 2.796 0.45964 Medium Acceptable
allpdb0153_10_179w.pdb 0.387 4.926 2.790 0.45322 Medium Acceptable
allpdb0153_10_29w.pdb 0.423 5.265 3.158 0.44338 Acceptable Acceptable
allpdb0153_10_163w.pdb 0.467 4.867 2.644 0.48793 Medium Acceptable
allpdb0153_10_181w.pdb 0.416 3.914 2.268 0.51511 Medium Medium
allpdb0153_10_59w.pdb 0.401 3.543 2.237 0.52120 Medium Medium
allpdb0153_10_69w.pdb 0.482 3.363 1.984 0.57002 Medium Medium
allpdb0153_10_7w.pdb 0.438 3.580 2.332 0.52666 Medium Medium
allpdb0153_10_39w.pdb 0.489 3.291 1.911 0.57993 Medium Medium
allpdb0153_10_32w.pdb 0.336 4.302 2.523 0.46436 Medium Acceptable
allpdb0153_10_6w.pdb 0.431 4.576 2.845 0.47449 Medium Acceptable
allpdb0153_10_82w.pdb 0.423 4.693 2.706 0.47491 Medium Acceptable
allpdb0153_10_70w.pdb 0.431 3.334 1.921 0.55872 Medium Medium
allpdb0153_10_22w.pdb 0.401 3.347 1.911 0.54950 Medium Medium
allpdb0153_10_121w.pdb 0.416 3.735 1.990 0.53888 Medium Medium
allpdb0153_10_37w.pdb 0.401 4.785 2.680 0.46644 Medium Acceptable
allpdb0153_10_49w.pdb 0.401 5.279 3.059 0.43898 Acceptable Acceptable
allpdb0153_10_115w.pdb 0.467 4.266 2.473 0.51165 Medium Medium
allpdb0153_10_20w.pdb 0.401 3.522 2.146 0.52772 Medium Medium
allpdb0153_10_164w.pdb 0.358 5.596 3.053 0.41659 Acceptable Acceptable
allpdb0153_10_14w.pdb 0.409 3.095 1.825 0.56495 Medium Medium
allpdb0153_10_45w.pdb 0.423 3.226 2.126 0.54329 Medium Medium
allpdb0153_10_95w.pdb 0.380 4.040 2.238 0.50174 Medium Medium
allpdb0153_10_146w.pdb 0.350 6.282 3.387 0.38702 Acceptable Acceptable
allpdb0153_10_107w.pdb 0.358 5.320 2.946 0.42738 Acceptable Acceptable
allpdb0153_10_120w.pdb 0.474 4.278 2.380 0.51889 Medium Medium
allpdb0153_10_80w.pdb 0.387 3.708 2.093 0.52212 Medium Medium
allpdb0153_10_196w.pdb 0.358 4.668 2.670 0.45528 Medium Acceptable
allpdb0153_10_46w.pdb 0.409 4.228 2.491 0.49218 Medium Medium
allpdb0153_10_156w.pdb 0.358 5.053 2.663 0.44578 Acceptable Acceptable
allpdb0153_10_18w.pdb 0.401 2.976 2.022 0.54911 Medium Medium
allpdb0153_10_102w.pdb 0.401 4.099 2.521 0.49142 Medium Medium
allpdb0153_10_101w.pdb 0.394 4.258 2.425 0.49008 Medium Medium
allpdb0153_10_64w.pdb 0.380 4.206 2.434 0.48603 Medium Acceptable
allpdb0153_10_187w.pdb 0.343 4.716 2.820 0.44275 Medium Acceptable
allpdb0153_10_21w.pdb 0.401 2.883 1.947 0.55689 Medium Medium
