#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0211_4_108w.pdb 0.639 2.931 1.170 0.71809 Medium Medium
allpdb0211_4_6w.pdb 0.647 1.984 0.959 0.76838 High Medium
allpdb0211_4_191w.pdb 0.714 1.890 1.014 0.78446 Medium Medium
allpdb0211_4_23w.pdb 0.118 21.962 10.546 0.08925 Incorrect Incorrect
allpdb0211_4_152w.pdb 0.597 2.655 1.372 0.68411 Medium Medium
allpdb0211_4_156w.pdb 0.647 2.498 1.192 0.72688 Medium Medium
allpdb0211_4_34w.pdb 0.059 17.461 10.723 0.08986 Incorrect Incorrect
allpdb0211_4_97w.pdb 0.588 3.631 1.186 0.68312 Medium Medium
allpdb0211_4_16w.pdb 0.429 3.181 1.745 0.57691 Medium Medium
allpdb0211_4_44w.pdb 0.050 18.431 11.142 0.08120 Incorrect Incorrect
allpdb0211_4_127w.pdb 0.000 36.043 22.242 0.01907 Incorrect Incorrect
allpdb0211_4_31w.pdb 0.017 19.407 11.953 0.06442 Incorrect Incorrect
allpdb0211_4_151w.pdb 0.546 2.927 1.146 0.69061 Medium Medium
allpdb0211_4_3w.pdb 0.067 21.545 10.111 0.07448 Incorrect Incorrect
allpdb0211_4_168w.pdb 0.437 4.687 2.015 0.52014 Medium Medium
allpdb0211_4_177w.pdb 0.395 3.887 2.212 0.51236 Medium Medium
allpdb0211_4_46w.pdb 0.025 18.629 11.277 0.07164 Incorrect Incorrect
allpdb0211_4_94w.pdb 0.143 12.602 6.403 0.16919 Incorrect Incorrect
allpdb0211_4_84w.pdb 0.000 66.983 33.141 0.00596 Incorrect Incorrect
allpdb0211_4_36w.pdb 0.076 18.659 11.148 0.08843 Incorrect Incorrect
allpdb0211_4_194w.pdb 0.218 15.681 4.924 0.17684 Incorrect Incorrect
allpdb0211_4_13w.pdb 0.084 21.726 10.304 0.07918 Incorrect Incorrect
allpdb0211_4_130w.pdb 0.395 5.998 2.171 0.46192 Acceptable Acceptable
allpdb0211_4_158w.pdb 0.134 15.585 7.202 0.13510 Incorrect Incorrect
allpdb0211_4_5w.pdb 0.109 19.236 9.337 0.09925 Incorrect Incorrect
allpdb0211_4_117w.pdb 0.000 33.027 19.733 0.02262 Incorrect Incorrect
allpdb0211_4_29w.pdb 0.000 34.823 17.820 0.02109 Incorrect Incorrect
allpdb0211_4_41w.pdb 0.025 17.676 10.715 0.07741 Incorrect Incorrect
allpdb0211_4_28w.pdb 0.000 66.604 34.978 0.00595 Incorrect Incorrect
