#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0367_6_134w.pdb 0.861 0.954 0.693 0.89102 High High
allpdb0367_6_39w.pdb 0.765 1.094 0.803 0.84199 High High
allpdb0367_6_68w.pdb 0.753 1.923 1.101 0.78472 Medium Medium
allpdb0367_6_123w.pdb 0.789 1.419 0.983 0.82055 High High
allpdb0367_6_89w.pdb 0.795 1.492 0.994 0.81998 High High
allpdb0367_6_135w.pdb 0.705 1.729 1.399 0.73332 Medium Medium
allpdb0367_6_55w.pdb 0.705 2.127 1.148 0.75891 Medium Medium
allpdb0367_6_162w.pdb 0.753 1.213 1.018 0.80585 Medium High
allpdb0367_6_94w.pdb 0.795 1.645 1.209 0.78837 Medium Medium
allpdb0367_6_28w.pdb 0.747 1.873 1.163 0.77508 Medium Medium
allpdb0367_6_196w.pdb 0.747 1.168 0.860 0.82703 High High
allpdb0367_6_154w.pdb 0.693 1.701 1.133 0.76366 Medium Medium
allpdb0367_6_175w.pdb 0.669 2.227 1.393 0.71379 Medium Medium
allpdb0367_6_156w.pdb 0.675 2.224 1.605 0.69225 Medium Medium
allpdb0367_6_87w.pdb 0.705 1.567 0.876 0.80582 High High
allpdb0367_6_9w.pdb 0.627 2.154 1.425 0.69729 Medium Medium
allpdb0367_6_167w.pdb 0.693 2.314 1.551 0.70239 Medium Medium
allpdb0367_6_184w.pdb 0.669 2.302 1.480 0.70235 Medium Medium
allpdb0367_6_191w.pdb 0.675 2.011 1.145 0.75117 Medium Medium
allpdb0367_6_152w.pdb 0.711 1.695 1.005 0.78766 Medium Medium
allpdb0367_6_107w.pdb 0.687 3.080 1.725 0.66712 Medium Medium
allpdb0367_6_90w.pdb 0.687 1.900 1.110 0.76182 Medium Medium
allpdb0367_6_131w.pdb 0.645 1.262 1.178 0.74720 Medium Medium
allpdb0367_6_139w.pdb 0.669 1.871 1.033 0.76697 Medium Medium
allpdb0367_6_119w.pdb 0.711 1.904 1.122 0.76804 Medium Medium
