#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb1728_10_120w.pdb 0.681 6.499 1.218 0.63823 Medium Medium
allpdb1728_10_65w.pdb 0.617 5.998 1.275 0.62168 Medium Medium
allpdb1728_10_190w.pdb 0.638 6.008 1.290 0.62671 Medium Medium
allpdb1728_10_95w.pdb 0.638 5.724 1.219 0.64286 Medium Medium
allpdb1728_10_172w.pdb 0.617 6.209 1.340 0.60838 Medium Medium
allpdb1728_10_75w.pdb 0.617 6.113 1.429 0.60007 Medium Medium
allpdb1728_10_188w.pdb 0.702 5.679 1.116 0.67905 Medium Medium
allpdb1728_10_83w.pdb 0.638 5.627 1.386 0.62439 Medium Medium
allpdb1728_10_18w.pdb 0.660 6.251 1.425 0.61142 Medium Medium
allpdb1728_10_41w.pdb 0.638 6.453 1.334 0.61033 Medium Medium
allpdb1728_10_42w.pdb 0.681 6.083 1.319 0.63534 Medium Medium
allpdb1728_10_141w.pdb 0.638 5.778 1.398 0.61914 Medium Medium
allpdb1728_10_84w.pdb 0.617 6.174 1.582 0.58164 Medium Medium
allpdb1728_10_36w.pdb 0.638 6.854 1.297 0.60554 Medium Medium
allpdb1728_10_114w.pdb 0.702 6.685 1.364 0.62244 Medium Medium
allpdb1728_10_34w.pdb 0.702 6.620 1.345 0.62625 Medium Medium
allpdb1728_10_159w.pdb 0.660 6.214 1.424 0.61246 Medium Medium
allpdb1728_10_191w.pdb 0.617 6.976 1.447 0.57748 Medium Medium
allpdb1728_10_117w.pdb 0.681 5.541 1.347 0.64538 Medium Medium
allpdb1728_10_143w.pdb 0.660 6.118 1.450 0.61171 Medium Medium
allpdb1728_10_156w.pdb 0.596 6.004 1.314 0.60951 Medium Medium
allpdb1728_10_177w.pdb 0.681 6.360 1.399 0.61892 Medium Medium
allpdb1728_10_64w.pdb 0.702 5.752 1.224 0.66275 Medium Medium
allpdb1728_10_76w.pdb 0.681 5.348 1.320 0.65361 Medium Medium
allpdb1728_10_39w.pdb 0.638 6.270 1.367 0.61071 Medium Medium
allpdb1728_10_173w.pdb 0.638 6.185 1.438 0.60439 Medium Medium
allpdb1728_10_161w.pdb 0.660 4.647 1.304 0.66630 Medium Medium
allpdb1728_10_81w.pdb 0.681 4.662 1.222 0.68361 Medium Medium
allpdb1728_10_43w.pdb 0.638 5.615 1.315 0.63338 Medium Medium
allpdb1728_10_150w.pdb 0.660 5.822 1.385 0.62671 Medium Medium
allpdb1728_10_155w.pdb 0.617 5.492 1.284 0.63323 Medium Medium
allpdb1728_10_28w.pdb 0.617 5.832 1.455 0.60411 Medium Medium
allpdb1728_10_187w.pdb 0.617 4.396 1.137 0.68036 Medium Medium
allpdb1728_10_110w.pdb 0.596 6.279 1.408 0.59143 Medium Medium
allpdb1728_10_12w.pdb 0.638 5.973 1.386 0.61571 Medium Medium
