#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0550_9_2w.pdb 0.587 3.229 1.476 0.65631 Medium Medium
allpdb0550_9_4w.pdb 0.624 2.631 1.287 0.70413 Medium Medium
allpdb0550_9_119w.pdb 0.560 3.030 1.560 0.64247 Medium Medium
allpdb0550_9_63w.pdb 0.523 3.846 1.824 0.58549 Medium Medium
allpdb0550_9_140w.pdb 0.495 3.658 1.894 0.57485 Medium Medium
allpdb0550_9_138w.pdb 0.541 4.061 1.819 0.58670 Medium Medium
allpdb0550_9_134w.pdb 0.560 3.454 1.749 0.61391 Medium Medium
allpdb0550_9_45w.pdb 0.477 3.601 1.805 0.57782 Medium Medium
allpdb0550_9_27w.pdb 0.468 3.956 1.966 0.55261 Medium Medium
allpdb0550_9_1w.pdb 0.633 3.029 1.461 0.67783 Medium Medium
allpdb0550_9_167w.pdb 0.523 3.488 1.662 0.60924 Medium Medium
allpdb0550_9_137w.pdb 0.578 3.494 1.631 0.63054 Medium Medium
allpdb0550_9_97w.pdb 0.450 3.964 1.920 0.54996 Medium Medium
allpdb0550_9_174w.pdb 0.541 3.634 1.602 0.61794 Medium Medium
allpdb0550_9_69w.pdb 0.450 5.536 2.582 0.46802 Acceptable Acceptable
allpdb0550_9_136w.pdb 0.560 3.653 1.676 0.61613 Medium Medium
allpdb0550_9_90w.pdb 0.459 4.315 1.954 0.54152 Medium Medium
allpdb0550_9_77w.pdb 0.450 3.583 1.852 0.56489 Medium Medium
allpdb0550_9_171w.pdb 0.495 3.872 1.834 0.57478 Medium Medium
allpdb0550_9_48w.pdb 0.459 4.078 1.904 0.55156 Medium Medium
allpdb0550_9_39w.pdb 0.422 4.890 2.207 0.49644 Medium Medium
allpdb0550_9_58w.pdb 0.477 3.447 1.756 0.58591 Medium Medium
allpdb0550_9_8w.pdb 0.431 4.149 2.139 0.52280 Medium Medium
allpdb0550_9_53w.pdb 0.505 3.492 1.700 0.59928 Medium Medium
allpdb0550_9_21w.pdb 0.477 4.182 2.017 0.54611 Medium Medium
allpdb0550_9_172w.pdb 0.486 3.451 1.713 0.59295 Medium Medium
allpdb0550_9_23w.pdb 0.477 3.498 1.762 0.58412 Medium Medium
allpdb0550_9_107w.pdb 0.477 3.807 1.862 0.56785 Medium Medium
allpdb0550_9_20w.pdb 0.523 3.460 1.689 0.60720 Medium Medium
allpdb0550_9_177w.pdb 0.560 3.147 1.561 0.63969 Medium Medium
allpdb0550_9_57w.pdb 0.514 3.436 1.667 0.60689 Medium Medium
allpdb0550_9_142w.pdb 0.477 3.542 1.786 0.58092 Medium Medium
allpdb0550_9_87w.pdb 0.532 3.356 1.682 0.61341 Medium Medium
allpdb0550_9_164w.pdb 0.422 4.364 2.174 0.51196 Medium Medium
allpdb0550_9_50w.pdb 0.550 3.457 1.728 0.61276 Medium Medium
allpdb0550_9_56w.pdb 0.468 3.750 1.837 0.56833 Medium Medium
allpdb0550_9_83w.pdb 0.440 4.045 1.984 0.53985 Medium Medium
allpdb0550_9_79w.pdb 0.468 3.629 1.725 0.58145 Medium Medium
allpdb0550_9_60w.pdb 0.459 3.713 1.939 0.55760 Medium Medium
allpdb0550_9_105w.pdb 0.514 3.284 1.647 0.61238 Medium Medium
allpdb0550_9_110w.pdb 0.495 3.617 1.752 0.58836 Medium Medium
allpdb0550_9_47w.pdb 0.459 3.780 1.903 0.55896 Medium Medium
allpdb0550_9_102w.pdb 0.495 3.485 1.752 0.59146 Medium Medium
allpdb0550_9_70w.pdb 0.495 3.971 1.788 0.57641 Medium Medium
allpdb0550_9_14w.pdb 0.477 3.740 1.835 0.57181 Medium Medium
allpdb0550_9_146w.pdb 0.459 4.090 1.858 0.55513 Medium Medium
allpdb0550_9_19w.pdb 0.587 3.050 1.592 0.64775 Medium Medium
allpdb0550_9_135w.pdb 0.486 3.724 1.775 0.58064 Medium Medium
allpdb0550_9_149w.pdb 0.459 3.811 1.943 0.55492 Medium Medium
allpdb0550_9_49w.pdb 0.468 3.375 1.734 0.58659 Medium Medium
allpdb0550_9_165w.pdb 0.523 3.797 1.701 0.59799 Medium Medium
allpdb0550_9_132w.pdb 0.477 3.868 1.859 0.56663 Medium Medium
allpdb0550_9_173w.pdb 0.541 3.081 1.613 0.62961 Medium Medium
allpdb0550_9_89w.pdb 0.495 3.289 1.655 0.60536 Medium Medium
allpdb0550_9_175w.pdb 0.578 2.846 1.482 0.66105 Medium Medium
allpdb0550_9_68w.pdb 0.541 3.265 1.580 0.62887 Medium Medium
allpdb0550_9_62w.pdb 0.440 4.416 2.203 0.51484 Medium Medium
allpdb0550_9_31w.pdb 0.440 4.215 2.103 0.52676 Medium Medium
allpdb0550_9_133w.pdb 0.477 3.496 1.757 0.58462 Medium Medium
allpdb0550_9_42w.pdb 0.477 3.901 1.931 0.55980 Medium Medium
allpdb0550_9_40w.pdb 0.495 3.590 1.726 0.59141 Medium Medium
allpdb0550_9_15w.pdb 0.569 3.134 1.618 0.63709 Medium Medium
allpdb0550_9_113w.pdb 0.431 3.862 1.831 0.55389 Medium Medium
allpdb0550_9_95w.pdb 0.468 3.813 1.839 0.56660 Medium Medium
