#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb2088_10_198w.pdb 0.836 1.988 1.164 0.80255 Medium High
allpdb2088_10_22w.pdb 0.842 1.006 0.786 0.87100 High High
allpdb2088_10_136w.pdb 0.816 1.753 0.869 0.84118 High High
allpdb2088_10_101w.pdb 0.842 1.680 0.914 0.84459 High High
allpdb2088_10_86w.pdb 0.822 2.453 1.032 0.80808 Medium High
allpdb2088_10_16w.pdb 0.776 2.340 0.977 0.80270 High High
allpdb2088_10_111w.pdb 0.789 1.624 1.047 0.80895 Medium High
allpdb2088_10_7w.pdb 0.829 1.239 1.016 0.83116 Medium High
allpdb2088_10_3w.pdb 0.822 1.537 0.750 0.86355 High High
allpdb2088_10_175w.pdb 0.809 1.243 0.886 0.84325 High High
allpdb2088_10_85w.pdb 0.842 1.517 0.716 0.87516 High High
allpdb2088_10_138w.pdb 0.809 2.677 1.155 0.78231 Medium Medium
allpdb2088_10_167w.pdb 0.816 1.777 0.811 0.84918 High High
allpdb2088_10_19w.pdb 0.783 1.491 0.917 0.82702 High High
allpdb2088_10_52w.pdb 0.862 1.022 0.663 0.89466 High High
allpdb2088_10_102w.pdb 0.842 1.260 0.758 0.87243 High High
allpdb2088_10_28w.pdb 0.809 2.961 0.982 0.80027 High High
allpdb2088_10_128w.pdb 0.836 1.658 0.795 0.85979 High High
allpdb2088_10_159w.pdb 0.816 0.945 0.745 0.86862 High High
allpdb2088_10_27w.pdb 0.829 0.943 0.729 0.87524 High High
allpdb2088_10_10w.pdb 0.816 1.930 0.806 0.84763 High High
allpdb2088_10_157w.pdb 0.822 1.507 0.772 0.86088 High High
allpdb2088_10_60w.pdb 0.770 1.906 0.968 0.80928 High High
allpdb2088_10_98w.pdb 0.803 1.280 0.773 0.85689 High High
allpdb2088_10_116w.pdb 0.822 1.342 0.807 0.85779 High High
allpdb2088_10_126w.pdb 0.789 1.810 0.909 0.82577 High High
allpdb2088_10_73w.pdb 0.796 1.621 0.809 0.84514 High High
allpdb2088_10_17w.pdb 0.789 1.716 0.856 0.83488 High High
allpdb2088_10_135w.pdb 0.836 0.964 0.778 0.87034 High High
allpdb2088_10_168w.pdb 0.789 1.941 1.077 0.79988 Medium Medium
allpdb2088_10_117w.pdb 0.829 1.098 0.782 0.86633 High High
allpdb2088_10_164w.pdb 0.789 1.680 0.892 0.83023 High High
allpdb2088_10_184w.pdb 0.803 1.313 0.772 0.85668 High High
allpdb2088_10_42w.pdb 0.809 2.105 0.836 0.83812 High High
allpdb2088_10_84w.pdb 0.842 1.248 0.713 0.87897 High High
allpdb2088_10_142w.pdb 0.803 1.986 0.873 0.83266 High High
allpdb2088_10_185w.pdb 0.763 1.493 0.697 0.85193 High High
allpdb2088_10_67w.pdb 0.822 1.275 0.727 0.87004 High High
allpdb2088_10_87w.pdb 0.822 1.167 0.719 0.87231 High High
allpdb2088_10_176w.pdb 0.809 1.503 0.792 0.85365 High High
allpdb2088_10_158w.pdb 0.809 1.632 0.831 0.84623 High High
allpdb2088_10_139w.pdb 0.789 0.949 0.720 0.86332 High High
allpdb2088_10_199w.pdb 0.829 1.398 0.685 0.87666 High High
allpdb2088_10_172w.pdb 0.816 1.534 0.825 0.85069 High High
allpdb2088_10_81w.pdb 0.809 1.568 0.783 0.85399 High High
allpdb2088_10_21w.pdb 0.783 1.769 0.821 0.83701 High High
