#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb2088_10_187w.pdb 0.770 2.678 1.067 0.78110 Medium Medium
allpdb2088_10_168w.pdb 0.809 1.870 0.836 0.84208 High High
allpdb2088_10_34w.pdb 0.836 1.399 0.748 0.86994 High High
allpdb2088_10_194w.pdb 0.822 1.407 0.845 0.85154 High High
allpdb2088_10_19w.pdb 0.789 1.698 0.772 0.84718 High High
allpdb2088_10_197w.pdb 0.776 1.864 0.845 0.82985 High High
allpdb2088_10_54w.pdb 0.750 1.814 0.967 0.80435 High High
allpdb2088_10_167w.pdb 0.763 1.367 0.982 0.81265 High High
allpdb2088_10_126w.pdb 0.809 1.102 0.709 0.86998 High High
allpdb2088_10_63w.pdb 0.789 1.065 0.692 0.86624 High High
allpdb2088_10_199w.pdb 0.803 1.100 0.729 0.86506 High High
allpdb2088_10_122w.pdb 0.724 1.945 1.009 0.78741 Medium Medium
allpdb2088_10_93w.pdb 0.776 1.637 0.812 0.83792 High High
allpdb2088_10_129w.pdb 0.724 1.660 0.882 0.81001 High High
allpdb2088_10_136w.pdb 0.816 1.223 0.757 0.86422 High High
allpdb2088_10_44w.pdb 0.770 1.462 0.735 0.84915 High High
allpdb2088_10_121w.pdb 0.750 1.374 0.830 0.83001 High High
allpdb2088_10_123w.pdb 0.783 0.730 0.643 0.87338 High High
allpdb2088_10_177w.pdb 0.737 2.440 1.038 0.77896 Medium Medium
allpdb2088_10_41w.pdb 0.730 1.174 0.741 0.83845 High High
allpdb2088_10_134w.pdb 0.730 2.692 0.971 0.78122 High Medium
allpdb2088_10_118w.pdb 0.750 2.000 0.729 0.83543 High High
allpdb2088_10_18w.pdb 0.711 2.114 0.923 0.79257 High Medium
allpdb2088_10_55w.pdb 0.796 1.404 0.659 0.86930 High High
allpdb2088_10_69w.pdb 0.796 1.392 0.733 0.85911 High High
allpdb2088_10_21w.pdb 0.750 1.061 0.636 0.86078 High High
allpdb2088_10_72w.pdb 0.750 1.444 0.797 0.83400 High High
allpdb2088_10_198w.pdb 0.763 1.470 0.837 0.83222 High High
allpdb2088_10_51w.pdb 0.730 2.235 0.974 0.78963 High Medium
allpdb2088_10_92w.pdb 0.776 1.862 0.850 0.82920 High High
allpdb2088_10_190w.pdb 0.711 2.063 1.027 0.77858 Medium Medium
allpdb2088_10_17w.pdb 0.750 1.769 0.761 0.83458 High High
allpdb2088_10_1w.pdb 0.704 1.564 0.791 0.81785 High High
allpdb2088_10_174w.pdb 0.737 1.462 0.807 0.82781 High High
allpdb2088_10_183w.pdb 0.737 1.838 0.857 0.81543 High High
allpdb2088_10_128w.pdb 0.743 1.742 0.750 0.83434 High High
allpdb2088_10_171w.pdb 0.717 2.003 0.955 0.79195 High Medium
allpdb2088_10_182w.pdb 0.704 2.346 0.908 0.78830 High Medium
allpdb2088_10_157w.pdb 0.737 1.809 0.926 0.80581 High High
allpdb2088_10_133w.pdb 0.763 1.034 0.692 0.85774 High High
allpdb2088_10_70w.pdb 0.730 1.553 0.714 0.83772 High High
allpdb2088_10_111w.pdb 0.783 1.667 0.756 0.84771 High High
allpdb2088_10_26w.pdb 0.737 1.886 0.875 0.81198 High High
allpdb2088_10_114w.pdb 0.691 2.629 1.057 0.75726 Medium Medium
allpdb2088_10_38w.pdb 0.750 1.322 0.715 0.84701 High High
allpdb2088_10_196w.pdb 0.664 1.836 0.914 0.78305 High Medium
allpdb2088_10_175w.pdb 0.678 2.348 0.945 0.77419 High Medium
allpdb2088_10_103w.pdb 0.730 2.187 1.040 0.78114 Medium Medium
allpdb2088_10_166w.pdb 0.612 3.266 1.451 0.66658 Medium Medium
allpdb2088_10_159w.pdb 0.724 2.267 0.899 0.79767 High Medium
allpdb2088_10_73w.pdb 0.730 1.921 0.905 0.80493 High High
allpdb2088_10_23w.pdb 0.737 1.516 0.749 0.83549 High High
allpdb2088_10_16w.pdb 0.678 1.592 0.949 0.78602 High Medium
allpdb2088_10_179w.pdb 0.724 1.481 0.784 0.82653 High High
allpdb2088_10_143w.pdb 0.743 2.996 1.016 0.77281 Medium Medium
allpdb2088_10_22w.pdb 0.684 3.047 1.124 0.73690 Medium Medium
allpdb2088_10_108w.pdb 0.763 1.412 0.782 0.84084 High High
allpdb2088_10_79w.pdb 0.757 1.728 0.777 0.83506 High High
allpdb2088_10_61w.pdb 0.684 1.966 1.062 0.76652 Medium Medium
allpdb2088_10_152w.pdb 0.678 2.024 0.941 0.78052 High Medium
allpdb2088_10_36w.pdb 0.664 2.294 1.145 0.74275 Medium Medium
allpdb2088_10_42w.pdb 0.618 1.992 1.262 0.71727 Medium Medium
allpdb2088_10_184w.pdb 0.697 2.331 1.236 0.74095 Medium Medium
allpdb2088_10_192w.pdb 0.658 2.918 1.140 0.72877 Medium Medium
allpdb2088_10_170w.pdb 0.737 1.717 0.780 0.82821 High High
allpdb2088_10_147w.pdb 0.717 1.713 0.845 0.81246 High High
allpdb2088_10_101w.pdb 0.711 2.062 0.956 0.78867 High Medium
allpdb2088_10_39w.pdb 0.730 1.554 0.861 0.81675 High High
allpdb2088_10_77w.pdb 0.645 2.228 1.079 0.74652 Medium Medium
allpdb2088_10_141w.pdb 0.711 1.751 0.945 0.79530 High Medium
allpdb2088_10_97w.pdb 0.730 1.820 0.951 0.79993 High Medium
allpdb2088_10_29w.pdb 0.638 2.649 1.033 0.74263 Medium Medium
allpdb2088_10_10w.pdb 0.704 1.506 0.748 0.82478 High High
allpdb2088_10_24w.pdb 0.638 2.170 1.065 0.74723 Medium Medium
allpdb2088_10_35w.pdb 0.743 1.542 0.736 0.83922 High High
allpdb2088_10_119w.pdb 0.664 2.479 1.233 0.72760 Medium Medium
allpdb2088_10_135w.pdb 0.704 1.576 0.779 0.81944 High High
allpdb2088_10_106w.pdb 0.684 3.238 1.155 0.72837 Medium Medium
allpdb2088_10_99w.pdb 0.671 3.795 1.503 0.66793 Medium Medium
allpdb2088_10_83w.pdb 0.697 1.960 0.952 0.78661 High Medium
allpdb2088_10_195w.pdb 0.730 1.852 0.816 0.81891 High High
allpdb2088_10_85w.pdb 0.724 2.658 0.990 0.77706 High Medium
allpdb2088_10_87w.pdb 0.724 3.052 0.967 0.77200 High Medium
allpdb2088_10_58w.pdb 0.671 2.486 0.972 0.76549 High Medium
allpdb2088_10_140w.pdb 0.645 2.267 1.082 0.74543 Medium Medium
allpdb2088_10_28w.pdb 0.750 1.917 0.856 0.81866 High High
allpdb2088_10_15w.pdb 0.697 1.593 0.812 0.81219 High High
allpdb2088_10_163w.pdb 0.605 3.132 1.490 0.66304 Medium Medium
allpdb2088_10_200w.pdb 0.625 2.240 1.270 0.71423 Medium Medium
allpdb2088_10_33w.pdb 0.730 1.580 0.836 0.81996 High High
allpdb2088_10_148w.pdb 0.586 2.519 1.303 0.69152 Medium Medium
allpdb2088_10_98w.pdb 0.632 2.049 0.921 0.76768 High Medium
allpdb2088_10_47w.pdb 0.697 2.714 1.029 0.76168 Medium Medium
allpdb2088_10_162w.pdb 0.664 2.089 0.990 0.76804 High Medium
allpdb2088_10_117w.pdb 0.704 1.798 0.877 0.80208 High High
allpdb2088_10_78w.pdb 0.717 1.258 0.753 0.83149 High High
allpdb2088_10_112w.pdb 0.704 1.786 0.862 0.80445 High High
allpdb2088_10_161w.pdb 0.757 1.401 0.837 0.83084 High High
allpdb2088_10_104w.pdb 0.691 1.806 0.808 0.80756 High High
allpdb2088_10_164w.pdb 0.664 2.590 1.185 0.73175 Medium Medium
allpdb2088_10_80w.pdb 0.605 2.753 1.163 0.71168 Medium Medium
allpdb2088_10_193w.pdb 0.618 2.652 1.101 0.72653 Medium Medium
allpdb2088_10_67w.pdb 0.757 1.680 0.799 0.83268 High High
allpdb2088_10_142w.pdb 0.579 3.206 1.329 0.67155 Medium Medium
allpdb2088_10_178w.pdb 0.638 2.934 1.123 0.72421 Medium Medium
allpdb2088_10_150w.pdb 0.671 2.260 1.045 0.75947 Medium Medium
allpdb2088_10_49w.pdb 0.671 1.787 0.920 0.78505 High Medium
allpdb2088_10_14w.pdb 0.697 1.650 0.859 0.80464 High High
allpdb2088_10_181w.pdb 0.651 1.857 0.980 0.76890 High Medium
allpdb2088_10_110w.pdb 0.586 3.523 1.329 0.66639 Medium Medium
allpdb2088_10_115w.pdb 0.658 3.409 1.147 0.71673 Medium Medium
allpdb2088_10_96w.pdb 0.658 1.743 0.886 0.78634 High Medium
allpdb2088_10_130w.pdb 0.625 3.383 1.223 0.69632 Medium Medium
allpdb2088_10_88w.pdb 0.664 2.171 1.020 0.76232 Medium Medium
allpdb2088_10_189w.pdb 0.632 3.063 1.445 0.67849 Medium Medium
allpdb2088_10_4w.pdb 0.638 1.934 0.896 0.77536 High Medium
allpdb2088_10_5w.pdb 0.664 2.073 0.952 0.77374 High Medium
allpdb2088_10_138w.pdb 0.678 2.288 0.956 0.77379 High Medium
allpdb2088_10_74w.pdb 0.605 2.261 1.155 0.72235 Medium Medium
allpdb2088_10_149w.pdb 0.711 1.547 0.780 0.82180 High High
allpdb2088_10_169w.pdb 0.697 1.735 0.854 0.80412 High High
allpdb2088_10_64w.pdb 0.605 2.414 1.184 0.71555 Medium Medium
allpdb2088_10_84w.pdb 0.599 2.614 1.153 0.71361 Medium Medium
allpdb2088_10_145w.pdb 0.658 2.402 1.005 0.75802 Medium Medium
allpdb2088_10_30w.pdb 0.625 2.221 1.010 0.74972 Medium Medium
allpdb2088_10_40w.pdb 0.697 2.021 0.867 0.79785 High Medium
allpdb2088_10_137w.pdb 0.632 1.884 0.863 0.77873 High Medium
allpdb2088_10_176w.pdb 0.678 1.747 0.935 0.78570 High Medium
allpdb2088_10_75w.pdb 0.566 3.661 1.278 0.66296 Medium Medium
allpdb2088_10_172w.pdb 0.625 2.706 1.199 0.71443 Medium Medium
allpdb2088_10_132w.pdb 0.691 1.736 0.821 0.80680 High High
allpdb2088_10_45w.pdb 0.664 2.045 0.877 0.78500 High Medium
allpdb2088_10_160w.pdb 0.684 1.843 0.931 0.78701 High Medium
allpdb2088_10_144w.pdb 0.579 2.917 1.082 0.71045 Medium Medium
allpdb2088_10_60w.pdb 0.697 1.739 0.822 0.80870 High High
allpdb2088_10_154w.pdb 0.586 3.042 1.255 0.68671 Medium Medium
allpdb2088_10_12w.pdb 0.586 2.730 1.242 0.69510 Medium Medium
allpdb2088_10_52w.pdb 0.651 1.991 0.927 0.77429 High Medium
allpdb2088_10_13w.pdb 0.711 1.708 0.792 0.81788 High High
allpdb2088_10_27w.pdb 0.671 2.052 0.986 0.77139 High Medium
allpdb2088_10_46w.pdb 0.618 2.141 1.073 0.74003 Medium Medium
allpdb2088_10_153w.pdb 0.546 3.516 1.474 0.63619 Medium Medium
allpdb2088_10_7w.pdb 0.684 2.325 0.958 0.77498 High Medium
allpdb2088_10_173w.pdb 0.618 2.297 1.060 0.73910 Medium Medium
allpdb2088_10_37w.pdb 0.684 1.786 0.919 0.78961 High Medium
allpdb2088_10_9w.pdb 0.671 1.722 0.841 0.79747 High Medium
allpdb2088_10_186w.pdb 0.638 1.942 0.929 0.77038 High Medium
allpdb2088_10_68w.pdb 0.559 2.448 1.224 0.69434 Medium Medium
allpdb2088_10_191w.pdb 0.632 2.137 1.114 0.73891 Medium Medium
allpdb2088_10_31w.pdb 0.618 2.052 1.012 0.75017 Medium Medium
allpdb2088_10_3w.pdb 0.592 2.096 1.056 0.73452 Medium Medium
allpdb2088_10_188w.pdb 0.605 2.137 0.999 0.74626 High Medium
allpdb2088_10_124w.pdb 0.566 2.737 1.178 0.69678 Medium Medium
allpdb2088_10_180w.pdb 0.618 2.269 1.056 0.74012 Medium Medium
allpdb2088_10_43w.pdb 0.493 2.987 1.443 0.63431 Medium Medium
allpdb2088_10_91w.pdb 0.632 2.566 1.138 0.72759 Medium Medium
allpdb2088_10_82w.pdb 0.638 2.378 0.935 0.76193 High Medium
allpdb2088_10_165w.pdb 0.632 2.104 1.068 0.74578 Medium Medium
allpdb2088_10_94w.pdb 0.618 1.915 0.865 0.77348 High Medium
allpdb2088_10_139w.pdb 0.599 3.112 1.190 0.69812 Medium Medium
allpdb2088_10_116w.pdb 0.592 2.414 1.142 0.71690 Medium Medium
allpdb2088_10_32w.pdb 0.599 2.809 1.173 0.70697 Medium Medium
allpdb2088_10_105w.pdb 0.599 2.809 1.322 0.68763 Medium Medium
allpdb2088_10_146w.pdb 0.618 1.916 1.097 0.74056 Medium Medium
allpdb2088_10_2w.pdb 0.645 1.898 0.968 0.76778 High Medium
allpdb2088_10_81w.pdb 0.579 2.449 1.088 0.71914 Medium Medium
allpdb2088_10_48w.pdb 0.605 2.345 1.044 0.73609 Medium Medium
allpdb2088_10_125w.pdb 0.533 3.132 1.379 0.65177 Medium Medium
allpdb2088_10_131w.pdb 0.638 2.492 1.036 0.74534 Medium Medium
allpdb2088_10_158w.pdb 0.586 2.743 1.164 0.70514 Medium Medium
allpdb2088_10_151w.pdb 0.546 2.616 1.231 0.68575 Medium Medium
allpdb2088_10_53w.pdb 0.546 2.971 1.182 0.68474 Medium Medium
allpdb2088_10_113w.pdb 0.605 2.459 1.103 0.72571 Medium Medium
allpdb2088_10_109w.pdb 0.526 2.645 1.283 0.67188 Medium Medium
allpdb2088_10_185w.pdb 0.520 2.331 1.142 0.69429 Medium Medium
allpdb2088_10_11w.pdb 0.526 3.183 1.406 0.64526 Medium Medium
allpdb2088_10_100w.pdb 0.539 2.860 1.328 0.66611 Medium Medium
allpdb2088_10_20w.pdb 0.546 3.276 1.236 0.67083 Medium Medium
allpdb2088_10_66w.pdb 0.579 2.251 1.039 0.72975 Medium Medium
allpdb2088_10_59w.pdb 0.526 2.466 1.163 0.69107 Medium Medium
allpdb2088_10_71w.pdb 0.507 3.256 1.327 0.64649 Medium Medium
allpdb2088_10_6w.pdb 0.579 2.833 1.190 0.69755 Medium Medium
allpdb2088_10_89w.pdb 0.487 2.508 1.168 0.67643 Medium Medium
allpdb2088_10_156w.pdb 0.500 2.451 1.229 0.67387 Medium Medium
allpdb2088_10_50w.pdb 0.526 3.427 1.397 0.64069 Medium Medium
allpdb2088_10_62w.pdb 0.572 2.904 1.142 0.70023 Medium Medium
allpdb2088_10_120w.pdb 0.474 4.690 1.512 0.57872 Medium Medium
allpdb2088_10_8w.pdb 0.493 3.288 1.354 0.63814 Medium Medium
allpdb2088_10_65w.pdb 0.539 2.399 1.153 0.69804 Medium Medium
allpdb2088_10_86w.pdb 0.507 3.066 1.302 0.65399 Medium Medium
allpdb2088_10_57w.pdb 0.533 3.571 1.434 0.63514 Medium Medium
allpdb2088_10_107w.pdb 0.520 2.960 1.430 0.64519 Medium Medium
allpdb2088_10_56w.pdb 0.474 2.933 1.267 0.65029 Medium Medium
allpdb2088_10_25w.pdb 0.474 3.051 1.423 0.62863 Medium Medium
allpdb2088_10_76w.pdb 0.454 2.908 1.334 0.63582 Medium Medium
allpdb2088_10_127w.pdb 0.467 3.390 1.362 0.62598 Medium Medium
allpdb2088_10_90w.pdb 0.414 3.889 1.652 0.56442 Medium Medium
allpdb2088_10_155w.pdb 0.349 4.205 1.899 0.51214 Medium Medium
allpdb2088_10_102w.pdb 0.408 4.892 1.811 0.52200 Medium Medium
allpdb2088_10_95w.pdb 0.257 4.851 1.965 0.45967 Acceptable Acceptable
