#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb2088_10_146w.pdb 0.855 1.861 1.077 0.82309 Medium High
allpdb2088_10_117w.pdb 0.875 0.883 0.861 0.87217 High High
allpdb2088_10_17w.pdb 0.836 1.685 0.804 0.85817 High High
allpdb2088_10_3w.pdb 0.783 1.759 0.925 0.82207 High High
allpdb2088_10_38w.pdb 0.822 1.279 0.710 0.87236 High High
allpdb2088_10_199w.pdb 0.809 1.338 0.734 0.86399 High High
allpdb2088_10_157w.pdb 0.849 1.426 0.714 0.87889 High High
allpdb2088_10_25w.pdb 0.836 1.209 0.796 0.86537 High High
allpdb2088_10_22w.pdb 0.803 1.426 0.859 0.84276 High High
allpdb2088_10_171w.pdb 0.803 1.410 0.880 0.83996 High High
allpdb2088_10_75w.pdb 0.816 0.916 0.654 0.88156 High High
allpdb2088_10_78w.pdb 0.796 1.624 0.879 0.83507 High High
allpdb2088_10_51w.pdb 0.796 1.062 0.745 0.86097 High High
allpdb2088_10_12w.pdb 0.776 2.408 0.878 0.81561 High High
allpdb2088_10_161w.pdb 0.836 0.956 0.712 0.87976 High High
allpdb2088_10_6w.pdb 0.816 1.104 0.709 0.87226 High High
allpdb2088_10_108w.pdb 0.770 1.815 0.891 0.82170 High High
allpdb2088_10_50w.pdb 0.770 1.334 0.755 0.84791 High High
allpdb2088_10_190w.pdb 0.816 1.004 0.696 0.87497 High High
allpdb2088_10_36w.pdb 0.809 1.096 0.751 0.86413 High High
allpdb2088_10_57w.pdb 0.809 0.820 0.746 0.86726 High High
allpdb2088_10_120w.pdb 0.816 1.285 0.689 0.87310 High High
allpdb2088_10_1w.pdb 0.770 1.481 0.813 0.83770 High High
allpdb2088_10_11w.pdb 0.789 1.749 0.755 0.84885 High High
allpdb2088_10_185w.pdb 0.776 1.080 0.775 0.84991 High High
allpdb2088_10_111w.pdb 0.697 2.163 1.035 0.77136 Medium Medium
allpdb2088_10_14w.pdb 0.750 1.692 0.875 0.81930 High High
allpdb2088_10_151w.pdb 0.776 1.711 0.804 0.83808 High High
allpdb2088_10_91w.pdb 0.789 1.212 0.676 0.86686 High High
allpdb2088_10_99w.pdb 0.836 1.062 0.614 0.89221 High High
allpdb2088_10_18w.pdb 0.803 1.526 0.709 0.86297 High High
allpdb2088_10_109w.pdb 0.776 1.543 0.782 0.84354 High High
allpdb2088_10_107w.pdb 0.836 0.925 0.661 0.88706 High High
allpdb2088_10_179w.pdb 0.796 1.517 0.736 0.85704 High High
allpdb2088_10_188w.pdb 0.809 0.903 0.711 0.87156 High High
allpdb2088_10_148w.pdb 0.829 0.899 0.773 0.86940 High High
allpdb2088_10_48w.pdb 0.796 1.092 0.643 0.87491 High High
allpdb2088_10_64w.pdb 0.737 2.338 1.024 0.78286 Medium Medium
allpdb2088_10_159w.pdb 0.816 0.877 0.727 0.87165 High High
allpdb2088_10_128w.pdb 0.743 1.333 0.757 0.83874 High High
allpdb2088_10_69w.pdb 0.770 1.239 0.710 0.85536 High High
allpdb2088_10_186w.pdb 0.743 2.079 1.086 0.78099 Medium Medium
allpdb2088_10_47w.pdb 0.796 1.104 0.683 0.86922 High High
allpdb2088_10_32w.pdb 0.796 1.449 0.761 0.85439 High High
allpdb2088_10_132w.pdb 0.763 1.142 0.695 0.85629 High High
allpdb2088_10_27w.pdb 0.789 1.356 0.737 0.85679 High High
allpdb2088_10_138w.pdb 0.730 2.009 0.925 0.80067 High High
allpdb2088_10_183w.pdb 0.763 1.338 0.776 0.84259 High High
allpdb2088_10_164w.pdb 0.750 1.742 0.768 0.83406 High High
allpdb2088_10_133w.pdb 0.809 1.037 0.683 0.87425 High High
allpdb2088_10_134w.pdb 0.770 1.768 0.812 0.83389 High High
allpdb2088_10_35w.pdb 0.770 1.494 0.972 0.81463 High High
allpdb2088_10_101w.pdb 0.796 1.485 0.778 0.85150 High High
allpdb2088_10_77w.pdb 0.757 1.593 0.769 0.83813 High High
allpdb2088_10_23w.pdb 0.717 1.623 0.838 0.81475 High High
allpdb2088_10_30w.pdb 0.743 1.672 0.917 0.81137 High High
allpdb2088_10_158w.pdb 0.770 1.542 0.700 0.85302 High High
allpdb2088_10_116w.pdb 0.724 1.964 0.936 0.79759 High Medium
allpdb2088_10_15w.pdb 0.743 1.765 1.023 0.79491 Medium Medium
allpdb2088_10_136w.pdb 0.776 2.020 0.956 0.81139 High High
allpdb2088_10_10w.pdb 0.730 1.820 0.889 0.80877 High High
allpdb2088_10_56w.pdb 0.763 1.641 0.858 0.82697 High High
allpdb2088_10_165w.pdb 0.796 1.256 0.749 0.85838 High High
allpdb2088_10_184w.pdb 0.730 2.546 1.103 0.76562 Medium Medium
allpdb2088_10_92w.pdb 0.757 1.660 0.750 0.83991 High High
allpdb2088_10_169w.pdb 0.743 1.652 0.753 0.83525 High High
allpdb2088_10_156w.pdb 0.776 1.317 0.656 0.86413 High High
allpdb2088_10_82w.pdb 0.809 1.026 0.658 0.87777 High High
allpdb2088_10_102w.pdb 0.770 1.410 0.834 0.83561 High High
allpdb2088_10_95w.pdb 0.763 1.103 0.735 0.85104 High High
allpdb2088_10_189w.pdb 0.796 1.119 0.739 0.86127 High High
allpdb2088_10_28w.pdb 0.717 1.744 0.808 0.81732 High High
allpdb2088_10_150w.pdb 0.743 1.655 0.776 0.83188 High High
allpdb2088_10_33w.pdb 0.743 1.845 0.966 0.80171 High High
allpdb2088_10_2w.pdb 0.750 1.824 0.905 0.81308 High High
allpdb2088_10_170w.pdb 0.743 2.556 1.117 0.76791 Medium Medium
allpdb2088_10_97w.pdb 0.789 1.362 0.634 0.87096 High High
allpdb2088_10_118w.pdb 0.730 1.792 0.902 0.80743 High High
allpdb2088_10_114w.pdb 0.730 1.610 0.750 0.83194 High High
allpdb2088_10_84w.pdb 0.737 1.573 0.732 0.83715 High High
allpdb2088_10_39w.pdb 0.750 1.897 0.825 0.82339 High High
allpdb2088_10_198w.pdb 0.750 1.660 0.803 0.83015 High High
allpdb2088_10_119w.pdb 0.789 1.366 0.696 0.86238 High High
allpdb2088_10_177w.pdb 0.783 1.382 0.737 0.85425 High High
allpdb2088_10_89w.pdb 0.796 1.120 0.665 0.87153 High High
allpdb2088_10_62w.pdb 0.763 2.098 0.791 0.82935 High High
allpdb2088_10_193w.pdb 0.717 1.621 0.836 0.81497 High High
allpdb2088_10_131w.pdb 0.730 1.037 0.789 0.83297 High High
allpdb2088_10_121w.pdb 0.750 1.345 0.786 0.83669 High High
allpdb2088_10_168w.pdb 0.730 2.136 0.841 0.81053 High High
allpdb2088_10_142w.pdb 0.704 1.884 0.898 0.79777 High Medium
allpdb2088_10_182w.pdb 0.658 2.811 1.259 0.71537 Medium Medium
allpdb2088_10_140w.pdb 0.763 1.442 0.712 0.85045 High High
allpdb2088_10_147w.pdb 0.724 1.982 0.932 0.79791 High Medium
allpdb2088_10_197w.pdb 0.803 0.989 0.674 0.87377 High High
allpdb2088_10_113w.pdb 0.783 1.291 0.715 0.85835 High High
allpdb2088_10_194w.pdb 0.743 1.248 0.752 0.84056 High High
allpdb2088_10_144w.pdb 0.763 1.561 0.713 0.84873 High High
allpdb2088_10_73w.pdb 0.743 1.297 0.729 0.84322 High High
allpdb2088_10_174w.pdb 0.750 2.079 0.824 0.82057 High High
allpdb2088_10_152w.pdb 0.770 1.322 0.692 0.85688 High High
allpdb2088_10_31w.pdb 0.730 1.499 0.743 0.83438 High High
allpdb2088_10_167w.pdb 0.730 1.678 0.773 0.82771 High High
allpdb2088_10_154w.pdb 0.724 2.062 0.905 0.80038 High High
allpdb2088_10_7w.pdb 0.704 2.312 0.974 0.77946 High Medium
allpdb2088_10_149w.pdb 0.691 1.918 0.928 0.78847 High Medium
allpdb2088_10_125w.pdb 0.789 1.064 0.769 0.85532 High High
allpdb2088_10_55w.pdb 0.724 1.836 0.833 0.81453 High High
allpdb2088_10_65w.pdb 0.757 1.702 0.914 0.81578 High High
allpdb2088_10_191w.pdb 0.737 1.442 0.767 0.83383 High High
allpdb2088_10_163w.pdb 0.658 2.293 1.087 0.74858 Medium Medium
allpdb2088_10_135w.pdb 0.743 1.903 0.860 0.81607 High High
allpdb2088_10_13w.pdb 0.750 1.621 0.863 0.82201 High High
allpdb2088_10_81w.pdb 0.717 2.411 1.019 0.77560 Medium Medium
allpdb2088_10_98w.pdb 0.697 2.013 0.912 0.79151 High Medium
allpdb2088_10_40w.pdb 0.704 2.467 1.179 0.74807 Medium Medium
allpdb2088_10_90w.pdb 0.717 2.302 0.852 0.80156 High High
allpdb2088_10_83w.pdb 0.717 1.568 0.793 0.82193 High High
allpdb2088_10_20w.pdb 0.717 2.220 0.891 0.79749 High Medium
allpdb2088_10_96w.pdb 0.737 1.735 0.783 0.82760 High High
allpdb2088_10_129w.pdb 0.651 2.461 1.072 0.74529 Medium Medium
allpdb2088_10_41w.pdb 0.651 2.638 1.104 0.73734 Medium Medium
allpdb2088_10_115w.pdb 0.704 2.066 0.905 0.79375 High Medium
allpdb2088_10_124w.pdb 0.691 1.643 0.770 0.81537 High High
allpdb2088_10_162w.pdb 0.730 1.737 0.798 0.82322 High High
allpdb2088_10_44w.pdb 0.697 2.066 0.795 0.80737 High High
allpdb2088_10_196w.pdb 0.658 2.259 0.985 0.76358 High Medium
allpdb2088_10_180w.pdb 0.625 3.290 1.339 0.68377 Medium Medium
allpdb2088_10_100w.pdb 0.737 1.353 0.683 0.84684 High High
allpdb2088_10_88w.pdb 0.664 2.364 1.150 0.74085 Medium Medium
allpdb2088_10_76w.pdb 0.750 1.880 0.900 0.81287 High High
allpdb2088_10_34w.pdb 0.743 2.242 0.980 0.79308 High Medium
allpdb2088_10_110w.pdb 0.750 1.360 0.737 0.84356 High High
allpdb2088_10_181w.pdb 0.724 2.017 0.978 0.79075 High Medium
allpdb2088_10_103w.pdb 0.684 1.580 0.869 0.79987 High Medium
allpdb2088_10_26w.pdb 0.691 2.017 0.857 0.79715 High Medium
allpdb2088_10_130w.pdb 0.691 1.860 0.897 0.79395 High Medium
allpdb2088_10_49w.pdb 0.678 2.851 1.079 0.74518 Medium Medium
allpdb2088_10_80w.pdb 0.691 2.441 0.919 0.78054 High Medium
allpdb2088_10_68w.pdb 0.711 1.503 0.822 0.81637 High High
allpdb2088_10_173w.pdb 0.664 2.008 0.982 0.77057 High Medium
allpdb2088_10_106w.pdb 0.612 2.620 1.163 0.71655 Medium Medium
allpdb2088_10_66w.pdb 0.711 1.390 0.712 0.83358 High High
allpdb2088_10_43w.pdb 0.711 2.083 0.835 0.80572 High High
allpdb2088_10_52w.pdb 0.743 1.471 0.714 0.84324 High High
allpdb2088_10_70w.pdb 0.691 2.018 0.947 0.78422 High Medium
allpdb2088_10_19w.pdb 0.730 2.215 0.854 0.80735 High High
allpdb2088_10_59w.pdb 0.737 2.034 0.828 0.81641 High High
allpdb2088_10_86w.pdb 0.743 1.517 0.774 0.83409 High High
allpdb2088_10_87w.pdb 0.711 2.079 0.873 0.80033 High High
allpdb2088_10_139w.pdb 0.697 1.580 0.913 0.79782 High Medium
allpdb2088_10_29w.pdb 0.724 1.425 0.744 0.83301 High High
allpdb2088_10_105w.pdb 0.664 2.367 0.991 0.76284 High Medium
allpdb2088_10_93w.pdb 0.757 1.460 0.884 0.82344 High High
allpdb2088_10_37w.pdb 0.678 2.297 1.011 0.76577 Medium Medium
allpdb2088_10_5w.pdb 0.671 2.173 0.986 0.76927 High Medium
allpdb2088_10_74w.pdb 0.678 2.259 0.849 0.78966 High Medium
allpdb2088_10_72w.pdb 0.724 1.931 0.782 0.82033 High High
allpdb2088_10_58w.pdb 0.651 2.267 0.925 0.76977 High Medium
allpdb2088_10_160w.pdb 0.651 2.135 0.956 0.76771 High Medium
allpdb2088_10_46w.pdb 0.612 2.802 1.065 0.72618 Medium Medium
allpdb2088_10_123w.pdb 0.632 2.221 1.022 0.75019 Medium Medium
allpdb2088_10_176w.pdb 0.651 2.267 0.971 0.76316 High Medium
allpdb2088_10_8w.pdb 0.704 1.997 0.855 0.80220 High High
allpdb2088_10_67w.pdb 0.711 1.102 0.707 0.83744 High High
allpdb2088_10_166w.pdb 0.757 1.516 0.811 0.83321 High High
allpdb2088_10_61w.pdb 0.664 2.209 0.965 0.76953 High Medium
allpdb2088_10_45w.pdb 0.691 1.799 0.822 0.80570 High High
allpdb2088_10_192w.pdb 0.684 2.130 0.845 0.79480 High Medium
allpdb2088_10_195w.pdb 0.671 3.330 1.210 0.71462 Medium Medium
allpdb2088_10_16w.pdb 0.737 1.936 0.839 0.81637 High High
allpdb2088_10_145w.pdb 0.737 1.591 0.820 0.82430 High High
allpdb2088_10_143w.pdb 0.605 2.520 1.177 0.71447 Medium Medium
allpdb2088_10_94w.pdb 0.671 2.245 0.868 0.78497 High Medium
allpdb2088_10_112w.pdb 0.651 1.831 0.884 0.78313 High Medium
allpdb2088_10_63w.pdb 0.664 1.679 0.902 0.78705 High Medium
allpdb2088_10_104w.pdb 0.697 1.884 1.078 0.77003 Medium Medium
allpdb2088_10_155w.pdb 0.586 2.713 1.029 0.72433 Medium Medium
allpdb2088_10_60w.pdb 0.579 2.487 1.173 0.70687 Medium Medium
allpdb2088_10_71w.pdb 0.651 2.868 1.110 0.73182 Medium Medium
allpdb2088_10_127w.pdb 0.625 2.769 1.303 0.69961 Medium Medium
allpdb2088_10_178w.pdb 0.664 2.253 1.169 0.74027 Medium Medium
allpdb2088_10_4w.pdb 0.658 2.105 0.852 0.78536 High Medium
allpdb2088_10_21w.pdb 0.599 2.526 1.157 0.71481 Medium Medium
allpdb2088_10_172w.pdb 0.684 2.088 0.819 0.79922 High Medium
allpdb2088_10_141w.pdb 0.605 3.376 1.324 0.67706 Medium Medium
allpdb2088_10_79w.pdb 0.546 3.090 1.218 0.67736 Medium Medium
allpdb2088_10_85w.pdb 0.612 2.737 1.072 0.72656 Medium Medium
allpdb2088_10_42w.pdb 0.658 1.791 0.860 0.78927 High Medium
allpdb2088_10_126w.pdb 0.618 3.060 1.162 0.70950 Medium Medium
allpdb2088_10_187w.pdb 0.658 2.039 0.997 0.76565 High Medium
allpdb2088_10_53w.pdb 0.618 2.729 1.193 0.71257 Medium Medium
allpdb2088_10_24w.pdb 0.625 2.115 0.948 0.76042 High Medium
allpdb2088_10_153w.pdb 0.579 2.847 1.259 0.68831 Medium Medium
allpdb2088_10_137w.pdb 0.539 2.377 1.042 0.71377 Medium Medium
allpdb2088_10_54w.pdb 0.526 3.597 1.455 0.62986 Medium Medium
allpdb2088_10_9w.pdb 0.638 2.150 1.035 0.75190 Medium Medium
allpdb2088_10_122w.pdb 0.592 2.222 1.041 0.73440 Medium Medium
allpdb2088_10_175w.pdb 0.507 3.843 1.453 0.61763 Medium Medium
allpdb2088_10_200w.pdb 0.533 3.517 1.332 0.64856 Medium Medium
