#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb1601_8_75w.pdb 0.469 4.716 2.487 0.50018 Medium Medium
allpdb1601_8_21w.pdb 0.383 7.494 3.165 0.37625 Acceptable Acceptable
allpdb1601_8_24w.pdb 0.420 6.188 2.816 0.43147 Acceptable Acceptable
allpdb1601_8_117w.pdb 0.444 6.675 2.775 0.42970 Acceptable Acceptable
allpdb1601_8_16w.pdb 0.284 11.500 4.760 0.24253 Incorrect Acceptable
allpdb1601_8_94w.pdb 0.309 7.711 3.983 0.32713 Acceptable Acceptable
allpdb1601_8_192w.pdb 0.432 5.845 2.947 0.43894 Acceptable Acceptable
allpdb1601_8_131w.pdb 0.395 4.768 2.609 0.46806 Medium Acceptable
allpdb1601_8_47w.pdb 0.333 6.599 2.960 0.38718 Acceptable Acceptable
allpdb1601_8_74w.pdb 0.296 8.181 4.262 0.30854 Acceptable Acceptable
allpdb1601_8_25w.pdb 0.284 9.027 3.817 0.29590 Acceptable Acceptable
allpdb1601_8_91w.pdb 0.296 7.849 4.099 0.31806 Acceptable Acceptable
allpdb1601_8_180w.pdb 0.370 7.109 3.173 0.38050 Acceptable Acceptable
allpdb1601_8_195w.pdb 0.457 7.146 2.911 0.41752 Acceptable Acceptable
allpdb1601_8_102w.pdb 0.432 6.898 3.338 0.40103 Acceptable Acceptable
allpdb1601_8_160w.pdb 0.383 7.615 3.160 0.37379 Acceptable Acceptable
allpdb1601_8_151w.pdb 0.346 7.171 3.413 0.36393 Acceptable Acceptable
allpdb1601_8_93w.pdb 0.321 8.816 4.572 0.29998 Acceptable Acceptable
allpdb1601_8_30w.pdb 0.235 9.621 4.911 0.25276 Acceptable Acceptable
allpdb1601_8_39w.pdb 0.235 8.414 4.338 0.28216 Acceptable Acceptable
allpdb1601_8_51w.pdb 0.370 8.571 3.783 0.33401 Acceptable Acceptable
allpdb1601_8_119w.pdb 0.296 8.987 4.645 0.28763 Acceptable Acceptable
allpdb1601_8_28w.pdb 0.222 9.069 4.788 0.25976 Acceptable Acceptable
allpdb1601_8_60w.pdb 0.321 9.677 4.709 0.28287 Acceptable Acceptable
allpdb1601_8_69w.pdb 0.309 6.254 2.805 0.39325 Acceptable Acceptable
allpdb1601_8_86w.pdb 0.346 9.077 4.264 0.30766 Acceptable Acceptable
allpdb1601_8_111w.pdb 0.309 12.320 4.816 0.23985 Incorrect Acceptable
allpdb1601_8_96w.pdb 0.333 7.955 3.911 0.33156 Acceptable Acceptable
allpdb1601_8_55w.pdb 0.309 8.738 4.301 0.30108 Acceptable Acceptable
allpdb1601_8_173w.pdb 0.296 9.073 4.166 0.29283 Acceptable Acceptable
allpdb1601_8_41w.pdb 0.235 9.862 5.120 0.24662 Acceptable Acceptable
allpdb1601_8_198w.pdb 0.358 7.177 3.140 0.37588 Acceptable Acceptable
allpdb1601_8_17w.pdb 0.235 8.228 4.009 0.29120 Acceptable Acceptable
allpdb1601_8_7w.pdb 0.185 11.131 5.635 0.20656 Incorrect Incorrect
allpdb1601_8_87w.pdb 0.432 4.965 2.349 0.48908 Medium Acceptable
allpdb1601_8_31w.pdb 0.247 8.915 4.585 0.27325 Acceptable Acceptable
allpdb1601_8_78w.pdb 0.333 7.775 3.620 0.34146 Acceptable Acceptable
allpdb1601_8_146w.pdb 0.383 7.783 3.261 0.36709 Acceptable Acceptable
allpdb1601_8_14w.pdb 0.383 5.724 2.846 0.42937 Acceptable Acceptable
allpdb1601_8_46w.pdb 0.296 8.499 4.399 0.30017 Acceptable Acceptable
allpdb1601_8_59w.pdb 0.247 10.051 4.724 0.25184 Incorrect Acceptable
allpdb1601_8_34w.pdb 0.210 10.136 5.154 0.23361 Incorrect Acceptable
allpdb1601_8_53w.pdb 0.235 8.631 4.449 0.27633 Acceptable Acceptable
allpdb1601_8_149w.pdb 0.420 6.560 2.912 0.41873 Acceptable Acceptable
allpdb1601_8_132w.pdb 0.284 8.276 3.941 0.30794 Acceptable Acceptable
allpdb1601_8_133w.pdb 0.333 7.408 3.241 0.35936 Acceptable Acceptable
allpdb1601_8_118w.pdb 0.556 3.974 2.004 0.57845 Medium Medium
allpdb1601_8_123w.pdb 0.383 5.708 2.650 0.43818 Acceptable Acceptable
allpdb1601_8_11w.pdb 0.222 8.170 3.936 0.28961 Acceptable Acceptable
allpdb1601_8_135w.pdb 0.284 7.089 3.498 0.34303 Acceptable Acceptable
allpdb1601_8_10w.pdb 0.210 10.935 4.865 0.22445 Incorrect Incorrect
allpdb1601_8_68w.pdb 0.259 8.668 4.275 0.28636 Acceptable Acceptable
allpdb1601_8_154w.pdb 0.321 9.760 4.000 0.29186 Acceptable Acceptable
allpdb1601_8_66w.pdb 0.296 9.141 4.368 0.28850 Acceptable Acceptable
allpdb1601_8_137w.pdb 0.296 11.141 4.349 0.25684 Incorrect Acceptable
allpdb1601_8_188w.pdb 0.309 6.891 3.250 0.36257 Acceptable Acceptable
allpdb1601_8_157w.pdb 0.321 9.295 4.503 0.29209 Acceptable Acceptable
allpdb1601_8_64w.pdb 0.284 8.057 3.733 0.31656 Acceptable Acceptable
allpdb1601_8_23w.pdb 0.222 9.221 4.739 0.25755 Acceptable Acceptable
allpdb1601_8_79w.pdb 0.395 6.568 2.893 0.41101 Acceptable Acceptable
allpdb1601_8_56w.pdb 0.235 9.187 4.529 0.26487 Acceptable Acceptable
allpdb1601_8_95w.pdb 0.296 9.779 4.461 0.27609 Acceptable Acceptable
allpdb1601_8_183w.pdb 0.272 9.678 4.016 0.27649 Acceptable Acceptable
allpdb1601_8_82w.pdb 0.247 8.584 4.409 0.28192 Acceptable Acceptable
allpdb1601_8_43w.pdb 0.210 9.638 4.815 0.24528 Acceptable Acceptable
allpdb1601_8_128w.pdb 0.284 7.197 3.723 0.33536 Acceptable Acceptable
allpdb1601_8_124w.pdb 0.247 8.406 3.755 0.29671 Acceptable Acceptable
allpdb1601_8_29w.pdb 0.247 8.732 4.361 0.27974 Acceptable Acceptable
allpdb1601_8_38w.pdb 0.284 8.301 3.457 0.31807 Acceptable Acceptable
allpdb1601_8_143w.pdb 0.259 9.723 4.193 0.26864 Acceptable Acceptable
allpdb1601_8_35w.pdb 0.296 6.250 2.873 0.38651 Acceptable Acceptable
allpdb1601_8_140w.pdb 0.259 10.801 4.572 0.24629 Incorrect Acceptable
allpdb1601_8_176w.pdb 0.012 37.124 15.132 0.02396 Incorrect Incorrect
allpdb1601_8_6w.pdb 0.148 10.347 5.276 0.20863 Incorrect Incorrect
allpdb1601_8_50w.pdb 0.259 9.210 4.210 0.27730 Acceptable Acceptable
allpdb1601_8_22w.pdb 0.185 10.391 5.398 0.21926 Incorrect Incorrect
allpdb1601_8_2w.pdb 0.136 11.387 5.327 0.18903 Incorrect Incorrect
allpdb1601_8_196w.pdb 0.370 7.414 3.077 0.37677 Acceptable Acceptable
allpdb1601_8_77w.pdb 0.111 9.702 4.852 0.21086 Acceptable Incorrect
allpdb1601_8_171w.pdb 0.247 9.943 4.101 0.26239 Acceptable Acceptable
allpdb1601_8_8w.pdb 0.185 12.659 6.140 0.18408 Incorrect Incorrect
allpdb1601_8_155w.pdb 0.160 9.846 4.981 0.22355 Acceptable Incorrect
allpdb1601_8_172w.pdb 0.309 8.237 3.421 0.32851 Acceptable Acceptable
allpdb1601_8_27w.pdb 0.333 7.851 3.640 0.33937 Acceptable Acceptable
allpdb1601_8_12w.pdb 0.185 9.700 4.700 0.23732 Acceptable Acceptable
allpdb1601_8_9w.pdb 0.123 10.477 5.024 0.20075 Incorrect Incorrect
allpdb1601_8_165w.pdb 0.247 10.387 4.418 0.25044 Incorrect Acceptable
allpdb1601_8_44w.pdb 0.296 8.307 3.557 0.31958 Acceptable Acceptable
allpdb1601_8_88w.pdb 0.333 6.695 3.367 0.37202 Acceptable Acceptable
allpdb1601_8_45w.pdb 0.210 7.022 3.539 0.31884 Acceptable Acceptable
allpdb1601_8_97w.pdb 0.123 10.287 5.031 0.20361 Incorrect Incorrect
allpdb1601_8_33w.pdb 0.136 9.987 4.910 0.21375 Acceptable Incorrect
allpdb1601_8_62w.pdb 0.235 7.448 3.432 0.32019 Acceptable Acceptable
allpdb1601_8_191w.pdb 0.284 9.679 3.711 0.28659 Acceptable Acceptable
allpdb1601_8_145w.pdb 0.259 7.995 3.748 0.30931 Acceptable Acceptable
allpdb1601_8_136w.pdb 0.185 6.767 3.450 0.31875 Acceptable Acceptable
allpdb1601_8_174w.pdb 0.235 10.128 5.181 0.24172 Incorrect Acceptable
allpdb1601_8_125w.pdb 0.123 10.968 5.050 0.19325 Incorrect Incorrect
allpdb1601_8_114w.pdb 0.173 13.871 5.814 0.16942 Incorrect Incorrect
allpdb1601_8_63w.pdb 0.272 9.594 4.058 0.27719 Acceptable Acceptable
allpdb1601_8_159w.pdb 0.136 10.743 6.030 0.19303 Incorrect Incorrect
allpdb1601_8_182w.pdb 0.333 5.517 2.773 0.42108 Acceptable Acceptable
allpdb1601_8_57w.pdb 0.123 9.159 4.551 0.22805 Acceptable Incorrect
allpdb1601_8_134w.pdb 0.259 8.415 3.848 0.29873 Acceptable Acceptable
allpdb1601_8_3w.pdb 0.111 12.352 5.824 0.16490 Incorrect Incorrect
allpdb1601_8_20w.pdb 0.210 9.687 4.631 0.24661 Acceptable Acceptable
allpdb1601_8_90w.pdb 0.111 13.990 6.948 0.14176 Incorrect Incorrect
allpdb1601_8_113w.pdb 0.222 9.101 4.079 0.26909 Acceptable Acceptable
allpdb1601_8_84w.pdb 0.284 4.632 2.778 0.42690 Acceptable Acceptable
allpdb1601_8_115w.pdb 0.284 9.196 4.134 0.28702 Acceptable Acceptable
allpdb1601_8_152w.pdb 0.173 10.783 4.705 0.21612 Incorrect Incorrect
allpdb1601_8_36w.pdb 0.148 9.860 4.989 0.21912 Acceptable Incorrect
allpdb1601_8_167w.pdb 0.346 7.707 3.147 0.35987 Acceptable Acceptable
allpdb1601_8_89w.pdb 0.321 6.089 2.963 0.39530 Acceptable Acceptable
allpdb1601_8_197w.pdb 0.160 9.929 4.942 0.22258 Acceptable Incorrect
allpdb1601_8_80w.pdb 0.198 10.559 4.776 0.22684 Incorrect Incorrect
allpdb1601_8_48w.pdb 0.136 9.354 4.878 0.22483 Acceptable Incorrect
allpdb1601_8_32w.pdb 0.136 9.453 4.729 0.22476 Acceptable Incorrect
allpdb1601_8_58w.pdb 0.284 9.960 4.166 0.27336 Acceptable Acceptable
allpdb1601_8_18w.pdb 0.148 10.311 4.715 0.21489 Incorrect Incorrect
allpdb1601_8_184w.pdb 0.123 11.696 5.633 0.17843 Incorrect Incorrect
allpdb1601_8_120w.pdb 0.198 6.631 3.201 0.33306 Acceptable Acceptable
allpdb1601_8_110w.pdb 0.148 8.821 4.457 0.24380 Acceptable Acceptable
allpdb1601_8_1w.pdb 0.111 11.490 5.875 0.17534 Incorrect Incorrect
allpdb1601_8_144w.pdb 0.173 8.866 4.202 0.25493 Acceptable Acceptable
allpdb1601_8_181w.pdb 0.025 35.144 15.197 0.02987 Incorrect Incorrect
allpdb1601_8_61w.pdb 0.111 10.404 5.021 0.19778 Incorrect Incorrect
allpdb1601_8_26w.pdb 0.049 13.112 6.785 0.13063 Incorrect Incorrect
allpdb1601_8_40w.pdb 0.000 39.457 17.532 0.01721 Incorrect Incorrect
allpdb1601_8_156w.pdb 0.111 22.406 8.130 0.08995 Incorrect Incorrect
allpdb1601_8_13w.pdb 0.111 13.557 6.952 0.14592 Incorrect Incorrect
allpdb1601_8_187w.pdb 0.185 12.835 5.169 0.18924 Incorrect Incorrect
allpdb1601_8_130w.pdb 0.173 7.700 4.000 0.28178 Acceptable Acceptable
allpdb1601_8_193w.pdb 0.259 10.569 4.159 0.25570 Incorrect Acceptable
allpdb1601_8_71w.pdb 0.037 30.258 13.645 0.04071 Incorrect Incorrect
allpdb1601_8_85w.pdb 0.222 7.654 3.689 0.30545 Acceptable Acceptable
allpdb1601_8_121w.pdb 0.012 42.200 16.592 0.01981 Incorrect Incorrect
