#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb1601_8_180w.pdb 0.691 1.861 1.342 0.73363 Medium Medium
allpdb1601_8_190w.pdb 0.691 1.733 1.055 0.77347 Medium Medium
allpdb1601_8_156w.pdb 0.617 3.244 1.693 0.64329 Medium Medium
allpdb1601_8_182w.pdb 0.556 3.385 2.049 0.58918 Medium Medium
allpdb1601_8_62w.pdb 0.358 8.752 4.286 0.31752 Acceptable Acceptable
allpdb1601_8_102w.pdb 0.457 8.252 3.615 0.37282 Acceptable Acceptable
allpdb1601_8_144w.pdb 0.333 9.131 4.255 0.30272 Acceptable Acceptable
allpdb1601_8_41w.pdb 0.309 9.741 4.608 0.27891 Acceptable Acceptable
allpdb1601_8_12w.pdb 0.247 9.391 4.848 0.26154 Acceptable Acceptable
allpdb1601_8_74w.pdb 0.481 4.166 1.988 0.55023 Medium Medium
allpdb1601_8_116w.pdb 0.469 4.471 2.211 0.52253 Medium Medium
allpdb1601_8_135w.pdb 0.580 6.279 2.690 0.48814 Acceptable Acceptable
allpdb1601_8_106w.pdb 0.420 5.948 2.981 0.43104 Acceptable Acceptable
allpdb1601_8_77w.pdb 0.333 7.636 3.804 0.34044 Acceptable Acceptable
allpdb1601_8_128w.pdb 0.395 8.332 4.008 0.34263 Acceptable Acceptable
allpdb1601_8_71w.pdb 0.309 8.493 4.334 0.30534 Acceptable Acceptable
allpdb1601_8_169w.pdb 0.247 12.954 5.751 0.20386 Incorrect Incorrect
allpdb1601_8_196w.pdb 0.358 8.345 3.908 0.33189 Acceptable Acceptable
allpdb1601_8_67w.pdb 0.407 7.480 3.275 0.38146 Acceptable Acceptable
allpdb1601_8_130w.pdb 0.481 5.546 2.187 0.50092 Acceptable Medium
allpdb1601_8_162w.pdb 0.407 6.125 3.120 0.41781 Acceptable Acceptable
allpdb1601_8_154w.pdb 0.358 8.972 4.348 0.31247 Acceptable Acceptable
allpdb1601_8_111w.pdb 0.506 4.465 2.044 0.54667 Medium Medium
allpdb1601_8_40w.pdb 0.321 8.864 3.847 0.31068 Acceptable Acceptable
allpdb1601_8_178w.pdb 0.395 7.776 3.537 0.36398 Acceptable Acceptable
allpdb1601_8_26w.pdb 0.296 7.789 3.973 0.32154 Acceptable Acceptable
allpdb1601_8_75w.pdb 0.333 7.747 3.808 0.33796 Acceptable Acceptable
allpdb1601_8_119w.pdb 0.296 10.366 3.916 0.27543 Acceptable Acceptable
allpdb1601_8_158w.pdb 0.444 7.225 2.697 0.42041 Acceptable Acceptable
allpdb1601_8_120w.pdb 0.321 7.165 3.677 0.34942 Acceptable Acceptable
allpdb1601_8_34w.pdb 0.296 8.521 4.294 0.30126 Acceptable Acceptable
allpdb1601_8_181w.pdb 0.543 3.197 1.985 0.59427 Medium Medium
allpdb1601_8_187w.pdb 0.481 5.279 2.835 0.47395 Acceptable Acceptable
allpdb1601_8_192w.pdb 0.568 5.122 2.181 0.54084 Acceptable Medium
allpdb1601_8_124w.pdb 0.457 6.754 3.005 0.42307 Acceptable Acceptable
allpdb1601_8_109w.pdb 0.407 5.627 2.746 0.44419 Acceptable Acceptable
allpdb1601_8_84w.pdb 0.420 7.379 2.902 0.40026 Acceptable Acceptable
allpdb1601_8_92w.pdb 0.444 4.800 2.331 0.49849 Medium Medium
allpdb1601_8_137w.pdb 0.531 3.685 2.116 0.56904 Medium Medium
allpdb1601_8_96w.pdb 0.519 6.150 2.891 0.46233 Acceptable Acceptable
allpdb1601_8_160w.pdb 0.370 9.661 4.262 0.30563 Acceptable Acceptable
allpdb1601_8_66w.pdb 0.222 8.616 4.249 0.27541 Acceptable Acceptable
allpdb1601_8_48w.pdb 0.358 6.646 2.944 0.39493 Acceptable Acceptable
allpdb1601_8_189w.pdb 0.444 5.629 2.688 0.45899 Acceptable Acceptable
allpdb1601_8_83w.pdb 0.358 7.143 3.569 0.36475 Acceptable Acceptable
allpdb1601_8_56w.pdb 0.259 12.426 5.056 0.21964 Incorrect Incorrect
allpdb1601_8_5w.pdb 0.333 8.371 3.520 0.33155 Acceptable Acceptable
allpdb1601_8_16w.pdb 0.333 5.641 2.704 0.42095 Acceptable Acceptable
allpdb1601_8_103w.pdb 0.309 9.785 3.998 0.28736 Acceptable Acceptable
allpdb1601_8_13w.pdb 0.259 8.224 4.122 0.29757 Acceptable Acceptable
allpdb1601_8_28w.pdb 0.358 9.795 4.086 0.30213 Acceptable Acceptable
allpdb1601_8_64w.pdb 0.383 7.977 3.299 0.36191 Acceptable Acceptable
allpdb1601_8_27w.pdb 0.284 6.745 3.138 0.36117 Acceptable Acceptable
allpdb1601_8_9w.pdb 0.247 9.730 4.804 0.25619 Acceptable Acceptable
allpdb1601_8_72w.pdb 0.272 8.528 4.398 0.29140 Acceptable Acceptable
allpdb1601_8_183w.pdb 0.469 4.641 2.252 0.51558 Medium Medium
allpdb1601_8_70w.pdb 0.247 10.316 4.491 0.25055 Incorrect Acceptable
allpdb1601_8_45w.pdb 0.407 7.925 3.206 0.37397 Acceptable Acceptable
allpdb1601_8_59w.pdb 0.210 9.176 4.772 0.25387 Acceptable Acceptable
allpdb1601_8_89w.pdb 0.284 9.401 3.848 0.28855 Acceptable Acceptable
allpdb1601_8_10w.pdb 0.284 9.158 4.556 0.28151 Acceptable Acceptable
allpdb1601_8_185w.pdb 0.457 5.350 2.470 0.48084 Acceptable Acceptable
allpdb1601_8_165w.pdb 0.321 9.611 3.985 0.29467 Acceptable Acceptable
allpdb1601_8_14w.pdb 0.222 10.007 4.328 0.24952 Incorrect Acceptable
allpdb1601_8_18w.pdb 0.148 13.486 6.512 0.16095 Incorrect Incorrect
allpdb1601_8_163w.pdb 0.259 10.606 4.715 0.24741 Incorrect Acceptable
allpdb1601_8_145w.pdb 0.444 6.138 2.718 0.44508 Acceptable Acceptable
allpdb1601_8_1w.pdb 0.210 9.282 4.718 0.25259 Acceptable Acceptable
allpdb1601_8_134w.pdb 0.370 7.514 3.428 0.36415 Acceptable Acceptable
allpdb1601_8_24w.pdb 0.235 9.084 4.317 0.26972 Acceptable Acceptable
allpdb1601_8_19w.pdb 0.284 8.070 3.744 0.31605 Acceptable Acceptable
allpdb1601_8_155w.pdb 0.333 8.273 4.270 0.31890 Acceptable Acceptable
allpdb1601_8_6w.pdb 0.198 10.372 4.649 0.23119 Incorrect Acceptable
allpdb1601_8_121w.pdb 0.395 7.493 2.969 0.38702 Acceptable Acceptable
allpdb1601_8_44w.pdb 0.235 7.305 3.085 0.33363 Acceptable Acceptable
allpdb1601_8_51w.pdb 0.185 11.205 5.689 0.20515 Incorrect Incorrect
allpdb1601_8_30w.pdb 0.309 7.161 3.642 0.34619 Acceptable Acceptable
allpdb1601_8_53w.pdb 0.358 7.326 3.232 0.36967 Acceptable Acceptable
allpdb1601_8_4w.pdb 0.210 8.068 4.091 0.28482 Acceptable Acceptable
allpdb1601_8_50w.pdb 0.296 4.812 2.796 0.42569 Acceptable Acceptable
allpdb1601_8_88w.pdb 0.346 6.582 3.243 0.38235 Acceptable Acceptable
allpdb1601_8_68w.pdb 0.383 6.930 3.139 0.38977 Acceptable Acceptable
allpdb1601_8_194w.pdb 0.346 9.653 3.794 0.30587 Acceptable Acceptable
allpdb1601_8_55w.pdb 0.185 9.684 4.983 0.23448 Acceptable Acceptable
allpdb1601_8_140w.pdb 0.222 10.901 4.404 0.23476 Incorrect Acceptable
allpdb1601_8_35w.pdb 0.222 9.438 4.963 0.25126 Acceptable Acceptable
allpdb1601_8_173w.pdb 0.198 11.181 4.716 0.21855 Incorrect Incorrect
allpdb1601_8_36w.pdb 0.346 5.977 2.967 0.40611 Acceptable Acceptable
allpdb1601_8_172w.pdb 0.494 3.705 1.835 0.57822 Medium Medium
allpdb1601_8_118w.pdb 0.136 11.764 5.902 0.17983 Incorrect Incorrect
allpdb1601_8_138w.pdb 0.321 9.357 3.670 0.30543 Acceptable Acceptable
allpdb1601_8_65w.pdb 0.420 6.465 2.658 0.43160 Acceptable Acceptable
allpdb1601_8_20w.pdb 0.247 8.309 3.598 0.30213 Acceptable Acceptable
allpdb1601_8_149w.pdb 0.272 7.015 4.131 0.32764 Acceptable Acceptable
