#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb1682_2_128w.pdb 0.000 43.384 21.429 0.01395 Incorrect Incorrect
allpdb1682_2_90w.pdb 0.000 43.899 21.722 0.01363 Incorrect Incorrect
allpdb1682_2_57w.pdb 0.000 43.448 21.251 0.01394 Incorrect Incorrect
allpdb1682_2_77w.pdb 0.000 44.176 21.457 0.01352 Incorrect Incorrect
allpdb1682_2_168w.pdb 0.000 43.785 21.554 0.01371 Incorrect Incorrect
allpdb1682_2_200w.pdb 0.000 43.265 21.246 0.01404 Incorrect Incorrect
allpdb1682_2_141w.pdb 0.000 43.680 21.733 0.01374 Incorrect Incorrect
allpdb1682_2_190w.pdb 0.000 43.591 21.484 0.01383 Incorrect Incorrect
allpdb1682_2_167w.pdb 0.000 44.175 21.724 0.01348 Incorrect Incorrect
allpdb1682_2_61w.pdb 0.000 42.258 20.901 0.01467 Incorrect Incorrect
allpdb1682_2_59w.pdb 0.000 43.383 21.546 0.01393 Incorrect Incorrect
allpdb1682_2_25w.pdb 0.000 43.420 21.708 0.01389 Incorrect Incorrect
allpdb1682_2_85w.pdb 0.000 43.577 21.528 0.01383 Incorrect Incorrect
allpdb1682_2_66w.pdb 0.000 43.848 21.658 0.01366 Incorrect Incorrect
allpdb1682_2_123w.pdb 0.000 42.037 21.377 0.01473 Incorrect Incorrect
allpdb1682_2_99w.pdb 0.000 43.180 21.269 0.01408 Incorrect Incorrect
allpdb1682_2_27w.pdb 0.000 43.541 21.900 0.01379 Incorrect Incorrect
allpdb1682_2_82w.pdb 0.000 44.276 22.056 0.01338 Incorrect Incorrect
allpdb1682_2_151w.pdb 0.000 43.735 21.703 0.01372 Incorrect Incorrect
allpdb1682_2_195w.pdb 0.000 43.610 21.917 0.01375 Incorrect Incorrect
allpdb1682_2_165w.pdb 0.000 43.419 21.464 0.01392 Incorrect Incorrect
allpdb1682_2_131w.pdb 0.000 42.219 21.521 0.01460 Incorrect Incorrect
allpdb1682_2_179w.pdb 0.000 42.964 21.357 0.01419 Incorrect Incorrect
allpdb1682_2_192w.pdb 0.000 43.602 21.456 0.01383 Incorrect Incorrect
allpdb1682_2_184w.pdb 0.000 43.096 21.273 0.01413 Incorrect Incorrect
allpdb1682_2_178w.pdb 0.000 43.271 21.541 0.01399 Incorrect Incorrect
allpdb1682_2_96w.pdb 0.000 43.373 21.282 0.01398 Incorrect Incorrect
allpdb1682_2_188w.pdb 0.000 42.698 22.007 0.01425 Incorrect Incorrect
allpdb1682_2_104w.pdb 0.000 43.919 21.763 0.01361 Incorrect Incorrect
allpdb1682_2_189w.pdb 0.000 43.752 21.781 0.01370 Incorrect Incorrect
allpdb1682_2_70w.pdb 0.000 42.234 20.986 0.01467 Incorrect Incorrect
allpdb1682_2_81w.pdb 0.000 43.386 21.283 0.01397 Incorrect Incorrect
allpdb1682_2_146w.pdb 0.000 43.309 21.436 0.01399 Incorrect Incorrect
allpdb1682_2_58w.pdb 0.000 43.787 21.767 0.01368 Incorrect Incorrect
allpdb1682_2_67w.pdb 0.000 43.842 22.016 0.01362 Incorrect Incorrect
allpdb1682_2_107w.pdb 0.000 44.118 21.788 0.01350 Incorrect Incorrect
allpdb1682_2_140w.pdb 0.000 43.323 21.261 0.01401 Incorrect Incorrect
allpdb1682_2_12w.pdb 0.000 42.572 21.045 0.01446 Incorrect Incorrect
allpdb1682_2_138w.pdb 0.000 43.753 21.639 0.01372 Incorrect Incorrect
allpdb1682_2_6w.pdb 0.000 42.871 21.859 0.01417 Incorrect Incorrect
allpdb1682_2_111w.pdb 0.000 43.288 21.558 0.01398 Incorrect Incorrect
allpdb1682_2_72w.pdb 0.000 42.710 21.800 0.01427 Incorrect Incorrect
allpdb1682_2_157w.pdb 0.000 43.012 21.142 0.01420 Incorrect Incorrect
allpdb1682_2_89w.pdb 0.000 43.516 21.529 0.01386 Incorrect Incorrect
allpdb1682_2_112w.pdb 0.000 42.848 21.806 0.01419 Incorrect Incorrect
allpdb1682_2_23w.pdb 0.000 43.757 21.724 0.01370 Incorrect Incorrect
