#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb1682_2_195w.pdb 0.000 48.817 23.235 0.01119 Incorrect Incorrect
allpdb1682_2_111w.pdb 0.000 47.959 22.591 0.01162 Incorrect Incorrect
allpdb1682_2_93w.pdb 0.000 47.808 22.300 0.01172 Incorrect Incorrect
allpdb1682_2_179w.pdb 0.000 47.891 22.749 0.01162 Incorrect Incorrect
allpdb1682_2_187w.pdb 0.000 48.364 23.045 0.01139 Incorrect Incorrect
allpdb1682_2_135w.pdb 0.000 46.756 22.085 0.01219 Incorrect Incorrect
allpdb1682_2_49w.pdb 0.000 48.570 23.091 0.01131 Incorrect Incorrect
allpdb1682_2_106w.pdb 0.000 49.079 23.482 0.01106 Incorrect Incorrect
allpdb1682_2_104w.pdb 0.000 48.945 23.506 0.01111 Incorrect Incorrect
allpdb1682_2_42w.pdb 0.000 47.874 22.335 0.01168 Incorrect Incorrect
allpdb1682_2_28w.pdb 0.000 48.599 23.352 0.01126 Incorrect Incorrect
allpdb1682_2_33w.pdb 0.000 48.627 23.255 0.01126 Incorrect Incorrect
allpdb1682_2_89w.pdb 0.000 47.526 22.291 0.01183 Incorrect Incorrect
allpdb1682_2_156w.pdb 0.000 47.178 22.339 0.01198 Incorrect Incorrect
allpdb1682_2_84w.pdb 0.000 48.553 23.605 0.01125 Incorrect Incorrect
allpdb1682_2_6w.pdb 0.000 47.859 22.926 0.01161 Incorrect Incorrect
allpdb1682_2_68w.pdb 0.000 48.527 23.029 0.01133 Incorrect Incorrect
allpdb1682_2_71w.pdb 0.000 48.229 23.254 0.01142 Incorrect Incorrect
allpdb1682_2_105w.pdb 0.000 48.213 22.992 0.01146 Incorrect Incorrect
allpdb1682_2_17w.pdb 0.000 46.835 22.141 0.01215 Incorrect Incorrect
allpdb1682_2_170w.pdb 0.000 48.202 22.771 0.01149 Incorrect Incorrect
allpdb1682_2_39w.pdb 0.000 48.902 23.357 0.01114 Incorrect Incorrect
allpdb1682_2_25w.pdb 0.000 48.671 23.155 0.01126 Incorrect Incorrect
allpdb1682_2_38w.pdb 0.000 47.994 22.924 0.01156 Incorrect Incorrect
allpdb1682_2_31w.pdb 0.000 49.194 23.587 0.01101 Incorrect Incorrect
allpdb1682_2_174w.pdb 0.000 48.727 22.778 0.01128 Incorrect Incorrect
