#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0696_2_5w.pdb 0.058 30.981 5.354 0.06683 Incorrect Incorrect
allpdb0696_2_4w.pdb 0.077 32.147 5.321 0.07196 Incorrect Incorrect
allpdb0696_2_9w.pdb 0.731 7.010 1.315 0.63049 Medium Medium
allpdb0696_2_1w.pdb 0.058 31.832 5.436 0.06500 Incorrect Incorrect
allpdb0696_2_3w.pdb 0.038 30.333 5.589 0.05949 Incorrect Incorrect
allpdb0696_2_10w.pdb 0.635 5.333 1.341 0.63597 Medium Medium
allpdb0696_2_2w.pdb 0.077 30.764 5.061 0.07620 Incorrect Incorrect
allpdb0696_2_12w.pdb 0.038 33.022 8.399 0.04384 Incorrect Incorrect
allpdb0696_2_29w.pdb 0.038 32.241 8.658 0.04420 Incorrect Incorrect
allpdb0696_2_39w.pdb 0.269 13.603 3.195 0.24355 Acceptable Acceptable
allpdb0696_2_6w.pdb 0.077 28.440 5.277 0.07790 Incorrect Incorrect
allpdb0696_2_25w.pdb 0.038 32.158 8.746 0.04411 Incorrect Incorrect
allpdb0696_2_17w.pdb 0.038 33.067 8.618 0.04328 Incorrect Incorrect
allpdb0696_2_35w.pdb 0.038 32.739 8.631 0.04364 Incorrect Incorrect
allpdb0696_2_7w.pdb 0.096 28.898 5.221 0.08401 Incorrect Incorrect
allpdb0696_2_14w.pdb 0.038 33.153 8.456 0.04355 Incorrect Incorrect
allpdb0696_2_46w.pdb 0.019 30.276 7.908 0.04234 Incorrect Incorrect
allpdb0696_2_50w.pdb 0.019 31.266 8.191 0.04017 Incorrect Incorrect
allpdb0696_2_32w.pdb 0.038 32.467 8.430 0.04443 Incorrect Incorrect
allpdb0696_2_8w.pdb 0.077 27.427 5.140 0.08101 Incorrect Incorrect
allpdb0696_2_23w.pdb 0.038 32.548 8.509 0.04415 Incorrect Incorrect
allpdb0696_2_45w.pdb 0.038 31.935 8.268 0.04549 Incorrect Incorrect
allpdb0696_2_37w.pdb 0.038 31.951 8.502 0.04492 Incorrect Incorrect
