#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0972_2_2w.pdb 0.059 9.486 5.902 0.18828 Incorrect Incorrect
allpdb0972_2_51w.pdb 0.206 8.755 5.049 0.25741 Acceptable Acceptable
allpdb0972_2_23w.pdb 0.000 39.187 24.231 0.01625 Incorrect Incorrect
allpdb0972_2_8w.pdb 0.000 33.745 18.682 0.02202 Incorrect Incorrect
allpdb0972_2_79w.pdb 0.074 10.298 6.259 0.17769 Incorrect Incorrect
allpdb0972_2_63w.pdb 0.029 12.215 7.054 0.13297 Incorrect Incorrect
allpdb0972_2_124w.pdb 0.015 14.291 7.713 0.10416 Incorrect Incorrect
allpdb0972_2_194w.pdb 0.059 25.879 14.089 0.05580 Incorrect Incorrect
allpdb0972_2_10w.pdb 0.066 9.645 6.034 0.18717 Incorrect Incorrect
allpdb0972_2_9w.pdb 0.000 14.629 8.412 0.09440 Incorrect Incorrect
allpdb0972_2_39w.pdb 0.029 11.676 7.054 0.13968 Incorrect Incorrect
allpdb0972_2_29w.pdb 0.022 14.880 7.792 0.10128 Incorrect Incorrect
allpdb0972_2_3w.pdb 0.000 36.368 17.194 0.01978 Incorrect Incorrect
allpdb0972_2_185w.pdb 0.051 11.893 6.851 0.14511 Incorrect Incorrect
allpdb0972_2_160w.pdb 0.000 33.829 20.076 0.02164 Incorrect Incorrect
allpdb0972_2_37w.pdb 0.000 24.517 10.882 0.04198 Incorrect Incorrect
allpdb0972_2_6w.pdb 0.000 44.356 18.066 0.01409 Incorrect Incorrect
allpdb0972_2_119w.pdb 0.037 12.136 7.299 0.13546 Incorrect Incorrect
allpdb0972_2_43w.pdb 0.000 13.239 7.727 0.10940 Incorrect Incorrect
allpdb0972_2_46w.pdb 0.000 35.226 22.543 0.01981 Incorrect Incorrect
allpdb0972_2_167w.pdb 0.000 20.938 9.953 0.05457 Incorrect Incorrect
allpdb0972_2_4w.pdb 0.007 13.962 8.403 0.10288 Incorrect Incorrect
allpdb0972_2_64w.pdb 0.000 38.784 23.143 0.01667 Incorrect Incorrect
allpdb0972_2_25w.pdb 0.074 9.090 5.498 0.20309 Incorrect Incorrect
allpdb0972_2_111w.pdb 0.044 12.222 7.190 0.13727 Incorrect Incorrect
allpdb0972_2_18w.pdb 0.000 39.901 15.390 0.01761 Incorrect Incorrect
allpdb0972_2_24w.pdb 0.103 10.349 6.157 0.18726 Incorrect Incorrect
allpdb0972_2_7w.pdb 0.000 41.403 17.670 0.01587 Incorrect Incorrect
allpdb0972_2_136w.pdb 0.000 34.062 20.489 0.02132 Incorrect Incorrect
allpdb0972_2_48w.pdb 0.000 15.542 8.325 0.08723 Incorrect Incorrect
allpdb0972_2_171w.pdb 0.037 26.608 13.883 0.04697 Incorrect Incorrect
allpdb0972_2_140w.pdb 0.007 14.257 8.298 0.10041 Incorrect Incorrect
allpdb0972_2_19w.pdb 0.000 40.580 17.562 0.01642 Incorrect Incorrect
allpdb0972_2_126w.pdb 0.007 29.175 18.310 0.03075 Incorrect Incorrect
