#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0336_4_32w.pdb 0.074 23.392 11.549 0.06923 Incorrect Incorrect
allpdb0336_4_68w.pdb 0.064 23.895 11.744 0.06407 Incorrect Incorrect
allpdb0336_4_56w.pdb 0.069 23.941 11.870 0.06560 Incorrect Incorrect
allpdb0336_4_145w.pdb 0.069 24.367 12.052 0.06430 Incorrect Incorrect
allpdb0336_4_135w.pdb 0.074 23.464 11.683 0.06890 Incorrect Incorrect
allpdb0336_4_166w.pdb 0.074 23.850 11.797 0.06769 Incorrect Incorrect
allpdb0336_4_44w.pdb 0.059 24.636 12.150 0.05997 Incorrect Incorrect
allpdb0336_4_171w.pdb 0.069 24.680 12.276 0.06330 Incorrect Incorrect
allpdb0336_4_184w.pdb 0.053 24.248 11.893 0.05943 Incorrect Incorrect
allpdb0336_4_186w.pdb 0.080 23.837 11.793 0.06951 Incorrect Incorrect
allpdb0336_4_197w.pdb 0.064 24.343 11.990 0.06264 Incorrect Incorrect
allpdb0336_4_81w.pdb 0.064 24.234 12.019 0.06290 Incorrect Incorrect
allpdb0336_4_35w.pdb 0.053 24.955 12.259 0.05730 Incorrect Incorrect
allpdb0336_4_129w.pdb 0.096 23.017 11.362 0.07763 Incorrect Incorrect
allpdb0336_4_53w.pdb 0.069 24.029 11.913 0.06532 Incorrect Incorrect
allpdb0336_4_15w.pdb 0.059 24.004 11.844 0.06190 Incorrect Incorrect
allpdb0336_4_105w.pdb 0.048 24.432 11.993 0.05708 Incorrect Incorrect
allpdb0336_4_48w.pdb 0.069 25.070 12.445 0.06219 Incorrect Incorrect
allpdb0336_4_21w.pdb 0.043 24.575 12.045 0.05489 Incorrect Incorrect
allpdb0336_4_175w.pdb 0.069 22.884 11.329 0.06921 Incorrect Incorrect
allpdb0336_4_97w.pdb 0.069 23.610 11.641 0.06674 Incorrect Incorrect
allpdb0336_4_6w.pdb 0.064 24.617 12.082 0.06184 Incorrect Incorrect
allpdb0336_4_127w.pdb 0.069 24.196 11.975 0.06482 Incorrect Incorrect
allpdb0336_4_2w.pdb 0.069 23.837 11.768 0.06598 Incorrect Incorrect
allpdb0336_4_42w.pdb 0.080 23.661 11.785 0.07001 Incorrect Incorrect
allpdb0336_4_200w.pdb 0.080 23.495 11.671 0.07059 Incorrect Incorrect
allpdb0336_4_73w.pdb 0.080 23.853 11.793 0.06946 Incorrect Incorrect
allpdb0336_4_10w.pdb 0.074 23.598 11.745 0.06845 Incorrect Incorrect
allpdb0336_4_177w.pdb 0.064 23.892 11.789 0.06404 Incorrect Incorrect
allpdb0336_4_143w.pdb 0.074 24.508 12.000 0.06574 Incorrect Incorrect
allpdb0336_4_38w.pdb 0.074 23.836 11.804 0.06773 Incorrect Incorrect
allpdb0336_4_63w.pdb 0.059 24.520 12.072 0.06033 Incorrect Incorrect
allpdb0336_4_134w.pdb 0.074 24.069 11.808 0.06708 Incorrect Incorrect
allpdb0336_4_164w.pdb 0.064 23.790 11.704 0.06440 Incorrect Incorrect
allpdb0336_4_8w.pdb 0.053 24.542 12.057 0.05851 Incorrect Incorrect
allpdb0336_4_62w.pdb 0.059 24.337 11.910 0.06095 Incorrect Incorrect
allpdb0336_4_193w.pdb 0.090 23.601 11.699 0.07380 Incorrect Incorrect
allpdb0336_4_79w.pdb 0.069 23.867 11.765 0.06590 Incorrect Incorrect
allpdb0336_4_142w.pdb 0.074 23.249 11.552 0.06965 Incorrect Incorrect
allpdb0336_4_106w.pdb 0.074 24.356 12.026 0.06612 Incorrect Incorrect
allpdb0336_4_61w.pdb 0.048 24.830 12.159 0.05592 Incorrect Incorrect
allpdb0336_4_69w.pdb 0.069 23.676 11.744 0.06646 Incorrect Incorrect
