#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb1128_8_7w.pdb 0.843 2.321 0.899 0.83664 High High
allpdb1128_8_44w.pdb 0.627 6.700 2.345 0.51124 Acceptable Medium
allpdb1128_8_79w.pdb 0.831 2.819 0.854 0.82916 High High
allpdb1128_8_6w.pdb 0.687 4.419 1.220 0.69197 Medium Medium
allpdb1128_8_4w.pdb 0.675 2.726 1.012 0.75622 Medium Medium
allpdb1128_8_14w.pdb 0.566 5.058 1.502 0.60134 Medium Medium
allpdb1128_8_2w.pdb 0.096 19.709 6.216 0.10275 Incorrect Incorrect
allpdb1128_8_77w.pdb 0.301 12.269 4.163 0.24681 Incorrect Acceptable
allpdb1128_8_96w.pdb 0.819 3.757 0.952 0.78963 High Medium
allpdb1128_8_3w.pdb 0.277 13.205 4.228 0.22729 Incorrect Incorrect
allpdb1128_8_108w.pdb 0.819 3.344 0.911 0.80532 High High
allpdb1128_8_94w.pdb 0.578 3.265 1.869 0.61386 Medium Medium
allpdb1128_8_1w.pdb 0.133 17.365 5.556 0.13125 Incorrect Incorrect
allpdb1128_8_9w.pdb 0.169 12.446 3.899 0.20523 Acceptable Incorrect
allpdb1128_8_130w.pdb 0.807 3.180 0.915 0.80438 High High
allpdb1128_8_21w.pdb 0.325 10.501 3.464 0.29303 Acceptable Acceptable
allpdb1128_8_105w.pdb 0.530 6.454 1.690 0.53500 Medium Medium
allpdb1128_8_98w.pdb 0.880 2.190 0.759 0.87117 High High
allpdb1128_8_92w.pdb 0.699 4.322 1.196 0.70164 Medium Medium
allpdb1128_8_22w.pdb 0.651 3.359 1.159 0.71390 Medium Medium
allpdb1128_8_155w.pdb 0.602 5.436 1.536 0.60005 Medium Medium
allpdb1128_8_66w.pdb 0.566 3.595 1.875 0.60159 Medium Medium
allpdb1128_8_176w.pdb 0.566 6.759 2.360 0.48887 Acceptable Acceptable
allpdb1128_8_24w.pdb 0.277 12.544 3.906 0.24011 Acceptable Acceptable
allpdb1128_8_39w.pdb 0.771 1.722 0.741 0.84522 High High
allpdb1128_8_93w.pdb 0.373 10.110 2.812 0.33639 Acceptable Acceptable
allpdb1128_8_71w.pdb 0.687 4.076 1.622 0.65360 Medium Medium
allpdb1128_8_33w.pdb 0.337 10.458 3.451 0.29803 Acceptable Acceptable
allpdb1128_8_133w.pdb 0.687 4.917 1.255 0.67476 Medium Medium
