#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb1938_2_20w.pdb 0.235 8.601 3.126 0.30535 Acceptable Acceptable
allpdb1938_2_7w.pdb 0.217 13.188 4.147 0.20886 Incorrect Incorrect
allpdb1938_2_4w.pdb 0.191 11.964 3.954 0.21752 Acceptable Incorrect
allpdb1938_2_112w.pdb 0.313 8.982 2.524 0.34881 Acceptable Acceptable
allpdb1938_2_169w.pdb 0.383 6.151 2.127 0.45704 Acceptable Acceptable
allpdb1938_2_17w.pdb 0.209 10.401 3.564 0.25320 Acceptable Acceptable
allpdb1938_2_24w.pdb 0.252 11.498 3.469 0.25437 Acceptable Acceptable
allpdb1938_2_162w.pdb 0.296 9.441 3.055 0.31251 Acceptable Acceptable
allpdb1938_2_71w.pdb 0.313 6.768 2.347 0.40500 Acceptable Acceptable
allpdb1938_2_10w.pdb 0.217 10.651 3.526 0.25325 Acceptable Acceptable
allpdb1938_2_2w.pdb 0.139 13.585 4.200 0.17786 Incorrect Incorrect
allpdb1938_2_3w.pdb 0.157 10.539 3.675 0.23115 Acceptable Acceptable
allpdb1938_2_133w.pdb 0.296 8.631 2.665 0.34285 Acceptable Acceptable
allpdb1938_2_16w.pdb 0.157 15.292 5.264 0.15589 Incorrect Incorrect
allpdb1938_2_5w.pdb 0.070 18.405 5.473 0.10508 Incorrect Incorrect
allpdb1938_2_59w.pdb 0.174 12.552 3.775 0.20823 Acceptable Incorrect
allpdb1938_2_123w.pdb 0.252 11.251 3.346 0.26096 Acceptable Acceptable
allpdb1938_2_158w.pdb 0.000 61.537 26.677 0.00729 Incorrect Incorrect
allpdb1938_2_1w.pdb 0.043 28.769 9.420 0.04950 Incorrect Incorrect
allpdb1938_2_27w.pdb 0.191 9.590 3.498 0.26221 Acceptable Acceptable
allpdb1938_2_74w.pdb 0.226 13.107 3.708 0.22092 Acceptable Incorrect
allpdb1938_2_148w.pdb 0.270 13.803 3.798 0.22649 Acceptable Incorrect
allpdb1938_2_35w.pdb 0.209 5.761 3.326 0.35430 Acceptable Acceptable
allpdb1938_2_46w.pdb 0.183 7.900 3.267 0.29776 Acceptable Acceptable
allpdb1938_2_192w.pdb 0.235 14.837 4.091 0.20013 Incorrect Incorrect
allpdb1938_2_8w.pdb 0.070 16.408 4.668 0.12491 Incorrect Incorrect
allpdb1938_2_42w.pdb 0.148 14.126 4.727 0.16839 Incorrect Incorrect
allpdb1938_2_33w.pdb 0.165 13.771 4.203 0.18469 Incorrect Incorrect
allpdb1938_2_95w.pdb 0.026 31.965 9.231 0.03928 Incorrect Incorrect
allpdb1938_2_196w.pdb 0.226 9.913 3.221 0.27600 Acceptable Acceptable
allpdb1938_2_40w.pdb 0.026 29.876 9.730 0.04140 Incorrect Incorrect
allpdb1938_2_96w.pdb 0.183 11.072 3.728 0.23091 Acceptable Acceptable
allpdb1938_2_55w.pdb 0.087 23.620 6.651 0.08334 Incorrect Incorrect
allpdb1938_2_38w.pdb 0.200 9.021 3.300 0.28051 Acceptable Acceptable
allpdb1938_2_18w.pdb 0.183 10.369 3.547 0.24541 Acceptable Acceptable
allpdb1938_2_65w.pdb 0.183 12.893 4.094 0.20131 Incorrect Incorrect
allpdb1938_2_168w.pdb 0.226 13.074 3.702 0.22141 Acceptable Incorrect
allpdb1938_2_153w.pdb 0.183 13.482 3.919 0.19828 Acceptable Incorrect
allpdb1938_2_57w.pdb 0.122 12.299 3.928 0.19076 Acceptable Incorrect
allpdb1938_2_94w.pdb 0.087 28.731 7.410 0.06893 Incorrect Incorrect
allpdb1938_2_91w.pdb 0.122 21.815 5.859 0.10502 Incorrect Incorrect
allpdb1938_2_68w.pdb 0.052 22.963 6.240 0.07577 Incorrect Incorrect
allpdb1938_2_104w.pdb 0.174 14.595 3.933 0.18472 Acceptable Incorrect
allpdb1938_2_56w.pdb 0.183 13.787 3.976 0.19421 Acceptable Incorrect
allpdb1938_2_19w.pdb 0.043 29.299 8.327 0.05085 Incorrect Incorrect
allpdb1938_2_106w.pdb 0.165 15.300 4.780 0.16357 Incorrect Incorrect
allpdb1938_2_11w.pdb 0.017 39.122 12.548 0.02552 Incorrect Incorrect
allpdb1938_2_122w.pdb 0.087 24.662 6.360 0.08194 Incorrect Incorrect
allpdb1938_2_36w.pdb 0.052 25.420 7.805 0.06278 Incorrect Incorrect
allpdb1938_2_107w.pdb 0.009 44.704 16.632 0.01722 Incorrect Incorrect
allpdb1938_2_151w.pdb 0.217 16.233 4.506 0.17745 Incorrect Incorrect
allpdb1938_2_22w.pdb 0.165 12.867 3.946 0.19843 Acceptable Incorrect
allpdb1938_2_136w.pdb 0.183 12.268 3.762 0.21471 Acceptable Incorrect
allpdb1938_2_25w.pdb 0.217 9.340 3.781 0.26879 Acceptable Acceptable
allpdb1938_2_13w.pdb 0.017 32.364 8.356 0.03771 Incorrect Incorrect
allpdb1938_2_28w.pdb 0.096 23.180 6.099 0.09041 Incorrect Incorrect
allpdb1938_2_161w.pdb 0.017 33.012 10.895 0.03272 Incorrect Incorrect
allpdb1938_2_34w.pdb 0.183 16.261 4.357 0.16772 Incorrect Incorrect
allpdb1938_2_30w.pdb 0.087 17.644 6.020 0.11126 Incorrect Incorrect
allpdb1938_2_134w.pdb 0.130 12.125 4.761 0.18341 Incorrect Incorrect
allpdb1938_2_12w.pdb 0.148 12.457 4.197 0.19292 Incorrect Incorrect
allpdb1938_2_51w.pdb 0.000 52.042 17.610 0.01106 Incorrect Incorrect
allpdb1938_2_180w.pdb 0.000 68.000 18.313 0.00735 Incorrect Incorrect
allpdb1938_2_130w.pdb 0.096 23.754 6.461 0.08677 Incorrect Incorrect
allpdb1938_2_90w.pdb 0.148 13.059 3.796 0.19350 Acceptable Incorrect
allpdb1938_2_98w.pdb 0.191 14.675 4.265 0.18420 Incorrect Incorrect
allpdb1938_2_63w.pdb 0.122 15.840 4.464 0.14892 Incorrect Incorrect
allpdb1938_2_93w.pdb 0.070 16.368 5.998 0.11361 Incorrect Incorrect
allpdb1938_2_100w.pdb 0.191 14.039 4.113 0.19232 Incorrect Incorrect
allpdb1938_2_14w.pdb 0.122 13.233 5.762 0.15910 Incorrect Incorrect
allpdb1938_2_61w.pdb 0.174 6.689 3.375 0.31881 Acceptable Acceptable
allpdb1938_2_132w.pdb 0.148 15.584 5.125 0.15200 Incorrect Incorrect
allpdb1938_2_54w.pdb 0.130 9.857 3.510 0.23711 Acceptable Acceptable
allpdb1938_2_120w.pdb 0.165 15.609 4.252 0.16820 Incorrect Incorrect
allpdb1938_2_86w.pdb 0.139 17.102 4.976 0.14018 Incorrect Incorrect
allpdb1938_2_193w.pdb 0.174 16.936 5.386 0.14904 Incorrect Incorrect
allpdb1938_2_45w.pdb 0.043 34.327 9.381 0.04206 Incorrect Incorrect
allpdb1938_2_118w.pdb 0.148 13.067 3.804 0.19323 Acceptable Incorrect
allpdb1938_2_83w.pdb 0.104 22.753 6.251 0.09376 Incorrect Incorrect
allpdb1938_2_121w.pdb 0.061 34.327 9.920 0.04700 Incorrect Incorrect
allpdb1938_2_23w.pdb 0.130 12.335 4.014 0.19164 Incorrect Incorrect
allpdb1938_2_154w.pdb 0.096 30.502 7.668 0.06819 Incorrect Incorrect
allpdb1938_2_152w.pdb 0.235 11.261 3.581 0.24901 Acceptable Acceptable
allpdb1938_2_109w.pdb 0.035 19.171 5.253 0.09148 Incorrect Incorrect
allpdb1938_2_47w.pdb 0.000 39.813 11.554 0.02006 Incorrect Incorrect
allpdb1938_2_126w.pdb 0.026 37.106 10.627 0.03183 Incorrect Incorrect
allpdb1938_2_113w.pdb 0.174 9.866 4.504 0.23325 Acceptable Acceptable
allpdb1938_2_9w.pdb 0.122 10.036 4.064 0.21977 Incorrect Incorrect
allpdb1938_2_92w.pdb 0.165 6.443 3.474 0.31916 Acceptable Acceptable
allpdb1938_2_194w.pdb 0.035 31.778 8.778 0.04331 Incorrect Incorrect
allpdb1938_2_117w.pdb 0.139 14.112 4.225 0.17243 Incorrect Incorrect
