#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0234_4_30w.pdb 0.282 6.881 3.056 0.36006 Acceptable Acceptable
allpdb0234_4_40w.pdb 0.309 6.589 3.025 0.37684 Acceptable Acceptable
allpdb0234_4_23w.pdb 0.282 6.900 3.291 0.35223 Acceptable Acceptable
allpdb0234_4_7w.pdb 0.293 6.082 2.711 0.39609 Acceptable Acceptable
allpdb0234_4_24w.pdb 0.261 6.768 2.963 0.35890 Acceptable Acceptable
allpdb0234_4_5w.pdb 0.277 6.702 3.107 0.36075 Acceptable Acceptable
allpdb0234_4_186w.pdb 0.245 6.967 3.151 0.34252 Acceptable Acceptable
allpdb0234_4_10w.pdb 0.266 6.876 3.067 0.35446 Acceptable Acceptable
allpdb0234_4_18w.pdb 0.277 5.905 2.605 0.40001 Acceptable Acceptable
allpdb0234_4_25w.pdb 0.250 7.137 3.356 0.33434 Acceptable Acceptable
allpdb0234_4_14w.pdb 0.266 7.096 3.215 0.34467 Acceptable Acceptable
allpdb0234_4_17w.pdb 0.282 6.183 2.825 0.38526 Acceptable Acceptable
allpdb0234_4_13w.pdb 0.298 6.831 3.157 0.36321 Acceptable Acceptable
allpdb0234_4_12w.pdb 0.266 7.244 3.380 0.33661 Acceptable Acceptable
allpdb0234_4_151w.pdb 0.255 5.949 2.807 0.38288 Acceptable Acceptable
allpdb0234_4_31w.pdb 0.271 7.039 3.058 0.35282 Acceptable Acceptable
allpdb0234_4_82w.pdb 0.250 4.906 2.601 0.41657 Acceptable Acceptable
allpdb0234_4_53w.pdb 0.245 6.107 2.868 0.37302 Acceptable Acceptable
allpdb0234_4_20w.pdb 0.229 7.111 3.211 0.33205 Acceptable Acceptable
allpdb0234_4_19w.pdb 0.234 7.036 3.232 0.33488 Acceptable Acceptable
allpdb0234_4_41w.pdb 0.250 7.343 3.311 0.33097 Acceptable Acceptable
allpdb0234_4_39w.pdb 0.234 8.083 3.527 0.30412 Acceptable Acceptable
allpdb0234_4_1w.pdb 0.245 6.697 3.122 0.34974 Acceptable Acceptable
allpdb0234_4_22w.pdb 0.250 7.320 3.223 0.33406 Acceptable Acceptable
allpdb0234_4_61w.pdb 0.213 7.241 3.329 0.32033 Acceptable Acceptable
allpdb0234_4_180w.pdb 0.234 7.511 3.428 0.31876 Acceptable Acceptable
allpdb0234_4_44w.pdb 0.250 6.648 3.109 0.35308 Acceptable Acceptable
allpdb0234_4_36w.pdb 0.266 7.502 3.394 0.33051 Acceptable Acceptable
allpdb0234_4_43w.pdb 0.250 6.004 2.737 0.38271 Acceptable Acceptable
allpdb0234_4_137w.pdb 0.234 6.769 3.281 0.33963 Acceptable Acceptable
allpdb0234_4_26w.pdb 0.229 6.620 3.042 0.34890 Acceptable Acceptable
allpdb0234_4_155w.pdb 0.234 7.243 3.388 0.32577 Acceptable Acceptable
allpdb0234_4_130w.pdb 0.213 6.848 3.323 0.32947 Acceptable Acceptable
allpdb0234_4_45w.pdb 0.255 6.685 3.020 0.35701 Acceptable Acceptable
allpdb0234_4_63w.pdb 0.255 6.576 3.043 0.35879 Acceptable Acceptable
allpdb0234_4_89w.pdb 0.213 8.441 3.867 0.28234 Acceptable Acceptable
allpdb0234_4_8w.pdb 0.207 7.705 3.456 0.30496 Acceptable Acceptable
allpdb0234_4_3w.pdb 0.261 6.500 3.004 0.36376 Acceptable Acceptable
allpdb0234_4_56w.pdb 0.223 7.263 3.448 0.32017 Acceptable Acceptable
allpdb0234_4_6w.pdb 0.207 6.781 3.126 0.33525 Acceptable Acceptable
allpdb0234_4_79w.pdb 0.223 6.739 3.243 0.33790 Acceptable Acceptable
allpdb0234_4_34w.pdb 0.239 6.312 3.014 0.36079 Acceptable Acceptable
allpdb0234_4_42w.pdb 0.223 7.104 3.289 0.32811 Acceptable Acceptable
allpdb0234_4_50w.pdb 0.202 6.622 3.081 0.33867 Acceptable Acceptable
allpdb0234_4_57w.pdb 0.218 5.917 2.754 0.37349 Acceptable Acceptable
allpdb0234_4_111w.pdb 0.213 6.361 3.206 0.34446 Acceptable Acceptable
allpdb0234_4_113w.pdb 0.186 8.242 3.763 0.27956 Acceptable Acceptable
allpdb0234_4_129w.pdb 0.213 7.289 3.397 0.31740 Acceptable Acceptable
allpdb0234_4_194w.pdb 0.223 5.426 2.659 0.39174 Acceptable Acceptable
allpdb0234_4_33w.pdb 0.218 6.217 2.991 0.35686 Acceptable Acceptable
allpdb0234_4_58w.pdb 0.234 6.735 3.020 0.34875 Acceptable Acceptable
allpdb0234_4_175w.pdb 0.202 8.382 3.737 0.28263 Acceptable Acceptable
allpdb0234_4_16w.pdb 0.181 8.006 3.647 0.28514 Acceptable Acceptable
allpdb0234_4_72w.pdb 0.117 19.497 8.147 0.10317 Incorrect Incorrect
allpdb0234_4_189w.pdb 0.117 19.592 8.465 0.10196 Incorrect Incorrect
allpdb0234_4_105w.pdb 0.090 27.789 12.177 0.06364 Incorrect Incorrect
allpdb0234_4_37w.pdb 0.213 8.099 3.614 0.29462 Acceptable Acceptable
allpdb0234_4_104w.pdb 0.112 18.242 7.785 0.10863 Incorrect Incorrect
allpdb0234_4_188w.pdb 0.186 7.765 3.657 0.29176 Acceptable Acceptable
allpdb0234_4_84w.pdb 0.106 20.860 8.643 0.09267 Incorrect Incorrect
allpdb0234_4_67w.pdb 0.186 8.019 3.668 0.28618 Acceptable Acceptable
allpdb0234_4_2w.pdb 0.207 6.053 2.834 0.36328 Acceptable Acceptable
allpdb0234_4_35w.pdb 0.234 6.539 3.075 0.35149 Acceptable Acceptable
allpdb0234_4_135w.pdb 0.218 6.044 2.827 0.36730 Acceptable Acceptable
allpdb0234_4_116w.pdb 0.117 20.440 8.639 0.09791 Incorrect Incorrect
allpdb0234_4_11w.pdb 0.218 6.150 3.008 0.35787 Acceptable Acceptable
allpdb0234_4_199w.pdb 0.207 7.315 3.580 0.31044 Acceptable Acceptable
allpdb0234_4_88w.pdb 0.122 19.682 8.265 0.10381 Incorrect Incorrect
allpdb0234_4_139w.pdb 0.202 6.975 3.425 0.32022 Acceptable Acceptable
allpdb0234_4_110w.pdb 0.170 6.985 3.388 0.31033 Acceptable Acceptable
allpdb0234_4_197w.pdb 0.128 20.467 8.510 0.10163 Incorrect Incorrect
allpdb0234_4_102w.pdb 0.112 19.463 8.214 0.10138 Incorrect Incorrect
allpdb0234_4_190w.pdb 0.197 7.949 3.772 0.28895 Acceptable Acceptable
allpdb0234_4_94w.pdb 0.090 19.769 8.247 0.09283 Incorrect Incorrect
allpdb0234_4_59w.pdb 0.101 21.026 8.739 0.09005 Incorrect Incorrect
allpdb0234_4_9w.pdb 0.197 7.145 3.320 0.31742 Acceptable Acceptable
allpdb0234_4_170w.pdb 0.106 20.641 8.838 0.09312 Incorrect Incorrect
allpdb0234_4_96w.pdb 0.096 19.975 8.370 0.09339 Incorrect Incorrect
allpdb0234_4_97w.pdb 0.202 7.969 3.675 0.29239 Acceptable Acceptable
allpdb0234_4_114w.pdb 0.112 20.466 8.770 0.09575 Incorrect Incorrect
allpdb0234_4_177w.pdb 0.106 19.959 8.243 0.09732 Incorrect Incorrect
allpdb0234_4_158w.pdb 0.197 5.636 2.809 0.37110 Acceptable Acceptable
allpdb0234_4_178w.pdb 0.191 8.293 3.866 0.27821 Acceptable Acceptable
allpdb0234_4_15w.pdb 0.186 5.913 2.861 0.35853 Acceptable Acceptable
allpdb0234_4_101w.pdb 0.080 18.500 7.536 0.09740 Incorrect Incorrect
allpdb0234_4_132w.pdb 0.106 20.187 8.257 0.09631 Incorrect Incorrect
allpdb0234_4_142w.pdb 0.186 7.733 3.750 0.29042 Acceptable Acceptable
allpdb0234_4_70w.pdb 0.112 19.507 8.099 0.10148 Incorrect Incorrect
allpdb0234_4_128w.pdb 0.112 20.996 8.814 0.09355 Incorrect Incorrect
allpdb0234_4_76w.pdb 0.101 21.566 8.820 0.08788 Incorrect Incorrect
allpdb0234_4_176w.pdb 0.112 21.878 9.122 0.08973 Incorrect Incorrect
allpdb0234_4_195w.pdb 0.096 18.660 7.818 0.10103 Incorrect Incorrect
allpdb0234_4_162w.pdb 0.085 20.254 8.392 0.08860 Incorrect Incorrect
allpdb0234_4_117w.pdb 0.112 18.780 7.855 0.10564 Incorrect Incorrect
allpdb0234_4_62w.pdb 0.096 21.089 8.782 0.08795 Incorrect Incorrect
allpdb0234_4_161w.pdb 0.106 20.110 8.269 0.09661 Incorrect Incorrect
allpdb0234_4_200w.pdb 0.112 19.539 8.259 0.10092 Incorrect Incorrect
allpdb0234_4_100w.pdb 0.106 18.858 7.920 0.10329 Incorrect Incorrect
allpdb0234_4_74w.pdb 0.085 20.802 8.556 0.08600 Incorrect Incorrect
allpdb0234_4_124w.pdb 0.165 7.684 3.666 0.28619 Acceptable Acceptable
allpdb0234_4_141w.pdb 0.101 19.513 8.085 0.09794 Incorrect Incorrect
allpdb0234_4_196w.pdb 0.106 21.669 8.970 0.08898 Incorrect Incorrect
allpdb0234_4_21w.pdb 0.160 7.999 3.611 0.27901 Acceptable Acceptable
allpdb0234_4_80w.pdb 0.101 18.325 7.672 0.10498 Incorrect Incorrect
allpdb0234_4_27w.pdb 0.165 8.058 3.771 0.27605 Acceptable Acceptable
allpdb0234_4_181w.pdb 0.160 7.931 3.802 0.27630 Acceptable Acceptable
allpdb0234_4_138w.pdb 0.085 19.628 8.218 0.09176 Incorrect Incorrect
allpdb0234_4_184w.pdb 0.096 20.140 8.376 0.09267 Incorrect Incorrect
allpdb0234_4_164w.pdb 0.080 21.827 9.020 0.07946 Incorrect Incorrect
allpdb0234_4_182w.pdb 0.128 21.423 9.032 0.09684 Incorrect Incorrect
allpdb0234_4_99w.pdb 0.112 21.548 9.056 0.09102 Incorrect Incorrect
allpdb0234_4_106w.pdb 0.101 21.790 9.037 0.08665 Incorrect Incorrect
allpdb0234_4_87w.pdb 0.064 22.231 9.203 0.07242 Incorrect Incorrect
allpdb0234_4_90w.pdb 0.080 21.684 9.041 0.07992 Incorrect Incorrect
allpdb0234_4_179w.pdb 0.101 21.116 8.955 0.08927 Incorrect Incorrect
allpdb0234_4_92w.pdb 0.122 20.112 8.455 0.10147 Incorrect Incorrect
allpdb0234_4_112w.pdb 0.096 20.281 8.416 0.09198 Incorrect Incorrect
allpdb0234_4_4w.pdb 0.176 7.096 3.369 0.31010 Acceptable Acceptable
allpdb0234_4_109w.pdb 0.128 18.082 7.629 0.11529 Incorrect Incorrect
allpdb0234_4_166w.pdb 0.117 19.557 8.132 0.10294 Incorrect Incorrect
allpdb0234_4_91w.pdb 0.090 21.045 8.793 0.08632 Incorrect Incorrect
allpdb0234_4_150w.pdb 0.090 21.482 8.916 0.08444 Incorrect Incorrect
