#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb1601_8_192w.pdb 0.654 2.373 1.447 0.70002 Medium Medium
allpdb1601_8_187w.pdb 0.617 2.767 1.560 0.66729 Medium Medium
allpdb1601_8_126w.pdb 0.506 5.525 2.846 0.47554 Acceptable Acceptable
allpdb1601_8_54w.pdb 0.407 8.071 3.965 0.35282 Acceptable Acceptable
allpdb1601_8_119w.pdb 0.519 4.506 2.248 0.53577 Medium Medium
allpdb1601_8_193w.pdb 0.469 7.321 3.005 0.41426 Acceptable Acceptable
allpdb1601_8_123w.pdb 0.457 7.181 2.972 0.41443 Acceptable Acceptable
allpdb1601_8_116w.pdb 0.420 5.500 2.953 0.44325 Acceptable Acceptable
allpdb1601_8_72w.pdb 0.358 10.712 4.806 0.27772 Incorrect Acceptable
allpdb1601_8_124w.pdb 0.494 6.600 2.960 0.44069 Acceptable Acceptable
allpdb1601_8_26w.pdb 0.370 6.304 2.828 0.41169 Acceptable Acceptable
allpdb1601_8_16w.pdb 0.333 9.591 4.849 0.28687 Acceptable Acceptable
allpdb1601_8_25w.pdb 0.457 7.326 3.796 0.38854 Acceptable Acceptable
allpdb1601_8_50w.pdb 0.432 5.122 2.592 0.47222 Acceptable Acceptable
allpdb1601_8_109w.pdb 0.395 8.702 4.464 0.32826 Acceptable Acceptable
allpdb1601_8_78w.pdb 0.444 5.701 2.648 0.45903 Acceptable Acceptable
allpdb1601_8_131w.pdb 0.457 5.222 2.428 0.48634 Acceptable Acceptable
allpdb1601_8_75w.pdb 0.481 4.094 2.033 0.54858 Medium Medium
allpdb1601_8_107w.pdb 0.420 5.991 3.000 0.42928 Acceptable Acceptable
allpdb1601_8_170w.pdb 0.444 6.401 2.784 0.43588 Acceptable Acceptable
allpdb1601_8_87w.pdb 0.481 3.593 2.144 0.55282 Medium Medium
allpdb1601_8_81w.pdb 0.420 7.594 3.439 0.37856 Acceptable Acceptable
allpdb1601_8_162w.pdb 0.494 6.553 2.660 0.45411 Acceptable Acceptable
allpdb1601_8_60w.pdb 0.481 5.128 2.229 0.50881 Acceptable Medium
allpdb1601_8_80w.pdb 0.432 5.864 3.028 0.43556 Acceptable Acceptable
allpdb1601_8_175w.pdb 0.481 8.418 3.437 0.38210 Acceptable Acceptable
allpdb1601_8_13w.pdb 0.296 8.521 4.294 0.30126 Acceptable Acceptable
allpdb1601_8_142w.pdb 0.494 7.071 2.944 0.43030 Acceptable Acceptable
allpdb1601_8_133w.pdb 0.420 5.496 2.311 0.47378 Acceptable Acceptable
allpdb1601_8_91w.pdb 0.395 6.762 3.090 0.39941 Acceptable Acceptable
allpdb1601_8_41w.pdb 0.519 6.150 2.891 0.46233 Acceptable Acceptable
allpdb1601_8_19w.pdb 0.358 7.646 3.435 0.35699 Acceptable Acceptable
allpdb1601_8_156w.pdb 0.444 4.674 2.173 0.51169 Medium Medium
allpdb1601_8_159w.pdb 0.481 4.413 1.987 0.54408 Medium Medium
allpdb1601_8_36w.pdb 0.420 6.663 3.310 0.40317 Acceptable Acceptable
allpdb1601_8_130w.pdb 0.457 6.485 2.863 0.43474 Acceptable Acceptable
allpdb1601_8_180w.pdb 0.593 2.361 1.410 0.68396 Medium Medium
allpdb1601_8_168w.pdb 0.457 5.488 2.638 0.46897 Acceptable Acceptable
allpdb1601_8_11w.pdb 0.284 7.927 4.063 0.31292 Acceptable Acceptable
allpdb1601_8_38w.pdb 0.346 6.815 3.066 0.38252 Acceptable Acceptable
allpdb1601_8_28w.pdb 0.383 7.178 3.021 0.38808 Acceptable Acceptable
