#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0993_2_81w.pdb 0.000 43.979 12.299 0.01689 Incorrect Incorrect
allpdb0993_2_172w.pdb 0.045 41.468 11.281 0.03438 Incorrect Incorrect
allpdb0993_2_121w.pdb 0.000 46.346 11.965 0.01601 Incorrect Incorrect
allpdb0993_2_108w.pdb 0.045 40.294 10.796 0.03567 Incorrect Incorrect
allpdb0993_2_5w.pdb 0.591 5.275 2.550 0.52330 Acceptable Medium
allpdb0993_2_12w.pdb 0.318 15.383 3.667 0.23182 Acceptable Acceptable
allpdb0993_2_136w.pdb 0.000 45.724 12.841 0.01562 Incorrect Incorrect
allpdb0993_2_7w.pdb 0.727 5.486 1.896 0.60609 Medium Medium
allpdb0993_2_182w.pdb 0.000 44.812 12.425 0.01636 Incorrect Incorrect
allpdb0993_2_135w.pdb 0.000 46.225 12.546 0.01560 Incorrect Incorrect
allpdb0993_2_190w.pdb 0.045 40.716 10.910 0.03526 Incorrect Incorrect
allpdb0993_2_95w.pdb 0.318 20.501 5.789 0.17593 Incorrect Incorrect
allpdb0993_2_198w.pdb 0.000 45.519 11.609 0.01671 Incorrect Incorrect
allpdb0993_2_142w.pdb 0.000 44.793 11.858 0.01684 Incorrect Incorrect
allpdb0993_2_126w.pdb 0.000 43.166 11.661 0.01787 Incorrect Incorrect
allpdb0993_2_145w.pdb 0.000 46.257 11.891 0.01611 Incorrect Incorrect
allpdb0993_2_140w.pdb 0.000 45.766 11.621 0.01658 Incorrect Incorrect
allpdb0993_2_165w.pdb 0.000 45.759 11.655 0.01655 Incorrect Incorrect
allpdb0993_2_152w.pdb 0.000 45.957 11.751 0.01637 Incorrect Incorrect
allpdb0993_2_111w.pdb 0.045 39.425 10.729 0.03635 Incorrect Incorrect
allpdb0993_2_128w.pdb 0.045 40.908 11.136 0.03489 Incorrect Incorrect
allpdb0993_2_129w.pdb 0.000 41.925 11.648 0.01860 Incorrect Incorrect
allpdb0993_2_110w.pdb 0.000 46.299 12.607 0.01552 Incorrect Incorrect
allpdb0993_2_160w.pdb 0.045 40.354 10.781 0.03564 Incorrect Incorrect
allpdb0993_2_82w.pdb 0.000 41.426 11.206 0.01933 Incorrect Incorrect
allpdb0993_2_194w.pdb 0.000 46.097 12.047 0.01605 Incorrect Incorrect
allpdb0993_2_19w.pdb 0.227 16.410 8.409 0.15655 Incorrect Incorrect
allpdb0993_2_4w.pdb 0.636 3.697 2.074 0.60688 Medium Medium
allpdb0993_2_112w.pdb 0.000 44.903 12.313 0.01641 Incorrect Incorrect
allpdb0993_2_193w.pdb 0.091 37.079 10.016 0.05426 Incorrect Incorrect
allpdb0993_2_183w.pdb 0.045 41.557 11.293 0.03432 Incorrect Incorrect
allpdb0993_2_150w.pdb 0.000 47.393 12.191 0.01536 Incorrect Incorrect
allpdb0993_2_80w.pdb 0.000 47.071 11.796 0.01583 Incorrect Incorrect
allpdb0993_2_6w.pdb 0.909 4.028 1.762 0.71528 Medium Medium
allpdb0993_2_99w.pdb 0.045 39.752 10.567 0.03631 Incorrect Incorrect
allpdb0993_2_22w.pdb 0.455 12.620 2.970 0.32330 Acceptable Acceptable
allpdb0993_2_148w.pdb 0.045 41.145 11.327 0.03454 Incorrect Incorrect
allpdb0993_2_180w.pdb 0.000 43.686 10.960 0.01829 Incorrect Incorrect
allpdb0993_2_97w.pdb 0.045 40.236 10.855 0.03564 Incorrect Incorrect
allpdb0993_2_13w.pdb 0.273 10.676 3.008 0.28662 Acceptable Acceptable
allpdb0993_2_85w.pdb 0.000 46.324 12.275 0.01576 Incorrect Incorrect
allpdb0993_2_130w.pdb 0.000 46.739 12.011 0.01579 Incorrect Incorrect
allpdb0993_2_137w.pdb 0.045 44.748 11.875 0.03199 Incorrect Incorrect
allpdb0993_2_195w.pdb 0.136 35.004 11.029 0.07007 Incorrect Incorrect
allpdb0993_2_101w.pdb 0.045 40.227 10.813 0.03569 Incorrect Incorrect
allpdb0993_2_170w.pdb 0.091 30.743 9.721 0.06173 Incorrect Incorrect
allpdb0993_2_123w.pdb 0.045 41.010 11.133 0.03482 Incorrect Incorrect
allpdb0993_2_115w.pdb 0.091 22.120 8.942 0.08231 Incorrect Incorrect
allpdb0993_2_143w.pdb 0.091 23.401 8.465 0.07930 Incorrect Incorrect
allpdb0993_2_147w.pdb 0.000 44.808 12.108 0.01662 Incorrect Incorrect
allpdb0993_2_131w.pdb 0.091 22.974 7.846 0.08219 Incorrect Incorrect
allpdb0993_2_113w.pdb 0.091 28.447 11.691 0.06302 Incorrect Incorrect
allpdb0993_2_164w.pdb 0.045 45.099 11.821 0.03187 Incorrect Incorrect
allpdb0993_2_117w.pdb 0.000 41.742 11.193 0.01915 Incorrect Incorrect
allpdb0993_2_174w.pdb 0.000 42.901 11.837 0.01786 Incorrect Incorrect
allpdb0993_2_29w.pdb 0.636 3.497 1.500 0.66386 Medium Medium
allpdb0993_2_139w.pdb 0.000 46.467 11.961 0.01595 Incorrect Incorrect
allpdb0993_2_68w.pdb 0.045 44.808 12.314 0.03160 Incorrect Incorrect
allpdb0993_2_92w.pdb 0.182 23.460 8.426 0.10952 Incorrect Incorrect
allpdb0993_2_132w.pdb 0.045 42.299 11.597 0.03357 Incorrect Incorrect
allpdb0993_2_17w.pdb 0.182 13.884 3.084 0.21526 Acceptable Incorrect
allpdb0993_2_114w.pdb 0.000 46.484 13.055 0.01513 Incorrect Incorrect
allpdb0993_2_192w.pdb 0.000 45.008 11.413 0.01714 Incorrect Incorrect
allpdb0993_2_169w.pdb 0.000 34.332 10.666 0.02572 Incorrect Incorrect
allpdb0993_2_154w.pdb 0.000 50.210 12.373 0.01412 Incorrect Incorrect
allpdb0993_2_89w.pdb 0.000 46.089 11.826 0.01624 Incorrect Incorrect
allpdb0993_2_109w.pdb 0.000 45.238 12.498 0.01610 Incorrect Incorrect
allpdb0993_2_11w.pdb 0.182 15.347 8.302 0.14939 Incorrect Incorrect
allpdb0993_2_187w.pdb 0.091 37.346 10.172 0.05381 Incorrect Incorrect
allpdb0993_2_74w.pdb 0.000 44.722 12.427 0.01641 Incorrect Incorrect
allpdb0993_2_163w.pdb 0.000 47.492 11.923 0.01554 Incorrect Incorrect
allpdb0993_2_40w.pdb 0.091 27.300 7.641 0.07213 Incorrect Incorrect
allpdb0993_2_186w.pdb 0.045 41.370 11.314 0.03441 Incorrect Incorrect
allpdb0993_2_105w.pdb 0.000 45.902 11.490 0.01664 Incorrect Incorrect
allpdb0993_2_149w.pdb 0.045 20.654 7.974 0.07482 Incorrect Incorrect
allpdb0993_2_16w.pdb 0.182 14.051 3.423 0.20360 Acceptable Incorrect
allpdb0993_2_34w.pdb 0.045 30.829 15.397 0.04183 Incorrect Incorrect
allpdb0993_2_156w.pdb 0.091 31.090 10.078 0.06071 Incorrect Incorrect
allpdb0993_2_78w.pdb 0.000 44.169 11.935 0.01709 Incorrect Incorrect
allpdb0993_2_79w.pdb 0.045 42.454 11.626 0.03346 Incorrect Incorrect
allpdb0993_2_21w.pdb 0.409 5.717 2.605 0.44889 Acceptable Acceptable
allpdb0993_2_116w.pdb 0.227 23.826 6.815 0.12879 Incorrect Incorrect
allpdb0993_2_184w.pdb 0.045 38.335 10.634 0.03727 Incorrect Incorrect
allpdb0993_2_106w.pdb 0.000 48.182 12.882 0.01452 Incorrect Incorrect
allpdb0993_2_8w.pdb 0.000 15.052 8.272 0.09121 Incorrect Incorrect
allpdb0993_2_45w.pdb 0.045 25.905 7.097 0.06180 Incorrect Incorrect
allpdb0993_2_88w.pdb 0.000 41.465 11.279 0.01924 Incorrect Incorrect
allpdb0993_2_1w.pdb 0.273 8.636 3.744 0.30104 Acceptable Acceptable
allpdb0993_2_185w.pdb 0.045 31.408 10.101 0.04509 Incorrect Incorrect
allpdb0993_2_141w.pdb 0.045 44.632 12.031 0.03192 Incorrect Incorrect
allpdb0993_2_125w.pdb 0.227 25.142 7.149 0.12400 Incorrect Incorrect
allpdb0993_2_20w.pdb 0.318 11.850 2.698 0.29802 Acceptable Acceptable
allpdb0993_2_179w.pdb 0.000 62.118 19.418 0.00810 Incorrect Incorrect
allpdb0993_2_30w.pdb 0.273 6.568 2.157 0.40824 Acceptable Acceptable
allpdb0993_2_159w.pdb 0.182 23.259 8.403 0.11017 Incorrect Incorrect
allpdb0993_2_144w.pdb 0.091 29.961 8.801 0.06454 Incorrect Incorrect
allpdb0993_2_168w.pdb 0.273 19.257 5.863 0.16574 Incorrect Incorrect
allpdb0993_2_166w.pdb 0.091 30.543 10.158 0.06138 Incorrect Incorrect
allpdb0993_2_9w.pdb 0.091 22.610 6.921 0.08654 Incorrect Incorrect
allpdb0993_2_62w.pdb 0.182 12.369 5.120 0.19388 Incorrect Incorrect
allpdb0993_2_161w.pdb 0.000 46.042 11.574 0.01649 Incorrect Incorrect
allpdb0993_2_66w.pdb 0.000 45.286 12.391 0.01616 Incorrect Incorrect
allpdb0993_2_102w.pdb 0.227 18.868 6.210 0.15037 Incorrect Incorrect
allpdb0993_2_24w.pdb 0.182 23.410 7.439 0.11246 Incorrect Incorrect
allpdb0993_2_48w.pdb 0.136 22.811 13.185 0.09036 Incorrect Incorrect
allpdb0993_2_199w.pdb 0.091 24.339 6.931 0.08145 Incorrect Incorrect
allpdb0993_2_25w.pdb 0.182 24.625 7.799 0.10798 Incorrect Incorrect
allpdb0993_2_189w.pdb 0.136 28.424 8.455 0.08299 Incorrect Incorrect
allpdb0993_2_73w.pdb 0.091 14.252 3.257 0.17610 Incorrect Incorrect
allpdb0993_2_103w.pdb 0.000 30.025 12.283 0.02963 Incorrect Incorrect
allpdb0993_2_127w.pdb 0.000 48.866 13.241 0.01401 Incorrect Incorrect
allpdb0993_2_38w.pdb 0.136 25.420 7.725 0.09109 Incorrect Incorrect
allpdb0993_2_197w.pdb 0.000 50.609 13.292 0.01334 Incorrect Incorrect
allpdb0993_2_46w.pdb 0.136 23.772 7.235 0.09698 Incorrect Incorrect
allpdb0993_2_43w.pdb 0.136 24.923 7.237 0.09392 Incorrect Incorrect
allpdb0993_2_157w.pdb 0.000 61.763 18.015 0.00849 Incorrect Incorrect
allpdb0993_2_181w.pdb 0.000 47.965 11.880 0.01538 Incorrect Incorrect
allpdb0993_2_173w.pdb 0.136 23.991 8.014 0.09391 Incorrect Incorrect
allpdb0993_2_167w.pdb 0.045 40.330 11.626 0.03479 Incorrect Incorrect
allpdb0993_2_3w.pdb 0.182 9.918 5.047 0.22881 Acceptable Incorrect
allpdb0993_2_10w.pdb 0.091 15.789 8.424 0.11544 Incorrect Incorrect
allpdb0993_2_104w.pdb 0.000 51.726 13.287 0.01296 Incorrect Incorrect
allpdb0993_2_93w.pdb 0.000 51.992 13.794 0.01257 Incorrect Incorrect
allpdb0993_2_96w.pdb 0.000 61.366 21.580 0.00788 Incorrect Incorrect
allpdb0993_2_70w.pdb 0.000 45.768 12.749 0.01566 Incorrect Incorrect
allpdb0993_2_28w.pdb 0.318 6.330 2.307 0.41950 Acceptable Acceptable
allpdb0993_2_133w.pdb 0.000 61.557 21.716 0.00782 Incorrect Incorrect
allpdb0993_2_120w.pdb 0.000 46.850 12.515 0.01534 Incorrect Incorrect
allpdb0993_2_86w.pdb 0.000 62.219 21.426 0.00773 Incorrect Incorrect
allpdb0993_2_178w.pdb 0.000 51.245 13.216 0.01316 Incorrect Incorrect
allpdb0993_2_49w.pdb 0.091 28.850 7.657 0.06925 Incorrect Incorrect
allpdb0993_2_196w.pdb 0.136 10.100 5.010 0.21108 Incorrect Incorrect
allpdb0993_2_151w.pdb 0.000 36.489 12.950 0.02157 Incorrect Incorrect
allpdb0993_2_153w.pdb 0.000 61.453 18.385 0.00846 Incorrect Incorrect
allpdb0993_2_57w.pdb 0.182 8.470 3.162 0.28909 Acceptable Acceptable
allpdb0993_2_200w.pdb 0.136 25.530 7.191 0.09262 Incorrect Incorrect
allpdb0993_2_14w.pdb 0.182 22.769 6.952 0.11621 Incorrect Incorrect
allpdb0993_2_134w.pdb 0.000 48.240 12.820 0.01454 Incorrect Incorrect
allpdb0993_2_44w.pdb 0.045 22.890 6.772 0.07113 Incorrect Incorrect
allpdb0993_2_60w.pdb 0.136 15.604 4.328 0.15748 Incorrect Incorrect
allpdb0993_2_2w.pdb 0.182 12.105 6.007 0.19025 Incorrect Incorrect
allpdb0993_2_54w.pdb 0.136 21.877 12.668 0.09378 Incorrect Incorrect
allpdb0993_2_94w.pdb 0.136 23.736 10.057 0.09060 Incorrect Incorrect
allpdb0993_2_51w.pdb 0.136 28.426 8.482 0.08292 Incorrect Incorrect
allpdb0993_2_119w.pdb 0.000 58.870 20.796 0.00853 Incorrect Incorrect
allpdb0993_2_67w.pdb 0.136 13.082 4.110 0.18359 Incorrect Incorrect
allpdb0993_2_41w.pdb 0.091 30.093 8.439 0.06514 Incorrect Incorrect
allpdb0993_2_47w.pdb 0.091 19.787 6.119 0.10113 Incorrect Incorrect
allpdb0993_2_107w.pdb 0.000 63.053 19.339 0.00794 Incorrect Incorrect
allpdb0993_2_42w.pdb 0.000 59.078 22.822 0.00819 Incorrect Incorrect
allpdb0993_2_65w.pdb 0.182 12.455 3.031 0.23211 Acceptable Acceptable
allpdb0993_2_64w.pdb 0.136 18.928 5.421 0.12510 Incorrect Incorrect
allpdb0993_2_35w.pdb 0.136 26.820 7.651 0.08822 Incorrect Incorrect
allpdb0993_2_53w.pdb 0.091 22.128 5.886 0.09349 Incorrect Incorrect
allpdb0993_2_59w.pdb 0.091 23.140 6.785 0.08546 Incorrect Incorrect
allpdb0993_2_75w.pdb 0.045 44.554 12.139 0.03187 Incorrect Incorrect
allpdb0993_2_98w.pdb 0.000 63.217 22.376 0.00741 Incorrect Incorrect
allpdb0993_2_122w.pdb 0.000 52.976 13.730 0.01230 Incorrect Incorrect
allpdb0993_2_158w.pdb 0.000 46.814 12.048 0.01573 Incorrect Incorrect
allpdb0993_2_146w.pdb 0.000 53.238 14.214 0.01196 Incorrect Incorrect
allpdb0993_2_56w.pdb 0.045 29.766 9.175 0.04896 Incorrect Incorrect
allpdb0993_2_39w.pdb 0.136 20.826 6.597 0.10944 Incorrect Incorrect
allpdb0993_2_118w.pdb 0.000 61.396 17.919 0.00859 Incorrect Incorrect
allpdb0993_2_176w.pdb 0.136 27.238 7.856 0.08676 Incorrect Incorrect
allpdb0993_2_32w.pdb 0.045 30.694 14.876 0.04225 Incorrect Incorrect
allpdb0993_2_90w.pdb 0.000 63.636 20.196 0.00767 Incorrect Incorrect
allpdb0993_2_91w.pdb 0.000 62.759 21.484 0.00762 Incorrect Incorrect
allpdb0993_2_72w.pdb 0.000 61.939 20.863 0.00788 Incorrect Incorrect
allpdb0993_2_177w.pdb 0.091 34.809 10.084 0.05628 Incorrect Incorrect
allpdb0993_2_33w.pdb 0.000 35.771 9.433 0.02604 Incorrect Incorrect
allpdb0993_2_76w.pdb 0.000 48.887 12.977 0.01418 Incorrect Incorrect
allpdb0993_2_31w.pdb 0.045 39.042 10.994 0.03633 Incorrect Incorrect
allpdb0993_2_191w.pdb 0.000 51.157 12.957 0.01336 Incorrect Incorrect
allpdb0993_2_23w.pdb 0.045 20.861 7.579 0.07518 Incorrect Incorrect
allpdb0993_2_83w.pdb 0.045 44.255 12.232 0.03195 Incorrect Incorrect
allpdb0993_2_100w.pdb 0.000 62.290 20.204 0.00792 Incorrect Incorrect
allpdb0993_2_37w.pdb 0.091 21.125 6.379 0.09422 Incorrect Incorrect
allpdb0993_2_188w.pdb 0.000 60.593 19.874 0.00832 Incorrect Incorrect
allpdb0993_2_87w.pdb 0.000 54.076 14.725 0.01146 Incorrect Incorrect
allpdb0993_2_71w.pdb 0.045 17.922 3.962 0.11816 Incorrect Incorrect
allpdb0993_2_155w.pdb 0.045 23.193 12.030 0.05973 Incorrect Incorrect
allpdb0993_2_162w.pdb 0.000 62.565 20.595 0.00780 Incorrect Incorrect
allpdb0993_2_55w.pdb 0.000 59.284 22.895 0.00814 Incorrect Incorrect
allpdb0993_2_61w.pdb 0.227 10.220 3.281 0.26969 Acceptable Acceptable
