#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0461_4_3w.pdb 0.000 64.238 21.137 0.00741 Incorrect Incorrect
allpdb0461_4_186w.pdb 0.593 4.105 1.547 0.62936 Medium Medium
allpdb0461_4_26w.pdb 0.333 10.584 3.711 0.28863 Acceptable Acceptable
allpdb0461_4_101w.pdb 0.426 6.193 2.645 0.44085 Acceptable Acceptable
allpdb0461_4_44w.pdb 0.269 9.731 3.389 0.28837 Acceptable Acceptable
allpdb0461_4_74w.pdb 0.009 60.888 20.392 0.01125 Incorrect Incorrect
allpdb0461_4_190w.pdb 0.000 66.957 21.232 0.00694 Incorrect Incorrect
allpdb0461_4_100w.pdb 0.389 6.317 2.621 0.42663 Acceptable Acceptable
allpdb0461_4_60w.pdb 0.000 65.221 20.839 0.00729 Incorrect Incorrect
allpdb0461_4_59w.pdb 0.185 8.112 3.460 0.28892 Acceptable Acceptable
allpdb0461_4_47w.pdb 0.296 8.762 3.282 0.31798 Acceptable Acceptable
allpdb0461_4_8w.pdb 0.000 64.325 20.980 0.00742 Incorrect Incorrect
allpdb0461_4_1w.pdb 0.000 65.629 20.825 0.00722 Incorrect Incorrect
allpdb0461_4_41w.pdb 0.000 61.489 20.514 0.00802 Incorrect Incorrect
allpdb0461_4_113w.pdb 0.296 5.374 2.329 0.43465 Acceptable Acceptable
allpdb0461_4_2w.pdb 0.000 66.218 21.073 0.00708 Incorrect Incorrect
allpdb0461_4_37w.pdb 0.222 12.493 3.989 0.22085 Acceptable Incorrect
allpdb0461_4_126w.pdb 0.139 6.083 3.486 0.31881 Acceptable Acceptable
allpdb0461_4_125w.pdb 0.065 12.377 6.485 0.14536 Incorrect Incorrect
allpdb0461_4_106w.pdb 0.389 5.408 2.213 0.47183 Acceptable Acceptable
allpdb0461_4_129w.pdb 0.380 3.895 2.166 0.51009 Medium Medium
allpdb0461_4_38w.pdb 0.222 9.750 3.273 0.27586 Acceptable Acceptable
allpdb0461_4_49w.pdb 0.083 8.972 4.657 0.21677 Incorrect Incorrect
allpdb0461_4_72w.pdb 0.139 8.564 4.014 0.25257 Acceptable Acceptable
allpdb0461_4_34w.pdb 0.306 5.554 2.437 0.42705 Acceptable Acceptable
allpdb0461_4_78w.pdb 0.000 57.399 20.920 0.00886 Incorrect Incorrect
allpdb0461_4_21w.pdb 0.269 11.878 3.402 0.25666 Acceptable Acceptable
allpdb0461_4_127w.pdb 0.426 4.574 2.151 0.50951 Medium Medium
allpdb0461_4_50w.pdb 0.370 5.037 2.175 0.47758 Acceptable Acceptable
allpdb0461_4_175w.pdb 0.241 12.109 3.927 0.23272 Acceptable Acceptable
allpdb0461_4_173w.pdb 0.278 11.607 4.121 0.24794 Incorrect Acceptable
allpdb0461_4_22w.pdb 0.000 66.663 21.477 0.00695 Incorrect Incorrect
allpdb0461_4_153w.pdb 0.074 18.639 7.637 0.09446 Incorrect Incorrect
allpdb0461_4_14w.pdb 0.296 9.414 2.755 0.32470 Acceptable Acceptable
allpdb0461_4_7w.pdb 0.009 61.089 20.210 0.01124 Incorrect Incorrect
allpdb0461_4_111w.pdb 0.324 4.828 2.526 0.44692 Medium Acceptable
allpdb0461_4_86w.pdb 0.259 5.571 2.454 0.41024 Acceptable Acceptable
allpdb0461_4_45w.pdb 0.222 7.284 3.150 0.32790 Acceptable Acceptable
allpdb0461_4_28w.pdb 0.148 9.088 3.843 0.24899 Acceptable Acceptable
allpdb0461_4_110w.pdb 0.176 8.179 3.668 0.27948 Acceptable Acceptable
allpdb0461_4_46w.pdb 0.167 7.495 3.439 0.29638 Acceptable Acceptable
allpdb0461_4_51w.pdb 0.352 4.140 1.752 0.52772 Medium Medium
allpdb0461_4_109w.pdb 0.315 5.600 2.627 0.41932 Acceptable Acceptable
allpdb0461_4_82w.pdb 0.000 64.443 25.762 0.00683 Incorrect Incorrect
allpdb0461_4_5w.pdb 0.019 62.120 20.452 0.01408 Incorrect Incorrect
allpdb0461_4_33w.pdb 0.000 64.118 20.599 0.00752 Incorrect Incorrect
allpdb0461_4_20w.pdb 0.028 62.667 20.527 0.01705 Incorrect Incorrect
allpdb0461_4_130w.pdb 0.370 3.517 1.850 0.54026 Medium Medium
allpdb0461_4_58w.pdb 0.139 9.647 4.084 0.23161 Acceptable Acceptable
allpdb0461_4_115w.pdb 0.222 4.995 2.806 0.39593 Acceptable Acceptable
allpdb0461_4_179w.pdb 0.176 7.380 3.778 0.29408 Acceptable Acceptable
allpdb0461_4_150w.pdb 0.185 6.423 3.356 0.32940 Acceptable Acceptable
allpdb0461_4_43w.pdb 0.139 9.019 4.100 0.24245 Acceptable Acceptable
allpdb0461_4_6w.pdb 0.000 68.539 21.860 0.00661 Incorrect Incorrect
allpdb0461_4_9w.pdb 0.111 8.401 4.133 0.24445 Acceptable Acceptable
allpdb0461_4_11w.pdb 0.000 63.457 20.510 0.00765 Incorrect Incorrect
allpdb0461_4_91w.pdb 0.009 12.447 7.284 0.12266 Incorrect Incorrect
allpdb0461_4_13w.pdb 0.009 62.269 20.509 0.01096 Incorrect Incorrect
allpdb0461_4_123w.pdb 0.028 34.053 12.921 0.03324 Incorrect Incorrect
allpdb0461_4_160w.pdb 0.269 4.372 2.424 0.44540 Acceptable Acceptable
