#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0367_6_11w.pdb 0.771 1.214 0.923 0.82543 High High
allpdb0367_6_9w.pdb 0.777 1.658 1.163 0.78840 Medium Medium
allpdb0367_6_10w.pdb 0.675 2.580 1.398 0.70853 Medium Medium
allpdb0367_6_99w.pdb 0.801 1.181 0.900 0.83915 High High
allpdb0367_6_93w.pdb 0.663 2.272 1.338 0.71768 Medium Medium
allpdb0367_6_124w.pdb 0.711 1.434 1.189 0.76581 Medium Medium
allpdb0367_6_101w.pdb 0.651 1.821 1.127 0.74865 Medium Medium
allpdb0367_6_115w.pdb 0.657 1.737 1.054 0.76198 Medium Medium
allpdb0367_6_117w.pdb 0.675 1.039 1.246 0.75060 Medium Medium
allpdb0367_6_38w.pdb 0.627 3.297 1.684 0.64604 Medium Medium
allpdb0367_6_85w.pdb 0.614 2.982 1.747 0.64309 Medium Medium
allpdb0367_6_133w.pdb 0.651 2.405 1.691 0.67230 Medium Medium
allpdb0367_6_18w.pdb 0.560 2.037 1.393 0.68092 Medium Medium
allpdb0367_6_53w.pdb 0.596 3.334 1.579 0.64579 Medium Medium
allpdb0367_6_14w.pdb 0.548 3.161 1.784 0.61359 Medium Medium
allpdb0367_6_39w.pdb 0.584 2.872 1.658 0.64404 Medium Medium
allpdb0367_6_43w.pdb 0.620 1.989 1.103 0.73915 Medium Medium
allpdb0367_6_26w.pdb 0.608 2.265 1.608 0.66914 Medium Medium
allpdb0367_6_3w.pdb 0.536 2.987 1.410 0.65234 Medium Medium
allpdb0367_6_24w.pdb 0.512 3.186 1.570 0.62201 Medium Medium
allpdb0367_6_91w.pdb 0.639 3.011 1.701 0.65482 Medium Medium
allpdb0367_6_56w.pdb 0.542 2.522 1.438 0.66081 Medium Medium
allpdb0367_6_86w.pdb 0.602 2.458 1.620 0.66225 Medium Medium
allpdb0367_6_45w.pdb 0.518 2.729 1.674 0.62337 Medium Medium
allpdb0367_6_69w.pdb 0.596 3.517 1.891 0.61217 Medium Medium
allpdb0367_6_76w.pdb 0.639 2.367 1.403 0.70001 Medium Medium
allpdb0367_6_8w.pdb 0.542 1.902 1.326 0.68524 Medium Medium
allpdb0367_6_17w.pdb 0.530 2.883 1.672 0.62426 Medium Medium
allpdb0367_6_67w.pdb 0.584 1.883 1.241 0.71046 Medium Medium
allpdb0367_6_52w.pdb 0.488 2.503 1.423 0.64484 Medium Medium
allpdb0367_6_119w.pdb 0.524 2.931 1.375 0.65371 Medium Medium
allpdb0367_6_150w.pdb 0.373 4.602 2.394 0.47625 Medium Acceptable
allpdb0367_6_132w.pdb 0.554 2.184 1.309 0.68670 Medium Medium
allpdb0367_6_83w.pdb 0.560 2.666 1.344 0.67509 Medium Medium
allpdb0367_6_126w.pdb 0.542 2.750 1.356 0.66589 Medium Medium
allpdb0367_6_110w.pdb 0.590 3.136 1.610 0.64511 Medium Medium
allpdb0367_6_40w.pdb 0.452 3.267 1.736 0.58353 Medium Medium
allpdb0367_6_49w.pdb 0.578 2.819 1.546 0.65469 Medium Medium
allpdb0367_6_7w.pdb 0.518 3.575 1.796 0.59285 Medium Medium
allpdb0367_6_41w.pdb 0.470 3.136 1.702 0.59572 Medium Medium
allpdb0367_6_79w.pdb 0.458 2.101 1.311 0.65571 Medium Medium
allpdb0367_6_22w.pdb 0.494 3.687 2.089 0.55857 Medium Medium
allpdb0367_6_78w.pdb 0.512 3.852 2.185 0.55399 Medium Medium
allpdb0367_6_19w.pdb 0.512 3.101 1.677 0.61301 Medium Medium
allpdb0367_6_33w.pdb 0.488 2.276 1.409 0.65072 Medium Medium
allpdb0367_6_46w.pdb 0.458 3.156 1.725 0.58907 Medium Medium
allpdb0367_6_74w.pdb 0.446 2.892 1.571 0.60627 Medium Medium
allpdb0367_6_63w.pdb 0.476 4.644 2.323 0.51343 Medium Medium
allpdb0367_6_90w.pdb 0.512 3.550 1.747 0.59600 Medium Medium
allpdb0367_6_112w.pdb 0.554 2.846 1.788 0.62212 Medium Medium
allpdb0367_6_25w.pdb 0.488 2.637 1.515 0.63177 Medium Medium
allpdb0367_6_50w.pdb 0.488 2.870 1.825 0.59624 Medium Medium
allpdb0367_6_6w.pdb 0.440 3.346 1.777 0.57390 Medium Medium
allpdb0367_6_55w.pdb 0.422 3.133 1.766 0.57376 Medium Medium
allpdb0367_6_94w.pdb 0.494 4.093 2.156 0.54399 Medium Medium
allpdb0367_6_73w.pdb 0.416 3.468 1.866 0.55514 Medium Medium
allpdb0367_6_75w.pdb 0.458 2.843 1.683 0.59994 Medium Medium
allpdb0367_6_2w.pdb 0.380 3.285 1.925 0.54246 Medium Medium
allpdb0367_6_80w.pdb 0.458 2.980 1.691 0.59623 Medium Medium
allpdb0367_6_120w.pdb 0.446 2.403 1.340 0.64270 Medium Medium
allpdb0367_6_116w.pdb 0.470 3.983 1.988 0.55083 Medium Medium
allpdb0367_6_35w.pdb 0.386 3.663 1.790 0.54715 Medium Medium
allpdb0367_6_143w.pdb 0.289 4.539 2.455 0.44638 Acceptable Acceptable
allpdb0367_6_107w.pdb 0.404 3.304 1.927 0.54992 Medium Medium
allpdb0367_6_102w.pdb 0.404 2.926 1.529 0.59607 Medium Medium
allpdb0367_6_27w.pdb 0.452 3.922 2.184 0.53226 Medium Medium
allpdb0367_6_20w.pdb 0.464 3.209 2.017 0.56510 Medium Medium
allpdb0367_6_89w.pdb 0.452 2.723 1.582 0.61075 Medium Medium
allpdb0367_6_95w.pdb 0.458 3.467 1.877 0.56829 Medium Medium
allpdb0367_6_128w.pdb 0.386 3.402 1.862 0.54700 Medium Medium
allpdb0367_6_104w.pdb 0.410 3.973 2.119 0.52137 Medium Medium
allpdb0367_6_61w.pdb 0.476 3.474 1.850 0.57650 Medium Medium
allpdb0367_6_77w.pdb 0.410 4.159 2.071 0.52017 Medium Medium
allpdb0367_6_122w.pdb 0.476 3.424 1.743 0.58728 Medium Medium
allpdb0367_6_51w.pdb 0.313 4.416 2.171 0.47465 Medium Acceptable
allpdb0367_6_13w.pdb 0.428 4.466 2.325 0.50175 Medium Medium
allpdb0367_6_32w.pdb 0.380 3.561 2.056 0.52587 Medium Medium
allpdb0367_6_97w.pdb 0.452 3.323 1.809 0.57558 Medium Medium
allpdb0367_6_1w.pdb 0.392 4.957 2.451 0.47007 Medium Acceptable
allpdb0367_6_31w.pdb 0.386 4.632 2.320 0.48378 Medium Acceptable
allpdb0367_6_21w.pdb 0.380 3.988 2.131 0.51012 Medium Medium
allpdb0367_6_129w.pdb 0.416 3.477 1.776 0.56284 Medium Medium
allpdb0367_6_12w.pdb 0.392 3.852 2.283 0.50755 Medium Medium
allpdb0367_6_106w.pdb 0.217 7.231 3.701 0.31270 Acceptable Acceptable
allpdb0367_6_81w.pdb 0.440 4.354 2.130 0.52115 Medium Medium
allpdb0367_6_44w.pdb 0.301 2.950 1.618 0.55199 Medium Medium
allpdb0367_6_4w.pdb 0.367 4.821 2.437 0.46630 Medium Acceptable
allpdb0367_6_160w.pdb 0.211 5.844 3.069 0.36089 Acceptable Acceptable
allpdb0367_6_30w.pdb 0.373 3.550 1.887 0.53740 Medium Medium
allpdb0367_6_148w.pdb 0.223 5.635 2.972 0.37353 Acceptable Acceptable
allpdb0367_6_42w.pdb 0.295 3.916 2.043 0.49011 Acceptable Medium
allpdb0367_6_92w.pdb 0.343 4.345 2.229 0.48262 Medium Acceptable
allpdb0367_6_114w.pdb 0.428 3.908 2.128 0.52837 Medium Medium
allpdb0367_6_109w.pdb 0.313 4.516 2.533 0.45093 Medium Acceptable
allpdb0367_6_54w.pdb 0.386 4.537 2.132 0.49830 Medium Medium
allpdb0367_6_134w.pdb 0.337 4.384 2.264 0.47744 Medium Acceptable
allpdb0367_6_166w.pdb 0.163 7.413 3.784 0.28882 Acceptable Acceptable
allpdb0367_6_59w.pdb 0.398 3.827 1.948 0.53379 Medium Medium
allpdb0367_6_139w.pdb 0.355 5.019 2.360 0.46155 Acceptable Acceptable
allpdb0367_6_123w.pdb 0.428 4.195 2.139 0.52052 Medium Medium
allpdb0367_6_100w.pdb 0.355 3.518 1.921 0.52932 Medium Medium
allpdb0367_6_23w.pdb 0.337 4.149 2.213 0.48661 Medium Acceptable
allpdb0367_6_72w.pdb 0.307 6.724 3.406 0.36160 Acceptable Acceptable
allpdb0367_6_48w.pdb 0.325 4.770 2.454 0.45259 Medium Acceptable
allpdb0367_6_105w.pdb 0.331 3.522 1.778 0.53355 Medium Medium
allpdb0367_6_131w.pdb 0.223 8.008 3.102 0.31405 Acceptable Acceptable
allpdb0367_6_135w.pdb 0.301 3.328 1.842 0.52234 Medium Medium
allpdb0367_6_36w.pdb 0.247 3.548 2.030 0.48396 Acceptable Acceptable
allpdb0367_6_111w.pdb 0.247 4.492 2.193 0.44916 Acceptable Acceptable
allpdb0367_6_108w.pdb 0.355 4.723 2.208 0.47842 Medium Acceptable
allpdb0367_6_66w.pdb 0.271 5.186 2.723 0.41088 Acceptable Acceptable
allpdb0367_6_155w.pdb 0.169 6.997 3.670 0.30264 Acceptable Acceptable
allpdb0367_6_130w.pdb 0.193 8.582 3.657 0.27733 Acceptable Acceptable
allpdb0367_6_125w.pdb 0.289 3.474 1.857 0.51358 Acceptable Medium
allpdb0367_6_137w.pdb 0.404 5.769 2.887 0.43359 Acceptable Acceptable
allpdb0367_6_82w.pdb 0.199 4.814 2.473 0.40829 Acceptable Acceptable
allpdb0367_6_157w.pdb 0.145 7.499 3.887 0.27883 Acceptable Acceptable
allpdb0367_6_47w.pdb 0.265 4.638 2.345 0.44201 Acceptable Acceptable
allpdb0367_6_84w.pdb 0.211 4.386 2.398 0.42729 Acceptable Acceptable
allpdb0367_6_57w.pdb 0.235 3.819 2.030 0.47338 Acceptable Acceptable
allpdb0367_6_37w.pdb 0.211 4.873 2.587 0.40505 Acceptable Acceptable
allpdb0367_6_171w.pdb 0.139 10.103 5.199 0.20995 Incorrect Incorrect
allpdb0367_6_183w.pdb 0.151 7.877 4.090 0.26905 Acceptable Acceptable
allpdb0367_6_118w.pdb 0.277 4.843 2.027 0.46193 Acceptable Acceptable
allpdb0367_6_16w.pdb 0.217 4.751 2.479 0.41558 Acceptable Acceptable
allpdb0367_6_98w.pdb 0.157 9.970 3.945 0.23462 Acceptable Acceptable
allpdb0367_6_60w.pdb 0.169 6.700 3.348 0.31754 Acceptable Acceptable
allpdb0367_6_180w.pdb 0.169 8.077 4.128 0.27028 Acceptable Acceptable
allpdb0367_6_58w.pdb 0.175 4.900 2.462 0.39863 Acceptable Acceptable
allpdb0367_6_28w.pdb 0.229 4.936 2.535 0.41204 Acceptable Acceptable
allpdb0367_6_15w.pdb 0.223 5.363 2.723 0.39031 Acceptable Acceptable
allpdb0367_6_159w.pdb 0.187 7.453 3.827 0.29509 Acceptable Acceptable
allpdb0367_6_113w.pdb 0.337 4.680 2.441 0.45961 Medium Acceptable
allpdb0367_6_161w.pdb 0.120 9.945 4.895 0.20948 Acceptable Incorrect
allpdb0367_6_158w.pdb 0.151 12.785 4.936 0.18055 Incorrect Incorrect
allpdb0367_6_182w.pdb 0.151 29.659 14.054 0.07926 Incorrect Incorrect
allpdb0367_6_70w.pdb 0.259 7.353 3.757 0.32282 Acceptable Acceptable
allpdb0367_6_153w.pdb 0.175 9.720 3.821 0.24719 Acceptable Acceptable
allpdb0367_6_152w.pdb 0.157 7.043 3.664 0.29770 Acceptable Acceptable
allpdb0367_6_165w.pdb 0.187 7.452 3.814 0.29538 Acceptable Acceptable
allpdb0367_6_29w.pdb 0.181 4.749 2.442 0.40560 Acceptable Acceptable
allpdb0367_6_64w.pdb 0.193 6.147 3.165 0.34426 Acceptable Acceptable
allpdb0367_6_176w.pdb 0.139 8.987 4.600 0.23562 Acceptable Acceptable
allpdb0367_6_68w.pdb 0.259 10.040 5.069 0.25234 Incorrect Acceptable
allpdb0367_6_127w.pdb 0.265 5.478 2.696 0.40265 Acceptable Acceptable
allpdb0367_6_170w.pdb 0.114 7.871 4.091 0.25712 Acceptable Acceptable
